O=C(C1CCCO1)N2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641671	pIC50=7.53
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NCCN5CCOCC5)n2	CHEMBL3668787	pIC50=8.41
C1CC(CCO1)c2ccc(Nc3nc(cn4ccnc34)c5ccc6cn[nH]c6c5)cc2	CHEMBL3265034	pIC50=8.42
CCCCC(Oc1nc(cc2ncccc12)c3ccc(OC)c(OC)c3)[C@H]4CNC(=O)C4	CHEMBL3696041	pIC50=8.42
CN(C)CCCNC(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Cl)c2[nH]1	CHEMBL3668799	pIC50=8.42
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC(C)(F)F)ccn5)ccc3[nH]2	CHEMBL3643744	pIC50=8.42
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC(F)F)ccn5)ccc3[nH]2	CHEMBL3639404	pIC50=8.42
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cccnn5	CHEMBL3668871	pIC50=8.42
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN(CCO)CC5)n2	CHEMBL3664192	pIC50=8.42
CC(C)Oc1ccc(cc1)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3696051	pIC50=8.43
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cc(O[C@H]5CCC(=O)NC5)ccn4)ccc2[nH]1	CHEMBL3643759	pIC50=8.43
CN(C)CCCN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Cl)c2[nH]1	CHEMBL3664204	pIC50=8.43
COc1cc(Nc2nc(NC3CCCC[C@H]3N)n4cnnc4c2C(=O)N)cc(OC)c1	CHEMBL516061	pIC50=8.43
C[C@@H](Oc1nc(cc2ncccc12)c3ccc(nc3)C(F)(F)F)[C@H]4CNC(=O)C4	CHEMBL3695948	pIC50=8.43
Cc1cc(C)cc(Nc2nccc(n2)n3cc(CN4CC[C@@H](O)C4)c(c3)C5CC5)c1	CHEMBL3622934	pIC50=8.43
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NC[C@H]5CCCO5	CHEMBL3668849	pIC50=8.43
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCS(=O)(=O)CC5)n2	CHEMBL3668856	pIC50=8.43
C[C@@H](Oc1cc(cc2ncccc12)c3ccc4C(=O)N(C)C=Nc4c3)[C@H]5CNC(=O)C5	CHEMBL3653819	pIC50=8.44
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN(CC(=O)N6CCCC6)CC5)n2	CHEMBL3664191	pIC50=8.44
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN6CCCC6C5)n2	CHEMBL3668794	pIC50=8.44
COC(=O)c1cccc2c1CCC[C@@]2(O)c3ncc(s3)c4cc(C)cc(Nc5cc(ccn5)C(F)(F)F)n4	CHEMBL3698408	pIC50=8.45
Cc1cc(C)cc(Nc2nccc(n2)n3cc(CN4CC[C@@H](O)C4)c(C)n3)c1	CHEMBL3622928	pIC50=8.46
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)[C@@]4(O)CCc5ccc(cc45)C(=O)O	CHEMBL3698411	pIC50=8.46
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5nccn5C	CHEMBL3668870	pIC50=8.46
C[C@@H](Oc1cc(cc2ncccc12)c3ccc(OCC(F)(F)F)nc3)[C@H]4CNC(=O)C4	CHEMBL3653839	pIC50=8.47
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)C4(O)CCCc5cc(ccc45)C#N	CHEMBL3698425	pIC50=8.47
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cn(C)nc5C	CHEMBL3668853	pIC50=8.47
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)c5onc(C)n5	CHEMBL3668879	pIC50=8.47
Cc1cnc(CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2)s1	CHEMBL3639676	pIC50=8.47
NC(=O)c1cccnc1COc2cc(cc3ncccc23)c4ccc(CN5CCOCC5)cc4	CHEMBL3653768	pIC50=8.47
CC(C)n1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3664169	pIC50=8.48
CC(Oc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2)C(F)(F)F	CHEMBL3643737	pIC50=8.48
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)C4(O)CCCc5cc(CO)c(F)cc45	CHEMBL3698396	pIC50=8.48
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5nccs5	CHEMBL3668838	pIC50=8.48
CC(C)c1nc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)ccc1C	CHEMBL3237573	pIC50=8.5
CC(C)c1nc(Nc2cc(N[C@@H]3CCOC[C@@H]3N)nnc2C(=O)N)ccc1F	CHEMBL3237580	pIC50=8.5
CCc1cccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)n1	CHEMBL3237556	pIC50=8.5
CN(C)CCCCNC(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Cl)c2[nH]1	CHEMBL3668802	pIC50=8.5
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(ccn5)C(C)(C)C#N)ccc3n2C	CHEMBL3641547	pIC50=8.5
CCC1(COc2ccnc(c2)c3ccnc(Nc4ccc5[nH]c(cc5c4)C(=O)N6CCN(C)CC6)n3)COC1	CHEMBL3641607	pIC50=8.51
COc1cc(ccn1)c2cc(O[C@H](C)[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3653801	pIC50=8.51
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3n[nH]c4c(CO)cccc34	CHEMBL2347406	pIC50=8.52
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCCN4CCOCC4)c5ccc(OC(F)F)cc35	CHEMBL2347418	pIC50=8.52
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCCS(=O)(=O)C)c4ccc(OC(F)F)cc34	CHEMBL2347420	pIC50=8.52
COc1cc(cc(OC)c1Cl)c2cc3ncccc3c(O[C@H](C)[C@H]4CNC(=O)C4)n2	CHEMBL3695953	pIC50=8.52
COc1ccc(Nc2cc(cn3ncnc23)c4cccc(c4)C(=O)Nc5ccc(cc5)C(=O)O)nc1OC	CHEMBL2177725	pIC50=8.52
Cc1c[nH]c2c(Nc3nc(N[C@@H]4CCCC[C@@H]4N)cc5C=CNC(=O)c35)cccc12	CHEMBL3262625	pIC50=8.52
Cc1cc(Nc2nccc(OCCO)n2)cc(c1)c3cnc(s3)[C@@]4(O)CC[C@H](C(=O)N)C(C)(C)C4	CHEMBL3685800	pIC50=8.52
Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(CCC(=O)O)s3	CHEMBL3685807	pIC50=8.52
Cc1cc(Nc2nccc(n2)C3CC3)cc(c1)c4cnc(s4)C5(N)CCC5	CHEMBL3685824	pIC50=8.52
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5ccccc5F	CHEMBL3668829	pIC50=8.54
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NNC=O	CHEMBL3668882	pIC50=8.54
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCC(CC5)N6CCOCC6)n2	CHEMBL3668789	pIC50=8.54
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(C5CC5)c2[nH]1	CHEMBL3664151	pIC50=8.55
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Cl)c2[nH]1	CHEMBL3664147	pIC50=8.55
Cc1cc(C)nc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)ccc2C(=O)N)c1	CHEMBL3260318	pIC50=8.55
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5nc6ccncc6[nH]5	CHEMBL3668831	pIC50=8.55
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)[C@@]4(O)CCCc5cc(ccc45)C(=O)O	CHEMBL3698392	pIC50=8.56
CN1CCN(CC1=O)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3668791	pIC50=8.57
CNC(=O)c1cc2cc(Nc3nccc(n3)c4ccccn4)cc(C)c2[nH]1	CHEMBL3643817	pIC50=8.57
COC[C@H](C)Oc1ccc(cc1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3695994	pIC50=8.57
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5cc[nH]c5c4)cc1OC	CHEMBL3265016	pIC50=8.57
CS(=O)(=O)c1ccc(cc1)c2cc(OCc3ncccc3C(=O)N)c4cccnc4c2	CHEMBL3653753	pIC50=8.57
COc1ccc(Nc2nc(cn3ccnc23)c4cccc(c4)C(=O)Nc5ccc(CC(=O)O)cc5)cc1OC	CHEMBL3264998	pIC50=8.59
C[C@@H](Oc1cc(cc2ncccc12)c3ccc(OC(C)(C)C)nc3)[C@H]4CNC(=O)C4	CHEMBL3653817	pIC50=8.59
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cc(OCC(F)F)ccn4)ccc2[nH]1	CHEMBL3641525	pIC50=8.6
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(ccn5)C(C)(C)C#N)ccc3[nH]2	CHEMBL3641543	pIC50=8.6
COc1c(F)cc(cc1F)c2cc(O[C@H](C)[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3653743	pIC50=8.6
COc1cc(ccc1OC(C)C)c2cc(OC[C@H]3CNC(=O)O3)c4cccnc4c2	CHEMBL3653745	pIC50=8.6
C[C@@H](Oc1cc(cc2ncccc12)c3ccc(nc3)C(F)(F)F)[C@H]4CNC(=O)C4	CHEMBL3653760	pIC50=8.6
Cc1cc(C)cc(Nc2nc(CC3CCCC[C@H]3N)n4ccnc4c2C(=O)N)c1	CHEMBL504558	pIC50=8.6
Cc1nc2cc(ccc2[nH]1)c3cc(OCc4ncccc4C(=O)N)c5cccnc5c3	CHEMBL3653836	pIC50=8.6
N[C@H]1CCCC[C@H]1Nc2cc(Nc3cccc(n3)C4CC4)c(nn2)C(=O)N	CHEMBL3237558	pIC50=8.6
N[C@H]1CCS(=O)(=O)C[C@H]1Nc2cnc(C(=O)N)c(n2)c3cc4ccccc4[nH]3	CHEMBL3415609	pIC50=8.6
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)[C@]4(N)CCCc5cc(ccc45)C(=O)O	CHEMBL3698441	pIC50=8.61
CC(C)c1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641552	pIC50=8.62
CCCOc1ccnc(Nc2cc(C)cc(n2)c3cnc(s3)[C@]4(O)CCCc5cc(ccc45)C(=O)O)c1	CHEMBL3698446	pIC50=8.62
CC[C@@H](C)Oc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641532	pIC50=8.62
COCCN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3668792	pIC50=8.62
Cc1nc2c(cc(Nc3nccc(n3)c4ccccn4)cc2[nH]1)C(F)(F)F	CHEMBL3643820	pIC50=8.62
NC(=O)c1cccnc1COc2cc(cc3ncccc23)c4ccc5NC(=O)OCc5c4	CHEMBL3653792	pIC50=8.62
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)[C@]4(O)CCCc5cc(C(=O)O)c(F)cc45	CHEMBL3698394	pIC50=8.63
COC[C@@H](C)Oc1ccc(cc1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3695995	pIC50=8.64
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5OCC(=O)Nc5c4)cc1OC	CHEMBL3265024	pIC50=8.64
Cc1cc(C)cc(Nc2nccc(n2)n3cc(C)c(CN4CC[C@@H](O)C4)c3)c1	CHEMBL3622924	pIC50=8.64
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN(CC5)C6CCOCC6)n2	CHEMBL3664202	pIC50=8.64
COCc1ccnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3643783	pIC50=8.66
COc1ccc(Nc2nc(cn3ccnc23)c4cccc(c4)C(=O)Nc5ccc(cc5)C(=O)NS(=O)(=O)C)cc1OC	CHEMBL3265000	pIC50=8.66
Cc1cc(CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2)[nH]n1	CHEMBL3668845	pIC50=8.66
Cc1oc(nn1)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668881	pIC50=8.66
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCC(C5)N6CCCC6)n2	CHEMBL3664186	pIC50=8.66
NC(=O)c1cccnc1COc2cc(cc3ncccc23)c4ccc(CN5CCCCC5=O)cc4	CHEMBL3653782	pIC50=8.66
CN(C)C(=O)c1cc2ccc(Nc3nccc(n3)c4cc(O[C@H]5CCC(=O)NC5)ccn4)cc2n1C	CHEMBL3643800	pIC50=8.68
COc1ccc(cc1)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3696050	pIC50=8.68
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)[C@]4(O)CCCCc5cc(ccc45)C(=O)O	CHEMBL3698416	pIC50=8.68
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cnn(C)c5C	CHEMBL3668820	pIC50=8.68
Cc1nn(cc1CN2CC(O)C2)c3ccnc(Nc4ccc5c(c4)c(cn5C)c6nccs6)n3	CHEMBL3657548	pIC50=8.68
O=S1(=O)CCN(CC1)c2ccc(Nc3nc(cn4ccnc34)c5ccc6cn[nH]c6c5)cc2	CHEMBL3265033	pIC50=8.68
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3n[nH]c4ccc(OC(F)F)cc34	CHEMBL2347405	pIC50=8.7
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCC(O)CO)c4ccc(OC(F)F)cc34	CHEMBL2347988	pIC50=8.7
CC(C)c1cccc(Nc2cc(N[C@@H]3CS(=O)(=O)CC[C@@H]3N)cnc2C(=O)N)n1	CHEMBL3415607	pIC50=8.7
CO[C@@]1(CC[C@H](C(=O)O)C(C)(C)C1)c2ncc(s2)c3cc(C)cc(Nc4nccc(n4)C(F)(F)F)c3	CHEMBL3685822	pIC50=8.7
COc1ccc(cc1OC)c2cc(OC[C@H]3CNC(=O)O3)c4cccnc4c2	CHEMBL3650451	pIC50=8.7
Cc1c[nH]c2c(Nc3nc(N[C@@H]4CCCC[C@@H]4N)cc5N=CNC(=O)c35)cccc12	CHEMBL3262357	pIC50=8.7
Cc1cc(Nc2nccc(C)n2)cc(c1)c3cnc(s3)[C@@]4(O)CC[C@H](C(=O)NCC#N)C(C)(C)C4	CHEMBL3685799	pIC50=8.7
Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(s3)C4(CCC(CC4)NC(=O)CO)C(=O)N	CHEMBL3685819	pIC50=8.7
Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(s3)[C@]4(O)CC[C@@H](C(=O)O)C(C)(C)C4	CHEMBL3685823	pIC50=8.7
Cc1cc(nc(Nc2cc(ccn2)C(F)(F)F)c1Br)c3cnc(s3)[C@@]4(O)CCCc5cc(ccc45)C(=O)O	CHEMBL3698403	pIC50=8.7
Cn1cc(cn1)c2cc(OCc3ncccc3C(=O)N)c4cccnc4c2	CHEMBL3653774	pIC50=8.7
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN(CC5)C(=O)C6CCCO6)n2	CHEMBL3664188	pIC50=8.7
CC(C)N1CCCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3664190	pIC50=8.72
COc1cc(ccc1OC(F)(F)F)c2cc3ncccc3c(O[C@H](C)[C@H]4CNC(=O)C4)n2	CHEMBL3695949	pIC50=8.72
C[C@@H](Oc1cc(cc2ncccc12)c3ccc4nc(C)cn4c3)[C@H]5CNC(=O)C5	CHEMBL3653789	pIC50=8.72
Cc1cc(C)cc(Nc2nccc(n2)n3cc(CN4CC(O)C4)c(c3)C5CC5)c1	CHEMBL3622935	pIC50=8.72
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5ccnn5C	CHEMBL3668826	pIC50=8.72
CNC(=O)c1cc2cc(Nc3nccc(n3)c4ccccn4)cc(Cl)c2[nH]1	CHEMBL3643814	pIC50=8.75
COc1cc(ccc1O[C@H]2CCCOC2)c3cc4ncccc4c(OC[C@H]5CNC(=O)C5)n3	CHEMBL3696004	pIC50=8.75
C[C@@H](Oc1cc(cc2ncccc12)c3ccc(NC(=O)C)nc3)[C@H]4CNC(=O)C4	CHEMBL3653759	pIC50=8.75
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cccnc5	CHEMBL3668873	pIC50=8.75
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5ccn(C)n5	CHEMBL3664154	pIC50=8.75
Cc1nn(cc1CN2CC(O)C2)c3ccnc(Nc4ccc5c(c4)c(Cl)cn5C)n3	CHEMBL3622955	pIC50=8.75
Cc1cc(Nc2cc(ccn2)C3CCCCC3)nc(c1)c4cnc(s4)C5(O)CCCc6cc(ccc56)C(=O)O	CHEMBL3698388	pIC50=8.76
CCCC(Oc1nc(cc2ncccc12)c3ccc(OC)c(OC)c3)[C@H]4CNC(=O)C4	CHEMBL3696039	pIC50=8.77
CCn1ccc(CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2)n1	CHEMBL3668818	pIC50=8.77
C[C@@H](Oc1cc(cc2ncccc12)c3ccccn3)[C@H]4CNC(=O)C4	CHEMBL3650445	pIC50=8.77
Cc1cc(ccc1S(=O)(=O)C)c2cc(OCc3ncccc3C(=O)N)c4cccnc4c2	CHEMBL3653764	pIC50=8.77
Cc1nn(cc1CN2CC(O)C2)c3ccnc(Nc4ccc5c(c4)c(C)c(C)n5C)n3	CHEMBL3622958	pIC50=8.77
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NCc5ccn(C)n5)n2	CHEMBL3664153	pIC50=8.77
COC(=O)c1ccc2c(CCC[C@]2(O)c3ncc(s3)c4cc(C)cc(Nc5cc(ccn5)c6c[nH]nn6)n4)c1	CHEMBL3698400	pIC50=8.79
CCN(Cc1ccc(cc1)c2cc(OCc3ncccc3C(=O)N)c4cccnc4c2)C(=O)C	CHEMBL3653778	pIC50=8.8
CC[C@H](C)Oc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641535	pIC50=8.8
CN(Cc1ccc(cc1)c2cc(OCc3ncccc3C(=O)N)c4cccnc4c2)C(=O)C	CHEMBL3653786	pIC50=8.8
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(cn5)C6CC6)cc(Cl)c3[nH]2	CHEMBL3664170	pIC50=8.8
COc1cc(Nc2nc(NC3CCCCC[C@H]3N)n4ccnc4c2C(=O)N)cc(OC)c1	CHEMBL515910	pIC50=8.8
C[C@@H](Oc1cc(cc2ncccc12)c3ccc4ncn(C)c4c3)[C@H]5CNC(=O)C5	CHEMBL3653809	pIC50=8.8
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCC(CC5)N6CC[S+]([O-])CC6)n2	CHEMBL3664187	pIC50=8.8
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NCc5nccn5C)n2	CHEMBL3664206	pIC50=8.8
NC(=O)c1cccnc1COc2cc(cc3ncccc23)c4ccc(nc4)N5CCOCC5	CHEMBL3653773	pIC50=8.8
CCCn1cc(cn1)c2cc(OCc3ncccc3C(=O)N)c4cccnc4c2	CHEMBL3653845	pIC50=8.82
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC6CC6(F)F)ccn5)ccc3[nH]2	CHEMBL3643745	pIC50=8.82
COc1ccc(Nc2nc(cn3ccnc23)c4cccc(c4)C(=O)Nc5ccc(cc5)c6nn[nH]n6)cc1OC	CHEMBL3265001	pIC50=8.82
C[C@@H](Oc1cc(cc2ncccc12)c3ccc(cc3)C(=O)N4CCN(C)CC4)[C@H]5CNC(=O)C5	CHEMBL3653804	pIC50=8.82
Cc1cn(cc1CN2CC(O)C2)c3nc(Nc4ccc5c(c4)c(Cl)nn5C)ncc3F	CHEMBL3657549	pIC50=8.82
CN(CC1CCOCC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3664195	pIC50=8.85
CNC(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Cl)c2[nH]1	CHEMBL3664148	pIC50=8.85
CNC(=O)c1ccc(cn1)c2cc(O[C@H](C)[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3653784	pIC50=8.85
COc1cc(ccc1O[C@H]2CCOC2)c3cc4ncccc4c(OC[C@H]5CNC(=O)C5)n3	CHEMBL3695996	pIC50=8.85
C[C@@H](Oc1cc(cc2ncccc12)c3cnn(c3)C(F)(F)F)[C@H]4CNC(=O)C4	CHEMBL3653815	pIC50=8.85
Clc1cc(Nc2nccc(n2)c3ccccn3)cc4cc([nH]c14)C(=O)N5CCC(CC5)N6CCCC6=O	CHEMBL3643795	pIC50=8.85
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NCC5CCOCC5)n2	CHEMBL3664182	pIC50=8.85
CC(=O)c1c[nH]c2ccc(Nc3nccc(n3)n4cc(CN5CC(O)C5)c(C)n4)cc12	CHEMBL3657552	pIC50=8.89
CC(=O)c1cn(C)c2ccc(Nc3nccc(n3)n4cc(CN5CC(O)C5)c(C)n4)cc12	CHEMBL3657544	pIC50=8.89
CN1CCC2(CCN(C2)C(=O)c3cc4cc(Nc5nccc(n5)c6cn(C)cn6)cc(Cl)c4[nH]3)C1	CHEMBL3664194	pIC50=8.89
C[C@@H](Oc1cc(cc2ncccc12)c3ccc(OC4CCOCC4)nc3)[C@H]5CNC(=O)C5	CHEMBL3653800	pIC50=8.89
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5nc6ccccc6n5C	CHEMBL3668828	pIC50=8.89
Cc1nc2cc(ccc2n1C)c3cc(OCc4ncccc4C(=O)N)c5cccnc5c3	CHEMBL3653834	pIC50=8.89
CCCn1c(C)c(Cl)c2cc(Nc3nccc(n3)n4cc(CN5CC(O)C5)c(C)n4)ccc12	CHEMBL3657559	pIC50=8.92
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cc(OC5CCC(O)C5)ccn4)ccc2[nH]1	CHEMBL3641529	pIC50=8.92
COc1cc(cc(OC)c1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)O4)n2	CHEMBL3695972	pIC50=8.92
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCC6(CC5)COCC(=O)N6C)n2	CHEMBL3641518	pIC50=8.92
C[C@@H](Oc1cc(cc2ncccc12)c3cnn(C)c3C)[C@H]4CNC(=O)C4	CHEMBL3653840	pIC50=8.92
Clc1cc(Nc2nccc(n2)c3ccccn3)cc4nc[nH]c14	CHEMBL3643819	pIC50=8.92
Cc1ccc(cc1)S(=O)(=O)NC(=O)c2ccc3c(CCC[C@]3(O)c4ncc(s4)c5cc(C)cc(Nc6cc(ccn6)C(F)(F)F)n5)c2	CHEMBL3698429	pIC50=8.93
C[C@@H](Oc1cc(cc2ncccc12)c3ccc(CS(=O)(=O)C)nc3)[C@H]4CNC(=O)C4	CHEMBL3653823	pIC50=8.96
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5ccccn5	CHEMBL3668864	pIC50=8.96
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)C4(O)CCCc5cc(ccc45)C(=O)N	CHEMBL3698399	pIC50=8.97
Cc1cc(Nc2cc(OC3CCCCC3)ccn2)nc(c1)c4cnc(s4)C5(O)CCCc6cc(ccc56)C(=O)O	CHEMBL3698384	pIC50=8.99
CC(=O)NC1(CCCc2cc(ccc12)C(=O)O)c3ncc(s3)c4cc(C)cc(Nc5cc(ccn5)C(F)(F)F)n4	CHEMBL3698442	pIC50=9.0
CC(C)Oc1ccc(cn1)c2cc(O[C@H](C)[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3653794	pIC50=9.0
CC1(C)C[C@](O)(CC[C@@H]1C(=O)O)c2ncc(s2)c3cc(Cl)cc(Nc4nccc(n4)C(F)(F)F)c3	CHEMBL3685804	pIC50=9.0
CC1(C)C[C@](O)(CC[C@@H]1C(=O)O)c2ncc(s2)c3cc(Nc4nccc(n4)C(F)(F)F)cc(c3)C5CC5	CHEMBL3685786	pIC50=9.0
CCn1cc(cn1)c2cc(OCc3ncccc3C(=O)N)c4cccnc4c2	CHEMBL3653805	pIC50=9.0
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4ccccn4)cc(Cl)c2[nH]1	CHEMBL3643782	pIC50=9.0
COc1cc(Nc2nc(NC3CCCC[C@H]3N)n4ncnc4c2C(=O)N)cc(OC)c1	CHEMBL471948	pIC50=9.0
COc1cc(cc(OC)c1OC)c2cc(O[C@H](C)[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3650442	pIC50=9.0
COc1cc(ccc1O)c2cc(OC[C@H]3CNC(=O)O3)c4cccnc4c2	CHEMBL3653742	pIC50=9.0
COc1cc(ccc1OC2CCS(=O)(=O)CC2)c3cc4ncccc4c(OC[C@H]5CNC(=O)C5)n3	CHEMBL3695955	pIC50=9.0
COc1cc(ccc1O[C@@H]2CCOC2)c3cc4ncccc4c(OC[C@H]5CNC(=O)C5)n3	CHEMBL3695997	pIC50=9.0
