CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	triptorelin	pEC50=9.025	pEC50=9.025	pEC50=9.025
CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	nafarelin	pKd=9.699	pKd=9.699	pKd=9.699
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	leuprorelin	pIC50=9.5229	pIC50=9.5229	pIC50=9.5229	pIC50=9.1
CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	abarelix	pKi=9.30000019	pKi=9.30000019	pKi=9.30000019
[H][C@]1(CC(=O)NC(=O)N1)C(=O)NC1=CC=C(C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](CC2=CN=CC=C2)NC(=O)[C@@H](CC2=CC=C(Cl)C=C2)NC(=O)[C@@H](CC2=CC3=C(C=CC=C3)C=C2)NC(C)=O)C(=O)N[C@H](CC2=CC=C(NC(N)=O)C=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(N)=O)C=C1	degarelix	pKi=8.77000046	pKi=8.77000046	pKi=8.77000046
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	buserelin
CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	gonadorelin	pIC50=8.0	pIC50=8.0	pIC50=8.0
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O	goserelin
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC1=CN(CC2=CC=CC=C2)C=N1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	histrelin
CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	cetrorelix	pKi=8.8	pKi=8.8	pKi=8.8
CCNC(NCC)=NCCCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	ganirelix
CC(C)(C)c1ccc(cc1)c2nc3c(cccc3[nH]2)N4CCN(Cc5ccc6NC(=O)CNc6c5)CC4	CHEMBL475650	pIC50=7.8
CN(Cc1ccccc1)Cc2c(sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c23)c5ccccc5)c6ccc(NC(=O)C(F)(F)F)cc6	CHEMBL121441	pKi=7.8
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](N)Cc4ccccc4)C2=O)c1F	CHEMBL117396	pKi=7.8
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NC[C@@H]4CC[C@@H](CN=C(N)N)CC4)C(C)(C)CCC2(C)C	CHEMBL115482	pKi=7.8
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(n4)c5ccc(Cl)cc5	CHEMBL183938	pKi=7.82
CCSc1ccc(CN2CCC3=C(C2)C(=O)N(CCN(C)CCc4ccccn4)C(=O)N3Cc5c(F)cccc5F)cc1	CHEMBL16745	pKi=7.82
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2[C@@H](C)COC2=O)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C(C)C)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]4N(CCc5ccc(Cl)c(Cl)c5)C(=O)O[C@]14C)OC	CHEMBL273440	pKi=7.82
CCc1oc(CN[C@@H](C)CN2C(=O)N(Cc3c(F)cccc3F)C(=C(C2=O)c4cccc(OC)c4F)C)cc1	CHEMBL22314	pKi=7.82
CN(C)[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C(=C(C1=O)c3cccc(OCCCCC(=O)O)c3F)C)c4ccccc4	CHEMBL509267	pKi=7.82
CN(CCN1C(=O)N(Cc2c(F)cccc2F)C3=C(CN(Cc4sc5ccccc5c4C)CC3)C1=O)CCc6ccccn6	CHEMBL262579	pKi=7.82
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2F)C(=C(C1=O)c3cccc(OC)c3F)C)c4ccccc4	CHEMBL180076	pKi=7.82
COCCOc1ccc(F)c(F)c1COc2ccc(F)c(c2)N3C(=O)Nc4csc(C(=O)O)c4C3=O	CHEMBL3668015	pIC50=7.82
COc1ccc(F)c(F)c1COc2cc(N3C(=O)Nc4csc(C(=O)O)c4C3=O)c(F)cc2OC	CHEMBL3668014	pIC50=7.82
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](N(C)C)c4ccccc4)C2=O)c1F	CHEMBL361128	pKi=7.82
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](C)NCc4ccccn4)C2=O	CHEMBL23854	pKi=7.82
CSc1ccc(CN2CCC3=C(C2)C(=O)N(CCN(C)CCc4ccccn4)C(=O)N3Cc5c(F)cccc5F)cc1	CHEMBL235269	pKi=7.82
Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(cc3c2OCCC4CCCCN4)C(=O)Nc5ccnc(n5)C6CC6.OC(=O)C(F)(F)F	CHEMBL139291	pIC50=7.82
CC(C)C[C@@H]1N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc5c[nH]c6ccccc56)NC(=O)[C@H](Cc7ccc(Cl)cc7)NC(=O)[C@@H]8C=CCN8C(=O)CCNC(=O)[C@@H]9CCCN9C(=O)[C@@H](CCCN=C(N)N)NC1=O	CHEMBL264806	pKi=7.85
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)C4=CC=C(Cl)C4=C	CHEMBL466531	pKi=7.85
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4ccc(Cl)cc4	CHEMBL184345	pKi=7.85
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccccc3Cl)c4ccccc4F	CHEMBL179612	pKi=7.85
CCC(CC)OC(=O)C1=CN(Cc2ccccc2F)c3cc(c(CN(C)CCc4ccccn4)n3C1=O)c5ccc(OC)cc5	CHEMBL337748	pKi=7.85
CCCC(=O)Nc1ccc(cc1)c2nc3N(Cc4ccccc4F)C=C(C(=O)OC(CC)CC)C(=O)n3c2CN(C)CCc5ccccc5	CHEMBL306684	pKi=7.85
CCOC(=O)C1=CN(Cc2ccccc2F)c3cc(c(CN(C)CCc4ccccn4)n3C1=O)c5ccc(NC(=O)C(C)C)cc5	CHEMBL334537	pKi=7.85
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCc4cccc(CNc5ncc(C)c(NCC6CCCO6)n5)c4)C(C)(C)CCC2(C)C	CHEMBL333574	pKi=7.85
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)CC4CC4)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]5N(CCc6ccc(Cl)cc6)C(=O)O[C@]15C)OC	CHEMBL288534	pKi=7.88
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2F)C(=C(C1=O)c3ccc4OCCOc4c3)C)c5ccccc5	CHEMBL425864	pKi=7.89
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](C)NCc4nccs4)C2=O)c1F	CHEMBL280664	pKi=7.89
COc1cccc(C2=NN(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@H](N)c4ccccc4)C2=O)c1F	CHEMBL466736	pKi=7.89
CSc1ccc(cc1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N)c4ccccc4)C2=O	CHEMBL179460	pKi=7.89
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NC[C@@H]4CC[C@H](CC4)C(=O)N)C(C)(C)CCC2(C)C	CHEMBL117863	pKi=7.89
CC(C)(C)c1ccc(cc1)c2nc3c(cccc3[nH]2)N4CCN(Cc5ccc6nccnc6c5)CC4	CHEMBL474991	pIC50=7.92
CCCC(=O)Nc1ccc(cc1)c2nc3N(Cc4ccccc4F)C=C(C(=O)OCC)C(=O)n3c2CN(C)CCc5ccccn5	CHEMBL71141	pKi=7.92
CCCn1cnc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c1C	CHEMBL493167	pIC50=7.92
COc1cccc(C2=C(C)N(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@H](NCCC(=O)O)c4ccccc4)C2=O)c1F	CHEMBL501329	pKi=7.92
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](CC(C)C)NC(C)C)C2=O)c1F	CHEMBL116976	pKi=7.92
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](NC(C)C)C4CCCC4)C2=O)c1F	CHEMBL117504	pKi=7.92
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(CC(C)N(C)CCc4ccccn4)C2=O	CHEMBL112287	pKi=7.92
CCN(C(C)C)C(=O)c1ccc2[nH]c(c(CCNCCCCc3cccnc3)c2c1)c4cc(C)cc(C)c4	CHEMBL295595	pIC50=7.96
CCNc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6ccccc6	CHEMBL332463	pKi=7.96
CCc1nc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)cn1CC	CHEMBL493730	pIC50=7.96
CN(C)c1ccc(NC(=O)c2cc3c(OCCC4CCCCN4)c(c(O)nc3cc2Cl)c5cc(C)cc(C)c5)cc1.OC(=O)C(F)(F)F	CHEMBL342908	pIC50=7.96
COCCCNc1ccnc(NCc2cccc(CNC(=O)c3oc(Cc4cc5c(cc4C)C(C)(C)CCC5(C)C)cc3)c2)n1	CHEMBL123284	pKi=7.96
COc1ccc(cc1)c2nc3N(Cc4ccccc4F)C(=C(C(=O)n3c2CN(C)CCc5ccccn5)c6ccc7OCOc7c6)C	CHEMBL304308	pKi=7.96
COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4ccccc4F)C2=O)c1F	CHEMBL175465	pKi=7.96
COc1cccc(c1)C2=C(C)N(Cc3ccccc3F)c4nc(c(CN(C)Cc5ccccn5)n4C2=O)C(C)(C)C	CHEMBL49297	pKi=7.96
CC(C)(C(=O)c1ccc(Cl)c(c1)N2C(=O)Nc3csc(C(=O)O)c3C2=O)c4ccccc4	CHEMBL3668011	pIC50=8.0
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3C(F)(F)F)c4cccc(OCCC(=O)O)c4F	CHEMBL452474	pKi=8.0
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4cccs4	CHEMBL186563	pKi=8.0
CCCCNC(=O)C1=CN(Cc2ccccc2F)c3cc(c(CN(C)CCc4ccccn4)n3C1=O)c5ccc(NC(=O)CCC)cc5	CHEMBL131182	pKi=8.0
CCOC(=O)C1=CN(Cc2c(F)cccc2F)c3nc(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(NC(=O)CC)cc5	CHEMBL64920	pIC50=8.0
CCc1nc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c(C)[nH]1	CHEMBL468565	pIC50=8.0
CCn1cc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)nc1C	CHEMBL523711	pIC50=8.0
CN(CCN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C3=C(CN(Cc4sc5ccccc5c4C)CC3)C1=O)CCc6ccccn6	CHEMBL413238	pKi=8.0
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N)C4CCCC4)C2=O)c1F	CHEMBL119808	pKi=8.0
Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(NC(=O)c4cnccn4)cc3c2OCCC5CCCCN5	CHEMBL295917	pIC50=8.0
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCc4cccc(CNc5ccnc(NC[C@@H]6CCCO6)n5)c4)C(C)(C)CCC2(C)C	CHEMBL121145	pKi=8.0
Cc1nc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)cn1C	CHEMBL492327	pIC50=8.0
Fc1cccc(F)c1CN2C(=O)N(C[C@H]3CCCN3CCc4ccccn4)C(=O)C5=C2CCN(Cc6ccc(Cl)cc6)C5	CHEMBL236152	pKi=8.0
N[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C=C(C1=O)c3ccc(COC(=O)CO)cc3)c4ccccc4	CHEMBL499026	pKi=8.0
CCc1nc(CN2CCN(CC2)c3cccn4cc(nc34)c5ccc(cc5)C(C)(C)C)c(C)[nH]1	CHEMBL1092638	pIC50=8.01
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C(=C(C1=O)c3cccc(OCCOCC(=O)O)c3F)C)c4ccccc4	CHEMBL506338	pKi=8.03
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCc4cccc(CNc5ccnc(NC[C@H]6CCCO6)n5)c4)C(C)(C)CCC2(C)C	CHEMBL333345	pKi=8.03
CCCC(=O)NCCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H]4CCC(=O)N4)C(=O)N[C@@H](Cc5cnc[nH]5)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc6c[nH]c7ccccc67)C(=O)N[C@@H](CCCCNC(=O)CO\N=C(/C)\[C@@]8(O)C[C@H](O[C@H]9C[C@H](N)[C@H](O)[C@H](C)O9)c%10c(O)c%11C(=O)c%12c(OC)cccc%12C(=O)c%11c(O)c%10C8)C(=O)N%13CCC[C@H]%13C(=O)NCC(=O)N	CHEMBL2088506	pIC50=8.04
CCCC(=O)Nc1ccc(cc1)c2cc3N(Cc4ccccc4F)C=C(C(=O)NC5CCCC5)C(=O)n3c2CN(C)CCc6ccccn6	CHEMBL434423	pKi=8.04
COc1cccc(C2=CN(Cc3c(F)cccc3S(=O)(=O)CCO)C(=O)N(C[C@H](N)c4ccccc4)C2=O)c1F	CHEMBL359558	pKi=8.04
CC(C)C(=O)C1=CN(Cc2c(F)cccc2F)c3sc(c(CN(C)Cc4ccccc4)c3C1=O)c5ccc(NC(=O)CN)cc5	CHEMBL378481	pIC50=8.05
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(Cc5ccccc5)n4	CHEMBL364842	pKi=8.05
CCC(=O)Nc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6ccccc6	CHEMBL21126	pIC50=8.05
CCOC(=O)C1=CN(Cc2ccccc2F)c3c(F)c(c(CN(C)CCc4ccccn4)n3C1=O)c5ccc(OCC(C)C)cc5	CHEMBL117069	pKi=8.05
CN(Cc1ccccn1)Cc2c(sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c23)c5ccccc5)c6ccc(cc6)[N+](=O)[O-]	CHEMBL331762	pKi=8.05
COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4c(F)cccc4F)C2=O)c1F	CHEMBL367388	pKi=8.05
COc1nccc(NC(=O)c2cc3c(OCCC4CCCCN4)c(c(O)nc3cc2Cl)c5cc(C)cc(C)c5)n1.OC(=O)C(F)(F)F	CHEMBL139292	pIC50=8.05
CC(C)(C)c1ccc(cc1)c2nc3c(cccc3[nH]2)N4CCN(Cc5cccc6NC(=O)Nc56)CC4	CHEMBL460892	pIC50=8.06
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4ccc(Oc5ccccc5)cc4	CHEMBL360935	pKi=8.07
C[C@H](CNCCc1ccnc(c1)C(=O)O)c2c([nH]c3ccc(cc23)C(C)(C)C(=O)N4CC5CCC4CC5)c6cc(C)cc(C)c6	CHEMBL115192	pIC50=8.09
N[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C=C(C1=O)c3cccc(OCC(F)(F)F)c3F)c4ccccc4	CHEMBL192096	pKi=8.09
CCC(=O)Nc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C=C(C(=O)NC(C)C)C(=O)c3c2CN(C)Cc5ccccc5	CHEMBL211731	pIC50=8.1
CCN(CCc1ccccn1)Cc2c(nc3N(Cc4ccccc4F)C(=C(C(=O)n23)c5cccc(OC)c5)C)C(C)(C)C	CHEMBL52506	pKi=8.1
CCc1nc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c(C)n1CC	CHEMBL493731	pIC50=8.1
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](Cc4ccccc4)N(C)C)C2=O)c1F	CHEMBL116074	pKi=8.1
COc1cccc(c1)C2=C(C)N(Cc3ccccc3F)c4nc(c(CN(C)Cc5ccccn5)n4C2=O)C(C)(C)CO	CHEMBL300079	pKi=8.1
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCc4cccc(CNc5nccc(NC[C@@H]6CCCO6)n5)c4)C(C)(C)CCC2(C)C	CHEMBL124056	pKi=8.1
N[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C=C(C1=O)c3ccccc3F)c4ccccc4	CHEMBL193031	pKi=8.1
N[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C=C(C1=O)c3ccccc3)c4ccccc4	CHEMBL365985	pKi=8.11
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C4CCCC4)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]5N(CCc6ccc(Cl)cc6)C(=O)O[C@]15C)OC	CHEMBL442482	pKi=8.12
COc1cccc(C2=C(C)N(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@H](NCCCCC(=O)O)c4ccccc4)C2=O)c1F	CHEMBL510538	pKi=8.12
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3C(F)(F)F)c4cccc(OCCCC(=O)O)c4	CHEMBL448253	pKi=8.13
CCCC(=O)Nc1ccc(cc1)c2nc3N(Cc4ccccc4F)C=C(C(=O)OC(CC)CC)C(=O)n3c2CN(C)CCc5ccccn5	CHEMBL302769	pKi=8.13
CC[C@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C(=C(C1=O)c3cccc(OC)c3Cl)C)NC4CCCC4	CHEMBL401807	pKi=8.13
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](CC(C)C)N(C)C)C2=O)c1F	CHEMBL359682	pKi=8.13
Cc1nc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c[nH]1	CHEMBL494400	pIC50=8.13
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2[C@@H](C)COC2=O)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C4CCCCC4)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]5N(CCc6ccc(Cl)c(Cl)c6)C(=O)O[C@]15C)OC	CHEMBL418067	pKi=8.14
CC(C)CN(CC(C)C)C(=O)c1ccc2[nH]c(c(CCNCCCCc3ccncc3)c2c1)c4cc(C)cc(C)c4	CHEMBL44627	pIC50=8.15
CC(C)C[C@H](NC(=O)[C@@H](Cc1ccc(NC(=O)N)cc1)NC(=O)[C@H](Cc2ccc(NC(=O)NC(=O)[C@H](N)CCC(=O)N)cc2)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc3cccnc3)NC(=O)[C@@H](Cc4ccc(Cl)cc4)NC(=O)[C@@H](Cc5ccc6ccccc6c5)NC(=O)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N7CCC[C@H]7C(=O)N[C@H](C)C(=O)O	CHEMBL413216	pIC50=8.16
CCOC(=O)C1=CN(Cc2c(F)cccc2F)c3nc(c4ccc(NC(=O)c5ccsc5)cc4)c(CN(C)Cc6ccccc6)n3C1=O	CHEMBL305155	pIC50=8.16
CCOC(=O)Nc1ccc(cc1)c2nc(cs2)C3=C(C)N(Cc4c(F)cccc4F)C(=O)N(C[C@H](N)c5ccccc5)C3=O	CHEMBL185143	pKi=8.16
CCn1cnc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c1C	CHEMBL521674	pIC50=8.16
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N([C@H](C)CNCc4ccccc4C)C2=O)c1F	CHEMBL283170	pKi=8.16
Cc1cc(C)cc(c1)c2[nH]c3ccccc3c2CCNCCCCc4ccc(NS(=O)(=O)C)cc4	CHEMBL11149	pIC50=8.16
Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(cc3c2OCCC4CCCCN4)C(=O)Nc5cnccn5.OC(=O)C(F)(F)F	CHEMBL138464	pIC50=8.16
CCn1cnc(CN2CCN(CC2)c3cccn4cc(nc34)c5ccc(cc5)C(C)(C)C)c1C	CHEMBL1088866	pIC50=8.17
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3Cl)c4ccccc4F	CHEMBL360143	pKi=8.19
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N)C4CCCCC4)C2=O)c1F	CHEMBL326504	pKi=8.19
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N)CC(C)C)C2=O)c1F	CHEMBL117670	pKi=8.19
CC(C)C[C@H](NC(=O)[C@@H](Cc1ccc(NC(=O)N)cc1)NC(=O)[C@H](Cc2ccc(NC(=O)C(N)CN)cc2)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc3cccnc3)NC(=O)[C@@H](Cc4ccc(Cl)cc4)NC(=O)[C@@H](Cc5ccc6ccccc6c5)NC(=O)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N7CCC[C@H]7C(=O)N[C@H](C)C(=O)O	CHEMBL414899	pIC50=8.2
CC(C)Oc1cccc(C2=CN(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@H](N)c4ccccc4)C2=O)c1F	CHEMBL370711	pKi=8.2
CC(C)(C)c1ccc(cc1)c2nc3c(cccc3[nH]2)N4CCN(Cc5cccc6NC(=S)Nc56)CC4	CHEMBL459659	pIC50=8.21
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4ccccc4F	CHEMBL359810	pKi=8.22
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4ccccc4F.OC(=O)C(F)(F)F	CHEMBL419270	pKi=8.22
CCOC(=O)C1=CN(Cc2c(F)cccc2F)c3sc(c(CN(C)Cc4ccccc4)c3C1=O)c5ccc(OC)cc5	CHEMBL135103	pIC50=8.22
COc1cc(OC)c(NC(=O)c2oc(Cc3cc4c(cc3C)C(C)(C)CCC4(C)C)cc2)c(OC)c1	CHEMBL494803	pKi=8.22
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(CC(C)NCc4nccs4)C2=O)c1F	CHEMBL260062	pKi=8.22
C[C@H](CNCCCCc1ccncc1)c2c([nH]c3ccc(cc23)C(C)(C)C(=O)N4CCN(CC4)C(=O)OC(C)(C)C)c5cc(C)cc(C)c5	CHEMBL273390	pIC50=8.22
N[C@@H](CN1C(=O)N(Cc2c(F)cccc2F)C=C(C1=O)c3ccccc3Cl)c4ccccc4	CHEMBL192172	pKi=8.22
CC(C)(C)c1ccc(cc1)c2nc3c(cccc3[nH]2)N4CCN(Cc5cccc6NC(=O)C(=O)Nc56)CC4	CHEMBL517881	pIC50=8.24
