CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1	levomilnacipran	pKi=7.03526926	pKi=7.03526926	pKi=7.03526926	pIC50=7.4
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=6.31875896	pKi=6.31875896	pKi=6.31875896
CC(N)CC1=CC=CC=C1	amfetamine
CN[C@@H](C)[C@@H](O)C1=CC=CC=C1	pseudoephedrine
NC(=N)NCC1COC2(CCCCC2)O1	guanadrel
CNC(NC)=NCC1=CC=CC=C1	betanidine
Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1	amoxapine	pKi=7.88605665	pKi=7.88605665	pKi=7.88605665	pIC50=7.89
[H][C@@]1(C)N(C)CCO[C@@]1([H])C1=CC=CC=C1	phendimetrazine
CCN(CC)C(C)C(=O)C1=CC=CC=C1	diethylpropion
[H]C1(CCCCN1)C(C(=O)OC)C1=CC=CC=C1	methylphenidate	pKi=6.18	pKi=6.18	pKi=6.18	pKi=6.18
CCOc1ccccc1OCC2CNCCO2	viloxazine	pKd=6.81	pKd=6.81	pKd=6.81	pKd=6.81
C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1	benzphetamine
CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1	bupropion	pKi=5.16	pKi=5.16	pKi=5.16	pIC50=6.35
CC[N+](C)(C)CC1=C(Br)C=CC=C1	bretylium
CNCC[C@@H](Oc1ccccc1C)c2ccccc2	atomoxetine	pKd=8.69	pKd=8.69	pKd=8.69	pIC50=8.29
OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4	mazindol	pKd=9.3	pKd=9.3	pKd=9.3	pKi=7.75
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3	duloxetine	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=6.29
CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1	desvenlafaxine	pKi=6.2747	pKi=6.2747	pKi=6.2747
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1	venlafaxine	pKd=5.9747	pKd=5.9747	pKd=5.9747	pIC50=6.17
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2	trimipramine	pKi=5.61000013	pKi=5.61000013	pKi=5.61000013
CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1	sibutramine	pKi=5.2635	pKi=5.2635	pKi=5.2635
CNCCCC1C2=CC=CC=C2C=CC2=C1C=CC=C2	protriptyline	pKi=8.39	pKi=8.39	pKi=8.39	pIC50=7.77
CC(C)(N)CC1=CC=CC=C1	phentermine
CC1NCCOC1C1=CC=CC=C1	phenmetrazine	pEC50=7.2976	pEC50=7.2976	pEC50=7.2976
CNCCC=C1c2ccccc2CCc3ccccc13	nortriptyline	pKd=8.3595	pKd=8.3595	pKd=8.3595	pKi=8.2
CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4	nefazodone	pKd=6.4437	pKd=6.4437	pKd=6.4437	pKd=6.44
CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1	milnacipran	pKi=7.6	pKi=7.6	pKi=7.6	pIC50=7.11
CNCCCC12CCC(c3ccccc13)c4ccccc24	maprotiline	pKd=8.27	pKd=8.27	pKd=8.27	pIC50=7.52
CN(C)CCCN1c2ccccc2CCc3ccccc13	imipramine	pKd=7.4318	pKd=7.4318	pKd=7.4318	pIC50=7.13
NC(=N)NCCN1CCCCCCC1	guanethidine
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKd=7.53	pKd=7.53	pKd=7.53	pIC50=7.54
[H][C@@]1(CCCCN1)[C@H](C(=O)OC)C1=CC=CC=C1	dexmethylphenidate
CNCCCN1c2ccccc2CCc3ccccc13	desipramine	pKd=9.0809	pKd=9.0809	pKd=9.0809	pKi=6.24
CN(C)CCC=C1c2ccccc2CCc3ccccc13	amitriptyline	pKd=7.4559	pKd=7.4559	pKd=7.4559	pKi=6.48
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	clomipramine	pKd=7.4202	pKd=7.4202	pKd=7.4202	pIC50=7.15
CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1	nomifensine	pKi=7.67	pKi=7.67	pKi=7.67	pIC50=6.2
CN(CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2)CC(=O)C1=CC=C(Cl)C=C1	lofepramine	pKi=8.2676	pKi=8.2676	pKi=8.2676
CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12	dosulepin	pKd=7.3372	pKd=7.3372	pKd=7.3372
C[C@H](N)CC1=CC=CC=C1	dexamfetamine	pKi=7.0	pKi=7.0	pKi=7.0	pIC50=6.2
C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN	lisdexamfetamine
CCOC(=O)C1=C(CCNC1)c2ccc3ccccc3c2	CHEMBL388257	pKi=6.57
CN(C)Cc1ccccc1Sc2ccc(C=C)cc2N	CHEMBL190703	pKi=6.57
CNCC1(CCCCC1)c2cccc(Cl)c2	CHEMBL1683887	pIC50=6.57
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(cc13)C(=O)N(C)C	CHEMBL380523	pIC50=6.57
COC(=O)[C@@H]1C2CCC(C[C@H]1c3ccc(C)cc3)N2C	CHEMBL373385	pIC50=6.57
COC(=O)[C@H]1C2CCC(C[C@@H]1c3ccc(Br)cc3)N2C	CHEMBL2096859	pIC50=6.57
CS(=O)(=O)c1ccccc1CC(N2CCNCC2)c3ccccc3	CHEMBL213632	pIC50=6.57
Cl.COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(OC)c(F)c3)N2C	CHEMBL458072	pKi=6.57
Clc1cc(Cl)cc(c1)C(=O)NCCCN2CCC(Cc3ccccc3)CC2	CHEMBL3612825	pIC50=6.57
O=C(NCCCN1CCC(Cc2ccccc2)CC1)c3cc4ccccc4[nH]3	CHEMBL3612826	pIC50=6.57
CC(C)CN([C@H]1CCNC1)C(=O)c2ccc(F)cc2Cl	CHEMBL1078076	pKi=6.58
CCC(N1CCCC1)C(=O)c2ccc(Cl)c(Cl)c2	CHEMBL201978	pKi=6.58
CN(C)CCC(c1ccc2ccccc2c1)n3ncnn3	CHEMBL1224224	pIC50=6.58
CN(CCOC(c1ccc(F)cc1)c2ccc(F)cc2)CCN(C)CCOC(c3ccc(F)cc3)c4ccc(F)cc4	CHEMBL121460	pKi=6.58
CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)C(=O)NCCCNC(=O)C4C5CCC(CC4c6ccc(Cl)cc6)N5C	CHEMBL303266	pIC50=6.58
CNCC1C2CCC(C2)C1c3ccc4ccccc4c3	CHEMBL331799	pKi=6.58
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(C)cc3)N2C\C=C\CF	CHEMBL1214060	pKi=6.58
FC(F)Oc1ccc(nn1)c2ccc3c(CN4CCC3(CC4)c5ccc(Cl)cc5)c2	CHEMBL3673140	pIC50=6.58
OC(CCN1CCC(O)(Cc2ccccc2)CC1)c3ccc(Cl)c(Cl)c3	CHEMBL2047573	pIC50=6.58
CC(C)CC(N1CCCC1)C(=O)c2ccc(C)cc2	CHEMBL202409	pKi=6.59
CC(C)CN(Cc1cccc(c1)C(F)(F)F)C2CCNCC2.OC(=O)\C=C\C(=O)O	CHEMBL381373	pKi=6.59
CN(C)Cc1ccccc1Oc2ccc(Cl)cc2	CHEMBL257423	pIC50=6.59
CN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc3cccc(c3)C(=O)C	CHEMBL218174	pKi=6.59
CN1[C@@H]2CC[C@H]1C[C@H](C2)NC(c3ccc(Cl)c(Cl)c3)c4ccc(Cl)c(Cl)c4	CHEMBL3085032	pKi=6.59
CNC[C@@H](O)[C@@H](N1C(=O)N(C)c2ccccc12)c3ccccc3	CHEMBL561140	pIC50=6.59
CNCc1cnc(C)cc1Oc2ccc(C)cc2OC	CHEMBL260038	pIC50=6.59
CNCc1cnc(C)cc1Oc2ccccc2Cl	CHEMBL440584	pKi=6.59
Cl.CC1CNCC(=O)N(C1)c2ccc(Cl)c(Cl)c2	CHEMBL3317695	pIC50=6.59
NC[C@@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642903	pIC50=6.59
OC1(CCCCC1)C(CN2CCNCC2)c3csc4ccccc34	CHEMBL1097469	pIC50=6.59
C(C1CNCCN1c2cnc3[nH]ccc3c2)c4ccccc4	CHEMBL1170212	pKi=6.6
CCN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL147040	pKi=6.6
CN(C)CC(c1ccc(Cl)cc1)C2(O)CCCCC2	CHEMBL420644	pKi=6.6
CN(C)CCC(N1CCCC1)c2csc3ccccc23	CHEMBL3334796	pIC50=6.6
CNCc1cc(ccc1Oc2ccc(SC)cc2)C#CCCN(C)C3CC3	CHEMBL237512	pKi=6.6
COCCC1CNCCN1c2ccc3[nH]ncc3c2	CHEMBL1169916	pKi=6.6
COc1ccc(cc1)[C@H](CN(C)C)[Si]2(O)CCCCC2	CHEMBL427215	pIC50=6.6
Clc1ccc(cc1)C2CNCC=CC2	CHEMBL2326687	pKi=6.6
Clc1ccc(cc1Cl)[C@@]23CCNC[C@@H]2C3	CHEMBL1237064	pKi=6.6
Fc1ccc(CN(C2CCNCC2)c3ccc4[nH]ccc4c3)cc1	CHEMBL551818	pKi=6.6
O=C(c1ccc2[nH]ccc2c1)C3(Cc4ccccc4)CCCCNC3	CHEMBL1224163	pKi=6.6
OCC[C@]1(CCCNC1)c2ccc(Cl)c(Cl)c2	CHEMBL2321992	pKi=6.6
CNCc1cnccc1Oc2ccc(Cl)cc2C	CHEMBL256511	pIC50=6.61
Fc1ccc(Cl)c(Oc2ncccc2C3CCNCC3)c1	CHEMBL598560	pKi=6.61
CCOc1ccccc1O[C@@H]2[C@@H](CNC)OCc3ccccc23	CHEMBL496285	pIC50=6.62
CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)C(=O)Oc4ccccc4	CHEMBL14144	pKi=6.62
CN1CC(c2ccccc2)c3ccccc3C1	CHEMBL2206515	pKi=6.62
CNCC(F)(F)CN1c2ccccc2N(c3ccccc3F)S1(=O)=O	CHEMBL1085830	pIC50=6.62
CNC[C@@H](O)[C@@H](N(C)c1ccccc1Cl)c2ccccc2	CHEMBL454798	pIC50=6.62
CNCc1cc(ccc1Oc2ccc(SC)c(C)c2)C#CCCN3CCOCC3	CHEMBL391947	pKi=6.62
COc1ccc2cc(ccc2c1)C(=O)NCCCN3CCC(Cc4ccccc4)CC3	CHEMBL3612835	pIC50=6.62
C[C@H]1NC(C)(C)CO[C@]1(O)c2cccc(Cl)c2	CHEMBL1172929	pIC50=6.62
Clc1ccc(cc1Cl)C23CCN(Cc4cc(ccc24)c5ccc6ncnn6c5)C3	CHEMBL3673136	pIC50=6.62
CC(=O)c1cccc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2)c1	CHEMBL219048	pKi=6.63
CN(C)CCC(c1ccc(Cl)c(Cl)c1)n2ncnn2	CHEMBL1224303	pIC50=6.63
CN(C)Cc1ccccc1Sc2ccc(I)cc2CO	CHEMBL114275	pKi=6.63
C(CNC1CCN(CCOC(c2ccccc2)c3ccccc3)CC1)Cc4ccccc4	CHEMBL421867	pIC50=6.64
CCCCC(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL218849	pKi=6.64
CN(C)Cc1ccccc1Sc2ccc(Cl)cc2N	CHEMBL432394	pKi=6.64
CNC[C@@H](O)[C@H](c1ccccc1C)n2ccc3ccccc23	CHEMBL578841	pIC50=6.64
CNC[C@H](O)[C@H](c1ccccc1)n2ccc3cc(OC)ccc23	CHEMBL569048	pIC50=6.64
CNC[C@H]1COc2ccccc2[C@H]1Oc3ccccc3Cl	CHEMBL452429	pIC50=6.64
CNCc1cnc(C)cc1Oc2ccccc2SC	CHEMBL403956	pKi=6.64
Cl.CN1[C@H]2CC[C@@H]1[C@@H](C#Cc3ccc(cc3)[N+](=O)[O-])[C@H](C2)c4ccc(Cl)cc4	CHEMBL522699	pKi=6.64
Clc1ccc(cc1Cl)C2(CN3CCCC3)CCCCC2	CHEMBL1683877	pIC50=6.64
Fc1ccc(cc1F)C23CCN(CC2)Cc4cc(Oc5ccc(nn5)C(F)(F)F)ccc34	CHEMBL3673172	pIC50=6.64
NCC1(CCCCC1)c2ccc3ccccc3c2	CHEMBL1683900	pIC50=6.64
CCC(=O)N(Cc1ccc2ccccc2c1)[C@@H]3CCNC3	CHEMBL576036	pIC50=6.65
COC[C@@H]1[C@H]2CNC[C@@]12c3ccc(Cl)c(Cl)c3	CHEMBL599638	pKi=6.65
COc1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)c1	CHEMBL1644482	pIC50=6.65
Fc1cccc(Oc2c(F)cccc2Cl)c1OC3CCNC3	CHEMBL1645615	pKi=6.65
OC1(CCCCC1)C(CN2CCNCC2)c3cc(Cl)sc3Cl	CHEMBL1095523	pIC50=6.65
CC(=O)C(C1CCCCN1)c2ccccc2	CHEMBL219540	pIC50=6.66
CC(NC1CCCC1)C(=O)c2cccc(Cl)c2	CHEMBL566618	pIC50=6.66
CCCC(N1CCCC1)C(=O)c2ccc(O)c(O)c2	CHEMBL202846	pKi=6.66
CCN([C@H]1CCNC1)C(=O)c2cccc(Cl)c2Cl	CHEMBL1078312	pKi=6.66
CNC[C@@H](O)[C@@H](N(C)c1ccccc1C)c2ccccc2	CHEMBL469150	pIC50=6.66
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(SC)cc3)N2C	CHEMBL579056	pKi=6.66
Cc1ccc(cn1)C(Oc2cccc(Cl)c2Cl)C3CCNCC3	CHEMBL559081	pIC50=6.66
Fc1cccc(Oc2c(F)cccc2Cl)c1OC3CCNCC3	CHEMBL1645608	pKi=6.66
O=S(=O)(c1ccccc1)c2c[nH]c3cccc(CCN4CCCCCC4)c23	CHEMBL593614	pIC50=6.66
CCCC(N1CCCC1)C(=O)c2cccc(C)c2	CHEMBL204254	pKi=6.67
CNCC[C@H](N1C(=O)N(c2ccccc2)c3ccccc13)c4ccccc4	CHEMBL512677	pIC50=6.67
Clc1cc(Cl)c(Cl)c(OC(C2CCNCC2)c3cccnc3)c1	CHEMBL560049	pIC50=6.67
NC(=O)c1ccc(cc1)c2cc3CNCC(c4ccc(Cl)cc4)c3cc2F	CHEMBL3703741	pIC50=6.67
CC(N)Cc1ccc(Cl)cc1	CHEMBL358967	pIC50=6.68
CNC[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642908	pIC50=6.68
COC(=O)[C@H]1C2CC[C@@H]3C[C@@H]1\C(=C\c4ccc(OC)cc4)\CN23	CHEMBL612232	pKi=6.68
COc1cc(ccc1O[C@H]([C@@H]2CNCCO2)c3ccccc3)C#N	CHEMBL409546	pKi=6.68
Clc1ccc(cc1Cl)[C@]23CCC[C@H]2CNC3	CHEMBL1813474	pIC50=6.68
Fc1ccc2N(CCC3CNCCO3)S(=O)(=O)N(c4ccccc4F)c2c1	CHEMBL1830891	pIC50=6.68
NCC1CCC(O1)c2cccc3ccccc23	CHEMBL456638	pIC50=6.68
O=S1(=O)N(C[C@H]2CNCCO2)c3ccccc3N1c4ccccc4	CHEMBL1830881	pIC50=6.68
O[C@@H](CCN1CCC(CCOC(c2ccccc2)c3ccccc3)CC1)c4ccccc4.OC(=O)C(=O)O	CHEMBL383745	pKi=6.68
C(Oc1cc(COc2ccccc2)on1)[C@@H]3CCCN3	CHEMBL2203551	pKi=6.69
CN(C)CC(c1ccccc1Cl)C2(O)CCCCC2	CHEMBL316862	pIC50=6.69
CN(C)CC1(CCCCC1)c2ccc(F)cc2	CHEMBL1683894	pIC50=6.69
CN(C)CCC(N1CCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL3334800	pIC50=6.69
CN1C[C@H]2CCCC[C@]2(C1)c3cccc4ccccc34	CHEMBL1813318	pIC50=6.69
Clc1ccc(cc1Cl)[C@@]23CCCC[C@@H]2CNC3	CHEMBL1813472	pIC50=6.69
Fc1ccc(cc1)C23CCN(CC2)Cc4cc(Oc5ccc(nn5)C(F)(F)F)ccc34	CHEMBL3673173	pIC50=6.69
C(N(C1CCNCC1)c2ccc3sccc3c2)c4ccccc4	CHEMBL556714	pKi=6.7
C1CN(C(CN1)c2ccccc2)c3ccc4[nH]ncc4c3	CHEMBL1169733	pKi=6.7
CC(C)CN([C@H]1CCNC1)C(=O)c2cc(Cl)ccc2Cl	CHEMBL1077647	pKi=6.7
CC(C)OC[C@H]1[C@@H]2CNC[C@]12c3ccc(Cl)c(Cl)c3	CHEMBL602235	pKi=6.7
CCCC(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL218847	pIC50=6.7
CCCC(N1CCCC1)C(=O)c2ccccc2	CHEMBL205082	pKi=6.7
CCN(Cc1ccccc1)C(=O)C2(CC2CN)c3ccccc3	CHEMBL256646	pIC50=6.7
CCOC[C@H]1[C@@H]2CNC[C@]12C	CHEMBL2021577	pKi=6.7
CN(C)CCC(Oc1ccccc1)c2ccc(OCCCN3CCCCC3)cc2	CHEMBL438490	pKi=6.7
CN(CCOC(c1ccccc1)c2ccccc2)C3CCN(CCCc4ccccc4)CC3	CHEMBL417049	pIC50=6.7
CNCCN(c1ccccc1)c2ccc3[nH]ccc3c2	CHEMBL550932	pKi=6.7
CNCCN1Cc2ccccc2N(c3ccccc3F)S1(=O)=O	CHEMBL1087923	pIC50=6.7
CNCC[C@@H](N1C(=O)N(C2CCCC2)c3ccccc13)c4ccccc4	CHEMBL513577	pIC50=6.7
CNC[C@H]1COc2ccccc2[C@@H]1Oc3ccccc3C	CHEMBL498495	pIC50=6.7
CNCc1ccccc1Cc2ccc(Cl)c(Cl)c2	CHEMBL493040	pIC50=6.7
CN[C@H]1C[C@H](Oc2ccccc2C)c3ccccc3C1	CHEMBL520736	pIC50=6.7
COC[C@@]12CNCC[C@@]1(C2)c3ccc(Cl)c(c3)C(F)(F)F	CHEMBL1173414	pKi=6.7
COC[C@@]12CNCC[C@@]1(C2)c3ccc(Cl)cc3	CHEMBL1173412	pKi=6.7
Cl.CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc3cccc(Cl)c3C#N	CHEMBL2112075	pIC50=6.7
Cl.CS(=O)(=O)CC(C1CCNCC1)c2ccc(Cl)c(Cl)c2	CHEMBL2407321	pIC50=6.7
Fc1ccc(CCN2CCCC(CNCCOC(c3ccccc3)c4ccccc4)C2)cc1	CHEMBL66112	pIC50=6.7
Fc1ccc(N2c3ccccc3N(CC[C@@H]4CNCCO4)S2(=O)=O)c(F)c1	CHEMBL1830888	pIC50=6.7
Fc1ccc(cc1)C(Cc2ccccc2OC(F)(F)F)N3CCNCC3	CHEMBL1084033	pKi=6.7
Fc1cccc(Oc2ccccc2Cl)c1OC3CNC3	CHEMBL1645599	pKi=6.7
N#Cc1ccc2cc(OC[C@H]3CCNC3)ccc2c1	CHEMBL469551	pIC50=6.7
NC[C@@H]1C[C@@]1(C(=O)N2CCCC=C2)c3ccsc3	CHEMBL402090	pIC50=6.7
O=S1(=O)N(C[C@@H]2CNCCO2)c3ccccc3N1c4ccccc4	CHEMBL1830882	pIC50=6.7
CCCC(N1CCCC1)C(=O)c2ccc(C)cc2	CHEMBL201960	pKi=6.71
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)NCCCCCC(=O)NCCN5C6CCC5[C@H]([C@H](C6)c7ccc(Cl)c(Cl)c7)C(=O)OC	CHEMBL196760	pKi=6.71
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)NCCCCCC(=O)NCCN5[C@@H]6CC[C@@H]5[C@H]([C@H](C6)c7ccc(Cl)c(Cl)c7)C(=O)OC	CHEMBL2336611	pKi=6.71
CCNCC(O)CCN1c2ccccc2N(c3ccccc3)S1(=O)=O	CHEMBL1084015	pIC50=6.71
CN(C)Cc1ccccc1Sc2ccc(CCO)cc2N	CHEMBL187935	pKi=6.71
CN(C)Cc1cnc(C)cc1Oc2ccccc2C	CHEMBL404885	pKi=6.71
CN(CCCN(C)CCc1ccccc1)CCOC(c2ccccc2)c3ccccc3	CHEMBL122452	pKi=6.71
Cc1onc(C)c1c2ccc3C(CNCc3c2)c4ccc(Cl)c(Cl)c4	CHEMBL3703738	pIC50=6.71
C(Oc1cc(COc2ccccc2)on1)[C@@H]3CCN3	CHEMBL2165447	pKi=6.72
C(Oc1ccccc1C2CC2)c3ccccc3N4CCNCC4	CHEMBL575289	pKi=6.72
CC(C)CN(Cc1ccc(cc1)C#N)C2CCNCC2.OC(=O)\C=C\C(=O)O	CHEMBL382001	pKi=6.72
CN1C[C@H]2CCC[C@]2(C1)c3ccc4ccccc4c3	CHEMBL1813485	pIC50=6.72
CNC(=O)c1ccccc1Sc2ccc(C)cc2[N+](=O)[O-]	CHEMBL2113054	pKi=6.72
CNCCCC1Cc2ccccc2N(C1=O)c3ccccc3	CHEMBL196365	pKi=6.72
CN[C@H]1C[C@@H](Oc2ccccc2C)c3ccccc3C1	CHEMBL453062	pIC50=6.72
COC(=O)C(C1CCCCN1)c2ccc(Cl)c(Cl)c2	CHEMBL220195	pIC50=6.72
Fc1ccc(CCNCC2CCCN(CCOC(c3ccccc3)c4ccccc4)C2)cc1	CHEMBL417035	pIC50=6.72
Fc1cccc(Oc2ccccc2Cl)c1OC3CCNC3	CHEMBL1645613	pKi=6.72
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1c3ccc(C)cc3)N2C\C(=C\C(F)(F)F)\I	CHEMBL1947088	pKi=6.73
Clc1ccccc1O[C@@H]2C[C@H]3CC[C@@H](C2)N3	CHEMBL1644475	pIC50=6.73
C(Oc1ccccc1)c2ccccc2N3CCNCC3	CHEMBL574127	pKi=6.74
CN(C)CC1C2CCC(C2)C1c3cccc4ccccc34	CHEMBL323447	pKi=6.74
Fc1cccc(F)c1Oc2ncccc2C3CCNCC3	CHEMBL597135	pKi=6.74
N#Cc1ccc2[nH]cc([C@@H]3CC[C@H](CC3)N4CCc5ccccc5C4)c2c1	CHEMBL55505	pKi=6.74
OC[C@@H]1[C@@H]2CNC[C@]12c3ccc(Cl)c(Cl)c3	CHEMBL592375	pKi=6.74
C(COC(c1ccccc1)c2ccccc2)NC3CCN(Cc4ccccc4)CC3	CHEMBL63703	pKi=6.75
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)NCCCCCC(=O)NCCOC(=O)[C@@H]5C6CCC(C[C@@H]5c7ccc(Cl)c(Cl)c7)N6C	CHEMBL372378	pKi=6.75
CCN(CCOC)C(=O)C1(CC1CN)c2ccccc2	CHEMBL402999	pIC50=6.75
CCOc1ccccc1Oc2cc(C)ncc2CN(C)C	CHEMBL429759	pKi=6.75
CN(CCCc1ccccc1)C2CCN(CCOC(c3ccccc3)c4ccccc4)CC2	CHEMBL443797	pIC50=6.75
CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)C(=O)Nc4ccc(CCNC(=O)[C@H]5C6CCC(C[C@@H]5c7ccc(Cl)cc7)N6C)cc4	CHEMBL611960	pKi=6.75
CN1CC(c2ccc3sccc3c2)c4ccc(cc4C1)C#N	CHEMBL3323177	pIC50=6.75
CNC(C)C1(CCCCC1)c2ccc3ccccc3c2	CHEMBL1684056	pIC50=6.75
CNC[C@H]1CCc2ccccc2[C@@H]1Oc3ccccc3C	CHEMBL498686	pIC50=6.75
COc1cc(Cl)ccc1O[C@H]([C@@H]2CNCCO2)c3ccc(C)cc3	CHEMBL264173	pKi=6.75
COc1ccc(O[C@H](CC(C)C)[C@@H]2CCNC2)c(C)n1	CHEMBL2386166	pKi=6.75
Cl.COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(OC)c(I)c3)N2C	CHEMBL457415	pKi=6.75
Clc1ccc(cc1Cl)[C@]23CCCC[C@H]2CNC3	CHEMBL1813471	pIC50=6.75
FC(F)Oc1ccccc1CC(N2CCNCC2)c3ccccc3	CHEMBL1083708	pKi=6.75
OC(CCN1CCC(=CC1)Cc2ccccc2)c3ccc(Cl)c(Cl)c3	CHEMBL2047574	pIC50=6.75
CC(C)CN(Cc1cc(ccc1Cl)C(F)(F)F)C2CCNCC2.OC(=O)\C=C\C(=O)O	CHEMBL378839	pKi=6.76
CC(C)N([C@H]1CCNC1)C(=O)c2ccccc2C(F)(F)F	CHEMBL555121	pKi=6.76
CN(C)[C@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642899	pIC50=6.76
CNCC[C@@H](N1C(=O)C(C)(C)c2cccc(F)c12)c3ccccc3	CHEMBL514200	pIC50=6.76
COC(=O)C1C2CCC(CC1c3ccc(O)c(O)c3)N2C	CHEMBL132683	pIC50=6.76
Cc1ccc(cc1)C2CNCc3cc(ccc23)c4cccnn4	CHEMBL3703749	pIC50=6.76
Clc1ccc(cc1)C23CCN(CC2)Cc4cc(ccc34)N5N=C6C=CC=CN6C5=O	CHEMBL3673148	pIC50=6.76
N[C@@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642893	pIC50=6.76
CC(C)CN([C@@H]1CCNC1)C(=O)c2cccc(Cl)c2Cl	CHEMBL1078170	pKi=6.77
CCN(CC)C(=O)[C@]1(C[C@H]1CN)c2csc3ccccc23	CHEMBL257808	pIC50=6.77
CCN[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL356552	pKi=6.77
CNCCCC1Cc2cc(F)ccc2N(c3ccccc3)S1(=O)=O	CHEMBL1095367	pIC50=6.77
Cc1cc(ccc1Cl)C2CNCC=CC2	CHEMBL2326685	pKi=6.77
Cc1ccc(C2CCNCC2)c(Oc3cccc(F)c3)c1	CHEMBL573898	pKi=6.77
Cl.CNC[C@@H](O)[C@@H](N1CCc2cccc(C)c12)c3cccc(F)c3	CHEMBL600674	pIC50=6.77
Clc1ccc(cc1)C2N3CCN=C3c4ccccc24	CHEMBL336613	pKi=6.77
Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c4ccccc4)CC2)cc1	CHEMBL67024	pIC50=6.77
Fc1cccc(Oc2ccccc2)c1C3CCNCC3	CHEMBL574428	pKi=6.77
NCC1CC1(C(=O)N2CCCCC2)c3ccccc3	CHEMBL256020	pIC50=6.77
C(Oc1ccccc1N2CCNCC2)c3ccccc3	CHEMBL582928	pKi=6.78
CN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642898	pIC50=6.78
CNCCCC1(C)Cc2ccccc2N(C1=O)c3cc(F)cc(F)c3	CHEMBL198706	pKi=6.78
CNCC[C@@H](N1C(=O)N(C2CC2)c3ccccc13)c4ccccc4	CHEMBL461322	pIC50=6.78
CN(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642900	pIC50=6.79
[H]C12CN(C)CCN1C1=C(CC3=C2C=CC=C3)C=CC=C1	mianserin	pIC50=6.79
COC(=O)C1C2CCC(CC1c3ccc(C=C(Br)Br)cc3)N2C	CHEMBL14924	pKi=6.79
