CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)C1=CC=CC=C1	proglumide
CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C)NCCOCCOCCOCCOCCOCCOC(=O)CN4CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC4)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL1807150	pIC50=8.6
Cc1cccc(NC(=O)N[C@@H]2C[C@H](c3ccccc3)c4ccccc4N(CC(=O)OC(C)(C)C)C2=O)c1	CHEMBL333718	pIC50=8.6
Fc1ccc(NC(=O)N[C@H]2C(=O)N(CC(=O)N3CCCC3)c4ccccc4N(C5CCCCC5)C2=O)cc1	CHEMBL320141	pKi=8.6
CC(C)Cn1nnc(n1)c2cccc(NC(=O)NC3C(=O)N(CCC(C)(C)C)c4ccccc4N(C3=O)c5ccccc5)c2	CHEMBL120168	pKi=8.61
CC(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(CCC(C)C)c3ccccc13	CHEMBL101063	pKi=8.62
CN1C(=O)[C@H](NC(=O)Nc2ccc3CCCc3c2)N=C([C@H]4CC(C)(C)CCN4)c5ccccc15	CHEMBL83130	pIC50=8.62
O=C(NC1C(=O)N(CC23CC4CC(CC(C4)C2)C3)c5ccccc5N(C6CCCCC6)C1=O)Nc7ccccc7	CHEMBL330409	pKi=8.62
CN(C)c1cccc(NC(=O)NC2C(=O)N(C3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL120015	pKi=8.63
O=C(NC1C(=O)N(CC23CC4CC(CC(C4)C2)C3)c5ccccc5N(C1=O)c6ccccc6)Nc7ccccc7	CHEMBL329984	pKi=8.64
COc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c4ccccc4N(C)C2=O)c1	CHEMBL2448131	pIC50=8.66
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(Cl)c3)C(=O)N(CC(=O)OC(C)(C)C)c2c1)c4ccccc4	CHEMBL334305	pIC50=8.66
Cc1cccc2[C@H](C[C@@H](NC(=O)Nc3cccc(Cl)c3)C(=O)N(CC(=O)NC(C)(C)C)c12)c4ccccc4	CHEMBL124340	pIC50=8.66
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(CC(=O)O)c2)N=C(C3CCCCC3)c4ccccc14	CHEMBL226673	pKi=8.67
CC(C)CC(C)N1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14	CHEMBL332595	pKi=8.68
O=C(NC1C(=O)N(C2[C@@H]3C[C@H]4C[C@H](C[C@@H]2C4)C3)c5ccccc5N(C1=O)c6ccccc6)Nc7cccc(c7)C8N=NN=N8	CHEMBL331688	pKi=8.68
CCc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(Cl)c3)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c4ccccc4	CHEMBL124004	pIC50=8.7
Cc1cccc2C(=NC(NC(=O)Nc3cccc(Cl)c3)C(=O)N(CC(=O)N4CC5CCC(CC5)C4)c12)c6ccccc6F	CHEMBL48563	pIC50=8.7
CN(c1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1)c5nn[nH]n5	CHEMBL227254	pKi=8.71
O=C(NC1C(=O)N(CC2[C@@H]3C[C@H]4C[C@H](C[C@@H]2C4)C3)c5ccccc5N(C1=O)c6ccccc6)Nc7ccccc7	CHEMBL334020	pKi=8.71
CCCC1C[C@H](N(C1)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL292493	pIC50=8.72
[O-][N+](=O)c1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL331405	pKi=8.72
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(CCC(=O)O)c2)N=C(C3CCCCC3)c4ccccc14	CHEMBL226675	pKi=8.73
CC(C)CCN1C(=O)C(NC(=O)Nc2cccc(c2)N(C)C)C(=O)N(c3ccccc3F)c4ccccc14	CHEMBL333979	pKi=8.73
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)NC[C@H](NC(=O)CCC(=O)O)c6ccccc6	CHEMBL2062154	pKi=8.73
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CC(=O)NCc3ccccc3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL120827	pKi=8.74
C[C@H]1CN2C(=N1)[C@H](NC(=O)Nc3cccc(C)c3)N=C(c4ccccc4)c5ccccc25	CHEMBL103119	pIC50=8.74
Cc1cccc2C(=NC(NC(=O)Nc3cccc(Br)c3)C(=O)N(CC(=O)N4CC5CCC(CC5)C4)c12)c6ccccc6F	CHEMBL299523	pIC50=8.75
Clc1cccc(NC(=O)NC2C(=O)N(C3CC4CCC3C4)c5ccccc5N(C2=O)c6ccccc6)c1	CHEMBL121267	pKi=8.76
C[C@@](N)(Cc1cn(C(=O)OC2C3CC4CC(CC2C4)C3)c5ccccc15)C(=O)NC[C@H](NC(=O)CCC(=O)O)c6ccccc6	CHEMBL165869	pKi=8.77
Cc1ccc2[C@@H](Cc3ccccc3)C[C@@H](NC(=O)Nc4cccc(c4)c5nn[nH]n5)C(=O)N(CC(=O)NC(C)(C)C)c2c1	CHEMBL300776	pIC50=8.77
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)c3cccc(c3)C(=O)O)N=C(C4CCCCC4)c5ccccc15	CHEMBL388143	pKi=8.8
Clc1ccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CC(=O)N5CCCC5)C2=O)cc1	CHEMBL445095	pIC50=8.8
Fc1ccc(NC(=O)N[C@H]2C(=O)N(CC(=O)N3CCCC3)c4ccccc4N(C5CCCCCC5)C2=O)cc1	CHEMBL95200	pKi=8.8
Cc1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL120031	pKi=8.81
O=C(NC1C(=O)N(C2CC3CCC2C3)c4ccccc4N(C1=O)c5ccccc5)Nc6ccccc6	CHEMBL278018	pKi=8.81
CC(C)(C1CCCC1)N2C(=O)C(NC(=O)Nc3cccc(c3)C4N=NN=N4)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL338278	pKi=8.82
CCCN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C([C@H]3CC(C)(C)CCN3)c4ccccc14	CHEMBL313983	pIC50=8.82
CN(C(=O)CN1C(=O)[C@@H](C[C@H](c2ccccc2)c3ccccc13)NC(=O)Nc4cccc(Cl)c4)C(C)(C)C	CHEMBL126865	pIC50=8.82
Brc1ccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)cc1	CHEMBL118189	pKi=8.85
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL439591	pIC50=8.85
CN1C(=O)C(NC(=O)Nc2cccc(c2)C(=O)O)N=C(C3CCCCC3)c4ccccc14	CHEMBL306803	pIC50=8.85
COC(=O)c1cccc(NC(=O)N[C@@H]2C[C@H](c3ccccc3)c4ccc(C)cc4N(CC(=O)NC(C)(C)C)C2=O)c1	CHEMBL298627	pIC50=8.85
Cc1ccc2[C@@H](Cc3ccccc3)C[C@@H](NC(=O)Nc4cccc(Cl)c4)C(=O)N(CC(=O)NC(C)(C)C)c2c1	CHEMBL127521	pIC50=8.85
Clc1ccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c4ccccc4N(CC(=O)N5CCCC5)C2=O)cc1	CHEMBL2092976	pIC50=8.85
CC(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(CC34CC5CC(CC(C5)C3)C4)c6ccccc16	CHEMBL100548	pKi=8.86
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL118610	pKi=8.86
Cl.CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(N3CCCCCC3)c4ccccc14	CHEMBL543712	pIC50=8.87
CC(=O)Nc1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL331119	pKi=8.88
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(N3CCCCCC3)c4ccccc14	CHEMBL311061	pIC50=8.89
CC(O)C(O)Nc1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL331763	pKi=8.9
CN(C)c1cccc(NC(=O)NC2C(=O)N(CC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL333930	pKi=8.9
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)C3=NC(=O)ON3)C(=O)N(C4CCCCC4)c5ccccc15	CHEMBL404967	pKi=8.92
CC1CCCC1C(=O)CN2C(=O)N(CC(=O)Nc3cccc(c3)C(=O)O)N=C(C4CCCCC4)c5ccccc25	CHEMBL388068	pKi=8.92
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)Cn3cc(CN(Cc4cn(CC(=O)N[C@@H](Cc5c[nH]c6ccccc56)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc7ccccc7)C(=O)N)nn4)Cc8cn(CC(=O)N[C@@H](Cc9c[nH]c%10ccccc9%10)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc%11ccccc%11)C(=O)N)nn8)nn3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc%12ccccc%12)C(=O)N	CHEMBL3400295	pKi=8.92
CCCN1C(=O)[C@H](NC(=O)Nc2ccc3CCCc3c2)N=C([C@H]4CC(C)(C)CCN4)c5ccccc15	CHEMBL79565	pIC50=8.92
CC(C)C(C)CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14	CHEMBL339879	pKi=8.95
CN(C)c1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL120021	pKi=8.95
CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCCCNC(=O)CCc3ccc(OS(=O)(=O)O)cc3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL98631	pIC50=8.96
CN1C(=O)[C@H](NC(=O)Nc2ccc(C)c(Nc3nn[nH]n3)c2)N=C(c4ccccc4)c5ccccc15	CHEMBL170275	pIC50=8.96
CC(C)(C)NC(=O)CN1C(=O)[C@@H](C[C@H](C2CCCCC2)c3ccccc13)NC(=O)Nc4cccc(Cl)c4	CHEMBL125253	pIC50=8.97
CN(CC(=O)O)c1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL226726	pKi=8.97
CN(C)c1cccc(NC(=O)NC2C(=O)N(C3CC4CCC3C4)c5ccccc5N(C2=O)c6ccccc6)c1	CHEMBL331262	pKi=8.99
CN1C(=O)[C@@H](NC(=O)Nc2ccc(cc2)c3nn[nH]n3)N=C(c4ccccc4)c5ccccc15	CHEMBL351854	pIC50=8.99
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)c3nn[nH]n3)N=C(C4CCCCC4)c5ccccc15	CHEMBL226533	pKi=9.0
CCOC(=O)CCN1C(=O)C(NC(=O)Nc2cccc(OC)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL136966	pIC50=9.0
CCS(=O)(=O)NC(=O)c1cccc(NC(=O)N[C@@H]2C[C@H](c3ccccc3)c4ccc(C)cc4N(CC(=O)NC(C)(C)C)C2=O)c1	CHEMBL293490	pIC50=9.0
CN1C(=O)[C@@H](NC(=O)Nc2cccc([125I])c2)N=C(c3ccccc3)c4ccccc14	CHEMBL475226	pKi=9.0
COc1cccc(NC(=O)NC2N=C(c3ccccc3F)c4cccc(C)c4N(CC(=O)N5CC6CCC(CC6)C5)C2=O)c1	CHEMBL50216	pIC50=9.0
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(Cl)c3)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c4ccccc4	CHEMBL291458	pIC50=9.0
OC(=O)c1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C5CCCC5)C2=O)c1	CHEMBL226620	pKi=9.0
CC(C)[C@H]1C[C@@H](NC(=O)Nc2cccc(c2)c3nn[nH]n3)C(=O)N(CC(=O)NC(C)(C)C)c4cc(C)ccc14	CHEMBL292856	pIC50=9.01
OC(=O)c1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL120363	pKi=9.01
CC(C)(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3F)c4ccccc14	CHEMBL331971	pKi=9.02
C[C@@H]1C2[C@@H](CCCN2C(=O)N(Cc3ccccc3)C1=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)OC6C7CC8CC(CC6C8)C7	CHEMBL359589	pIC50=9.02
Cc1cccc2C(=NC(NC(=O)Nc3cccc(c3)C(=O)O)C(=O)N(CC(=O)N4CC5CCC(CC5)C4)c12)c6ccccc6F	CHEMBL50926	pIC50=9.02
O=C(N[C@@H]1C(=O)N(CC23CC4CC(CC(C4)C2)C3)c5ccccc5N(C1=O)c6ccccc6)Nc7ccccc7	CHEMBL329305	pKi=9.02
O=Cc1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL333517	pKi=9.02
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)c3cccn3CC(=O)O)N=C(C4CCCCC4)c5ccccc15	CHEMBL437930	pKi=9.04
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(SCC(=O)O)c2)C(=O)N(C3CCCCCC3)c4ccccc14	CHEMBL258863	pKi=9.05
CCCC1CCN([C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N)[C@H]1C(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)CNC(=O)[C@@H]5CCCN5C(=O)CCc6ccc(OS(=O)(=O)O)cc6	CHEMBL2310858	pIC50=9.05
Cc1ccc2[C@@H](CC3CCCCC3)C[C@@H](NC(=O)Nc4cccc(c4)c5nn[nH]n5)C(=O)N(CC(=O)NC(C)(C)C)c2c1	CHEMBL59234	pIC50=9.06
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)C(=O)NS(=O)(=O)C)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c4ccccc4	CHEMBL57642	pIC50=9.06
CC(=O)c1cccc(NC(=O)NC2N=C(c3ccccc3F)c4cccc(C)c4N(CC(=O)N5CC6CCC(CC6)C5)C2=O)c1	CHEMBL50215	pIC50=9.08
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2ccc3cnn(CC(=O)O)c3c2)N=C(C4CCCCC4)c5ccccc15	CHEMBL389713	pKi=9.08
CCc1cccc2C(=NC(NC(=O)Nc3cccc(c3)c4nn[nH]n4)C(=O)N(CC(=O)N5CC6CCC(CC6)C5)c12)c7ccccc7F	CHEMBL285850	pIC50=9.09
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)c4nn[nH]n4)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c5ccccc5	CHEMBL301418	pIC50=9.09
OC(=O)c1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C5CCCCC5)C2=O)c1	CHEMBL226622	pKi=9.1
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2ccc3c(ccn3CC(=O)O)c2)N=C(C4CCCCC4)c5ccccc15	CHEMBL438843	pKi=9.11
CC(C)S(=O)(=O)NC(=O)c1cccc(NC(=O)N[C@@H]2N=C(C3CCCCC3)c4ccccc4N(C)C2=O)c1	CHEMBL75019	pIC50=9.11
CSc1cccc(NC(=O)NC2C(=O)N(CCC3CCCC3)c4ccccc4N(C2=O)c5ccccc5F)c1	CHEMBL121331	pKi=9.12
CN1C(=O)[C@H](NC(=O)Nc2cccc(c2)C(=O)NS(=O)(=O)c3ccccc3)N=C(C4CCCCC4)c5ccccc15	CHEMBL311154	pIC50=9.14
CSc1cccc(NC(=O)NC2C(=O)N(CCC(C)(C)C)c3ccccc3N(C2=O)c4ccccc4F)c1	CHEMBL332403	pKi=9.14
Fc1ccccc1N2C(=O)C(NC(=O)Nc3ccccc3)C(=O)N(CCC4CCCC4)c5ccccc25	CHEMBL120296	pKi=9.14
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(SCc3nn[nH]n3)c2)N=C(C4CCCCC4)c5ccccc15	CHEMBL435143	pKi=9.15
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)C(=O)Nc4nn[nH]n4)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c5ccccc5	CHEMBL58658	pIC50=9.16
CC(C)(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14	CHEMBL420728	pKi=9.17
CN(C)c1cccc(NC(=O)NC2C(=O)N(CCC3CCCC3)c4ccccc4N(C2=O)c5ccccc5F)c1	CHEMBL421271	pKi=9.17
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)c3csc(n3)C(=O)O)N=C(C4CCCCC4)c5ccccc15	CHEMBL227275	pKi=9.18
Fc1ccccc1C2=NC(NC(=O)Nc3cccc(c3)c4nn[nH]n4)C(=O)N(CC(=O)N5CC6CCC(CC6)C5)c7c(Cl)cccc27	CHEMBL32492	pIC50=9.18
Oc1ccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)cc1	CHEMBL118954	pKi=9.18
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(SCC(=O)O)c2)N=C(C3CCCCC3)c4ccccc14	CHEMBL389639	pKi=9.19
CC(C)(C)CCN1C(=O)C(NC(=O)Nc2cccc(c2)C#N)C(=O)N(c3ccccc3)c4ccccc14	CHEMBL118622	pKi=9.19
CCN(CC)C(=O)CN1C(=O)C(NC(=O)Nc2ccc(Cl)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL337574	pIC50=9.22
CN(C)c1cccc(NC(=O)NC2C(=O)N(CCC(C)(C)C)c3ccccc3N(C2=O)c4ccccc4F)c1	CHEMBL332568	pKi=9.22
COC(=O)c1cccc(NC(=O)N[C@@H]2C[C@H](C3CCCCC3)c4ccc(C)cc4N(CC(=O)NC(C)(C)C)C2=O)c1	CHEMBL57643	pIC50=9.22
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(Cl)c3)C(=O)N(CC(=O)NC(C)(C)C)c2c1)C4CCCCC4	CHEMBL334100	pIC50=9.22
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CCc3ccc(OS(=O)(=O)O)cc3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL316944	pIC50=9.23
CN1C(=O)C(NC(=O)Nc2cccc(c2)C(=O)NS(=O)(=O)c3ccccc3)N=C(C4CCCCC4)c5ccccc15	CHEMBL306944	pIC50=9.23
CN(c1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c4ccccc4N(C)C2=O)c1)c5nn[nH]n5	CHEMBL22003	pIC50=9.24
CN1C(=O)C(NC(=O)Nc2cccc(c2)C(=O)NS(=O)(=O)C)N=C(C3CCCCC3)c4ccccc14	CHEMBL75892	pIC50=9.24
Oc1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL331244	pKi=9.24
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]3CCCCNC(=O)[C@@H](CCC(=O)N[C@H](Cc4ccc(OS(=O)(=O)O)cc4)C(=O)N[C@@H](CCCC)C(=O)N3)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc5ccccc5)C(=O)N	CHEMBL264273	pKi=9.25
CCN(CC)C(=O)CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3ccccn3)c4ccccc14	CHEMBL313813	pIC50=9.25
O=C(NC1C(=O)N(CC23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3)c5ccccc5N(C1=O)c6ccccc6)Nc7cccc(c7)C(=O)OCCN8CCOCC8	CHEMBL402702	pKi=9.25
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CS(=O)(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL120150	pKi=9.27
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(N3CC4CCC(CC4)C3)c5ccccc15	CHEMBL349291	pIC50=9.28
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL316949	pIC50=9.3
CSc1cccc(NC(=O)NC2C(=O)N(CCC(C)(C)C)c3ccccc3N(C2=O)c4ccccc4)c1	CHEMBL330773	pKi=9.31
Cc1cccc(NC(=O)NC2N=C(c3ccccc3F)c4cccc(C)c4N(CC(=O)N5CC6CCC(CC6)C5)C2=O)c1	CHEMBL299800	pIC50=9.33
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)C3=NC(=O)ON3)C(=O)N(C4CCCCCC4)c5ccccc15	CHEMBL407340	pKi=9.37
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC3C4CC5CC(CC3C5)C4)C(=O)N[C@@H](CC(=O)O)Cc6ccc(N)c(I)c6	CHEMBL84864	pKi=9.4
Fc1ccc(NC(=O)NC2C(=O)N(CC(=O)N3CC4CCC(CC4)C3)c5ccccc5N(C2=O)c6ccccc6F)cc1	CHEMBL320624	pKi=9.4
CSc1cccc(NC(=O)NC2N=C(c3ccccc3F)c4cccc(C)c4N(CC(=O)N5CC6CCC(CC6)C5)C2=O)c1	CHEMBL413267	pIC50=9.43
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)c3occ(n3)C(=O)O)N=C(C4CCCCC4)c5ccccc15	CHEMBL437736	pKi=9.44
CN1C(=O)C(NC(=O)Nc2cccc(c2)S(=O)(=O)NC(=O)C)N=C(C3CCCCC3)c4ccccc14	CHEMBL441989	pIC50=9.44
OC(=O)CCc1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C5CCCC5)C2=O)c1	CHEMBL227330	pKi=9.47
CSc1cccc(NC(=O)NC2C(=O)N(CCC(C)C)c3ccccc3N(C2=O)c4ccccc4F)c1	CHEMBL121021	pKi=9.48
OC(=O)CSc1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C5CCCC5)C2=O)c1	CHEMBL227333	pKi=9.48
CC(C)S(=O)(=O)NC(=O)c1cccc(NC(=O)NC2N=C(C3CCCCC3)c4ccccc4N(C)C2=O)c1	CHEMBL75536	pIC50=9.52
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N4CCC(CCC)[C@H]4C(=O)N[C@@H](CC(=O)O)C(=O)N(C)[C@@H](Cc5ccccc5)C(=O)N	CHEMBL269355	pIC50=9.52
CN(C)c1cccc(NC(=O)NC2C(=O)N(CCC(C)(C)C)c3ccccc3N(C2=O)c4ccccc4)c1	CHEMBL331975	pKi=9.52
CN(c1nn[nH]n1)c2cc(NC(=O)N[C@@H]3N=C(C4CCCCC4)c5ccccc5N(C)C3=O)ccc2C	CHEMBL168253	pIC50=9.52
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2ccc3ccn(CC(=O)O)c3c2)N=C(C4CCCCC4)c5ccccc15	CHEMBL389711	pKi=9.53
Nc1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL331468	pKi=9.53
CC(C)(C)CCN1C(=O)C(NC(=O)Nc2cccc(c2)C3N=NN=N3)C(=O)N(c4ccccc4)c5ccccc15	CHEMBL332902	pKi=9.54
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL262197	pKi=9.55
CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(C3CCCCC3)c4ccccc14	CHEMBL58699	pIC50=9.55
CN1C(=O)[C@H](NC(=O)Nc2cccc(CNc3nn[nH]n3)c2)N=C(C4CCCCC4)c5ccccc15	CHEMBL2110202	pIC50=9.55
OC(=O)Cc1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C5CCCC5)C2=O)c1	CHEMBL387948	pKi=9.55
CN1C(=O)[C@H](NC(=O)Nc2cccc(c2)C(=O)NS(=O)(=O)c3ccccc3C)N=C(C4CCCCC4)c5ccccc15	CHEMBL305649	pIC50=9.57
CN1C(=O)[C@@H](NC(=O)Nc2ccc(cc2)c3noc(O)n3)N=C(c4ccccc4)c5ccccc15	CHEMBL351891	pIC50=9.58
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)C(=O)NS(=O)(=O)C)C(=O)N(CC(=O)NC(C)(C)C)c2c1)C4CCCCC4	CHEMBL294252	pIC50=9.59
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC3C4CC5CC(CC3C5)C4)C(=O)N[C@@H](CC(=O)O)Cc6ccc(N)c([125I])c6	CHEMBL1628582	pKd=9.6
