CN(CCCCCCN(C)C(=O)OC1=C[N+](C)=CC=C1)C(=O)OC1=C[N+](C)=CC=C1	distigmine
NC1=C2CCCCC2=NC2=CC=CC=C12	tacrine	pKi=7.14	pKi=7.14	pKi=7.14	pIC50=6.03
CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	neostigmine	pIC50=7.59	pIC50=7.59	pIC50=7.59	pIC50=7.38
COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	donepezil	pKi=7.8	pKi=7.8	pKi=7.8	pIC50=6.8
C[N+]1=CC=CC=C1C=NO	pralidoxime	pKd=4.59	pKd=4.59	pKd=4.59
CC[N+](C)(C)C1=CC=CC(O)=C1	edrophonium	pKi=8.79	pKi=8.79	pKi=8.79	pKi=6.1
CN(CCCCCCCCCCN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	demecarium
CN(C)C(=O)OC1=C[N+](C)=CC=C1	pyridostigmine	pIC50=6.44	pIC50=6.44	pIC50=6.44	pIC50=6.44
CC(C)OP(F)(=O)OC(C)C	fluostigmine	pKi=5.22	pKi=5.22	pKi=5.22	pIC50=6.92
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C	rivastigmine	pIC50=7.43	pIC50=7.43	pIC50=7.43	pIC50=6.04
CCOP(=O)(OCC)SCC[N+](C)(C)C	echothiophate
[H][C@]12N(C)CC[C@@]1(C)C1=CC(OC(=O)NC)=CC=C1N2C	physostigmine	pIC50=9.37	pIC50=9.37	pIC50=9.37	pIC50=6.3
[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=CC=C(OC)C(O2)=C13	galantamine	pKi=7.21	pKi=7.21	pKi=7.21	pIC50=6.0
COC1=CC(O)=C(C=C1OC)C(=O)NC1=NC(=CS1)C(=O)NCCN(C(C)C)C(C)C	acotiamide	pIC50=5.52287865	pIC50=5.52287865	pIC50=5.52287865
C[N+](C)(CCCCCC[N+](C)(C)C1C2=CC=CC=C2C2=C1C=CC=C2)C1C2=CC=CC=C2C2=C1C=CC=C2	hexafluronium
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC1=C(Cl)C=CC=C1	ambenonium
[Br-].COc1ccc2[nH]cc(CCNC(=O)\C=C\c3cc[n+](Cc4ccccc4F)cc3)c2c1	CHEMBL3628066	pIC50=6.59
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)OCc3ccccc3	CHEMBL1082082	pIC50=6.6
CCCCNC(=O)OCCCCCOC(=O)NCCCC	CHEMBL181867	pKi=6.6
CCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3C(=O)C=COc3c2)c1	CHEMBL1084091	pIC50=6.6
CCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3C(=O)C=COc3c2)c1	CHEMBL128392	pIC50=6.6
CCN(CCCCOc1ccc(cc1)C2=CC(=O)c3c(O)c(OC)c(OC)cc3O2)Cc4ccccc4OC	CHEMBL3577522	pIC50=6.6
CCN1CCC2C1Cc3ccc(OC(=O)NC)cc23	CHEMBL1085629	pIC50=6.6
CCN1CC[C@@H]2C1Cc3ccc(OC(=O)NC)cc23	CHEMBL287691	pIC50=6.6
COc1cc2C=C(C3CC[N+](C)(Cc4ccccc4)CC3)C(=O)c2cc1OC	CHEMBL185799	pIC50=6.6
CN1CC[C@]2(C)C1N(Cc3ccccc3)c4ccc(OC(=O)Nc5ccccc5)cc24	CHEMBL319541	pIC50=6.61
CN1CC[C@]2(C)[C@H]1N(Cc3ccccc3)c4ccc(OC(=O)Nc5ccccc5)cc24	CHEMBL1243111	pIC50=6.61
FC(F)C(=O)c1cnn(c1)C2CCCC2	CHEMBL3623559	pIC50=6.61
CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4C(=O)OC	CHEMBL325502	pIC50=6.62
CN(CCCCCCCOc1cccc(c1)c2oc3ccccc3c2C(=O)c4ccccc4)Cc5ccccc5	CHEMBL2160227	pIC50=6.62
COc1cc(cc(OC)c1OC)C(=O)NCCCC(=O)NNc2c3CCCCc3nc4ccccc24	CHEMBL219063	pIC50=6.62
C[N+]1(Cc2ccccc2)CCC(CCC(=O)c3ccc4OCOc4c3)CC1	CHEMBL313231	pIC50=6.62
FC(F)(F)Oc1ccc(NC(=O)N2CCCN(CCc3ccccc3)CC2)cc1	CHEMBL2297977	pKi=6.62
Nc1c2C3CCC(C3)c2nc4ccccc14	CHEMBL431844	pIC50=6.62
Nc1nc(NCCCC2CCN(Cc3ccccc3)CC2)c(C#N)c(c4ccccc4)c1C#N	CHEMBL2088781	pIC50=6.62
O=C(CCc1cc[n+](Cc2ccccc2)cc1)c3ccc4OCOc4c3	CHEMBL363455	pIC50=6.62
[O-][N+](=O)c1ccc2C(=O)N(CCC3CCN(Cc4ccc(Cl)cc4)CC3)C(=O)c2c1	CHEMBL123909	pIC50=6.62
CCCCCCNC(=O)Oc1ccc2CC3N(CC)CC[C@@]3(C)c2c1	CHEMBL34222	pIC50=6.63
CCCCCCNC(=O)Oc1ccc2C[C@@H]3N(CC)CC[C@]3(C)c2c1	CHEMBL359198	pIC50=6.63
CCN(C)Cc1cccc(\C=C\2/Cc3cc(OC)c(OC)cc3C2=O)c1	CHEMBL463279	pKi=6.63
CCN(CC)Cc1cccc(\C=C\2/Cc3cc(OC)c(OC)cc3C2=O)c1	CHEMBL518399	pKi=6.63
CCN(CCC(=O)NCCNc1c2CCCCc2nc3ccccc13)C4CCCCC4	CHEMBL3322140	pIC50=6.63
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccccc4OC	CHEMBL436302	pIC50=6.63
COc1cc(\C=C\C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc(OC)c1OC	CHEMBL3819083	pIC50=6.63
CCCCC1=NC2(CCCC2)C(=O)N1CCN3C(=O)c4ccccc4C3=O	CHEMBL240793	pIC50=6.64
CCCCC1=NC2(CCCC2)C(=O)N1Cc3cc4OCOc4cc3C	CHEMBL241011	pIC50=6.64
CCCn1c2\C(=N/CC)\CCc2c3c(Br)c(OC(=O)NC)ccc13	CHEMBL445916	pIC50=6.64
CC[C@@H]1CN(C)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](C[C@H]1C2C(=O)OC)c5ccc6c7CCN8C[C@@H]9C[C@H](CC)[C@H]8[C@@H](C9)c7[nH]c6c5	CHEMBL376478	pIC50=6.64
CN(C)C(=O)Oc1cccc(CCN)c1	CHEMBL147524	pIC50=6.64
CN(CCOCCNC(=S)NC(=O)c1ccc(cc1)c2ccccc2)Cc3ccccc3	CHEMBL101809	pIC50=6.64
CNC(=O)Oc1ccc2c(c1Cl)c3CC\C(=N\C)\c3n2C	CHEMBL155754	pIC50=6.64
COc1cc2CC(Oc3ccc(cc3)C(C)N4CCN(C)CC4)C(=O)c2cc1OC	CHEMBL361540	pKi=6.64
COc1cc2NC(=O)C(=C(O)c2cc1OC)C(=O)NCC3CCN(Cc4ccccc4)CC3	CHEMBL3233934	pIC50=6.64
COc1cc2[Se]N(CCCC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	CHEMBL3086277	pIC50=6.64
COc1ccc(cc1)C2=CC3=C(C[C@]4(O)[C@@](C)(CC[C@]56OC(=O)[C@](OC)(C(=O)[C@]45C)C6(C)C)O3)C(=O)O2	CHEMBL183507	pIC50=6.64
C[C@]12CCNC1Nc3ccc(OC(=O)Nc4ccccc4)cc23	CHEMBL309351	pIC50=6.64
Cc1ccc(cc1)[C@H]2C3=C(CC(C)(C)CC3=O)Nc4nc5CCCCc5c(N)c24	CHEMBL2234535	pIC50=6.64
C(CCCNc1c2CCCc2nc3ccccc13)CCCN(Cc4oc5ccccc5c4)Cc6oc7ccccc7c6	CHEMBL3752384	pIC50=6.65
CC(C)(CO[N+](=O)[O-])C(=O)NCCCCNc1c2CCCCc2nc3ccccc13	CHEMBL271746	pIC50=6.65
CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2N	CHEMBL415799	pIC50=6.65
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccccc4C(F)(F)F	CHEMBL491561	pIC50=6.65
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccncc4	CHEMBL491360	pIC50=6.65
COc1cc(N)c(Cl)cc1C(=O)CCC2CCN(CCC3CCCCC3)CC2	CHEMBL3416999	pIC50=6.65
Cc1cccc(CN2CCC(CCC(=O)c3ccc4CCCCNc4c3)CC2)c1	CHEMBL74340	pIC50=6.65
O=C1N2CCCCC2=Nc3ccc(OCCCN4CCCCC4)cc13	CHEMBL3323059	pIC50=6.65
C(Cc1nccc2ccccc12)C3CCN(Cc4ccccc4)CC3	CHEMBL92142	pIC50=6.66
CC1CCN(Cc2cccc3ccccc23)CC1	CHEMBL155121	pIC50=6.66
CCCC[C@@H](O)\C=C\C=C\C(=O)O	CHEMBL3586207	pIC50=6.66
CN(C)C(=O)Oc1cccc(CCNCC#C)c1	CHEMBL347503	pIC50=6.66
CN(Cc1ccccc1)Cc2ccc(cc2)C(=O)c3ccc(NC(=O)CCCCN4CCCCC4)cc3	CHEMBL1773481	pIC50=6.66
CNC(=O)Oc1ccc2N(C)[C@H]3N(CCc4ccccc4)CC[C@@]3(C)c2c1	CHEMBL75729	pIC50=6.66
COc1cc2CC(Oc3ccc(cc3)C(C)N4CCOCC4)C(=O)c2cc1OC	CHEMBL361309	pKi=6.66
COc1cc2CC(Sc2cc1OC)C(=O)CCc3cc[n+](CC=C)cc3	CHEMBL189122	pKi=6.66
COc1ccc(cc1)[C@H]2C3=C(CC(C)(C)CC3=O)Nc4nc5CCCCc5c(N)c24	CHEMBL2234536	pIC50=6.66
COc1cccc(C)c1	CHEMBL349791	pIC50=6.66
NC(=O)c1cc2c(cn1)[nH]c3ncc(cc23)c4ccc(CN5CCCCC5)cc4	CHEMBL3582218	pIC50=6.66
Nc1nc(NCCC2CCN(Cc3ccccc3)CC2)c(cc1C#N)C#N	CHEMBL2088784	pIC50=6.66
O=C1N2CCc3ccccc3C2=Nc4ccc(OCCCN5CCCCC5)cc14	CHEMBL3323042	pIC50=6.66
CCCCCCCNC(=O)Oc1ccc(Cn2cc(COc3ccc4C=CC(=O)Oc4c3)nn2)cc1	CHEMBL3828696	pIC50=6.67
C(Cc1noc2ccccc12)C3CCN(Cc4ccccc4)CC3	CHEMBL92460	pIC50=6.68
C(N1CCC(CC1)\C=C/c2noc3ccccc23)c4ccccc4	CHEMBL96246	pIC50=6.68
C(N1CCC(CC1)\C=C\c2noc3ccccc23)c4ccccc4	CHEMBL126939	pIC50=6.68
CCCCCCCNC(=O)Oc1ccc2CC3N(CC)CC[C@@]3(C)c2c1	CHEMBL416586	pIC50=6.68
CCCCCCNC(=O)Oc1ccc2CC3[C@@H](CCN3CC)c2c1	CHEMBL284369	pIC50=6.68
CCCCCCNC(=O)Oc1ccc2C[C@@H]3[C@@H](CCN3CC)c2c1	CHEMBL1085384	pIC50=6.68
CCN(CC)CC(=O)Nc1ccc(cc1)C(=O)c2ccc(CN(C)Cc3ccccc3)cc2	CHEMBL1773478	pIC50=6.68
CN(C)Cc1oc(CSCCCCSCc2oc(CN(C)C)cc2)cc1	CHEMBL12937	pIC50=6.68
CN(Cc1ccccc1)Cc2ccc(cc2)C(=O)c3ccc(OCCCCCCN4CCCCC4)cc3	CHEMBL1773489	pIC50=6.68
CNC(=O)Oc1cccc(CN(C)CC#CCOc2ccc3C(=O)c4ccccc4Oc3c2)c1	CHEMBL1084276	pIC50=6.68
COc1cc2CC(Oc3ccc(CN(C)C)cc3)C(=O)c2cc1OC	CHEMBL435897	pKi=6.68
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCNc3c4CCCCc4nc5cc(Cl)ccc35	CHEMBL3632988	pIC50=6.68
Cl.CNC(=O)Oc1cccc(CN(C)CC#CCOc2ccc3C(=O)c4ccccc4Oc3c2)c1	CHEMBL553803	pIC50=6.68
[Br-].COc1ccc2[nH]cc(CCNC(=O)\C=C\c3cc[n+](Cc4ccc(F)cc4)cc3)c2c1	CHEMBL3628183	pIC50=6.68
CC(=O)N(CCC1CCN(Cc2ccccc2)CC1)c3ccc(F)cc3	CHEMBL340609	pIC50=6.69
CC1N[C@@H](Cc2c1[nH]c3ccccc23)C(=O)NCCCCCCNc4c5CCCCc5nc6ccccc46	CHEMBL3343929	pIC50=6.69
CCN(CCCCCCOCCCCCCCCOCCCCCCN(CC)Cc1ccccc1OC)Cc2ccccc2OC	CHEMBL175047	pIC50=6.69
C(CCCNc1c2CCCCCc2nc3ccccc13)CCCN(Cc4oc5ccccc5c4)Cc6oc7ccccc7c6	CHEMBL3754672	pIC50=6.7
CCCCCCSc1nc(nn1C(=O)N(C)C)c2ccc(C)cc2	CHEMBL336276	pIC50=6.7
CCCCNC(=O)OCCCCCCCCCCCCCCO	CHEMBL183394	pKi=6.7
CCCCNC(=O)OCCCCCCCCCCO	CHEMBL181435	pKi=6.7
CCN(CC)CCCOc1ccc2N=C3N(Cc4ccccc34)C(=O)c2c1	CHEMBL3323039	pIC50=6.7
CCN(CCCOc1ccc(cc1)C2=CC(=O)c3c(O2)cc(OC)c(OC)c3OC)Cc4ccccc4OC	CHEMBL3577505	pIC50=6.7
CN(C)C(=O)n1nc(nc1SCC(F)(F)F)c2ccc(C)cc2	CHEMBL131320	pIC50=6.7
CN(C)Cc1oc(CSCCNc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL316973	pIC50=6.7
CN(Cc1ccccc1)Cc2ccc(\C=C\3/Cc4ccc(OCCCCCN5CCCCC5)cc4C3=O)cc2	CHEMBL603256	pIC50=6.7
COc1cc(CNCCCNC2=CC(=O)C(=CC2=O)NCCCNCc3ccc(O)c(OC)c3)ccc1O	CHEMBL1770548	pIC50=6.7
COc1cc2C\C(=C/c3ccc(CN4CCCC4)cc3)\C(=O)c2cc1OC	CHEMBL465028	pKi=6.7
COc1cc2OC(=O)C(=Cc2cc1OC)c3cccc(CN(C)Cc4ccccc4)c3	CHEMBL243310	pIC50=6.7
COc1cccc2cc(CN(CCCCCCCNc3c4CCCCCc4nc5ccccc35)Cc6oc7c(OC)cccc7c6)oc12	CHEMBL3754005	pIC50=6.7
Cl.CN1[C@@H]2[C@@](C)(CC[N@@+]2(C)[O-])c3cc(OC(=O)Nc4ccccc4)ccc13	CHEMBL538853	pIC50=6.7
O=C1N(CCCCCNCc2ccccc2)C(=O)c3ccccc13	CHEMBL3415558	pIC50=6.7
[Br-].CN(C)c1cc[n+](CCCCOc2ccc(cc2)C(=O)NCCc3c[nH]c4ccccc34)cc1	CHEMBL2159656	pKi=6.7
[Br-].[Br-].C(c1ccc2ccc(C[n+]3ccccc3)cc2c1)[n+]4ccccc4	CHEMBL1081810	pIC50=6.7
[Cl-].CN(C)C(=O)Oc1ccc(cc1)c2cn3c(NC(=O)c4ccccc4)cccc3[n+]2C	CHEMBL1085028	pIC50=6.7
CCN(CCCN1CCN(CCNc2c3CCCCc3nc4ccccc24)CC1)C5CCCCC5	CHEMBL2064469	pIC50=6.71
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccc(F)cc4	CHEMBL219172	pIC50=6.71
O=C(CCC1CCN(Cc2ccccc2)CC1)c3ccc4CCCCNc4c3	CHEMBL75013	pIC50=6.71
CC1=C[C@@H]2C[C@H](C1)c3c(C2)nc4cc(Cl)ccc4c3NCCCCCCNc5c6[C@@H]7C[C@H](Cc6nc8cc(Cl)ccc58)C=C(C)C7	CHEMBL3353039	pIC50=6.72
CCN(CC)CCCCCOc1ccc2C\C(=C/c3ccc(CN(C)Cc4ccccc4)cc3)\C(=O)c2c1	CHEMBL599057	pIC50=6.72
CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)Cc2ccncc2)Cc3ccncc3	CHEMBL241960	pIC50=6.72
CCN(CCCNC1=CC(=O)C(=CC1=O)NCCCNC(=O)CCCCC2CCSS2)Cc3ccccc3OC	CHEMBL574847	pIC50=6.72
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4cccc(c4)[N+](=O)[O-]	CHEMBL220294	pIC50=6.72
COc1cc2CC(Sc2cc1OC)C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3	CHEMBL187603	pIC50=6.72
COc1cc2CC[N+](C)(CCCCCCc3cccc(OC)[n+]3C)Cc2cc1OC.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441672	pIC50=6.72
COc1cccc(CCCCCCCCc2cccc(OC)[n+]2C)[n+]1C.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441669	pIC50=6.72
COc1ccccc1NCC2=CC(=O)Oc3cc4oc5ccccc5c4cc23	CHEMBL1940736	pIC50=6.72
C[C@@H]1CCC[C@H](C)N1S(=O)(=O)c2cccc(c2)[N+](=O)[O-]	CHEMBL574474	pIC50=6.72
Cc1ccc2[nH]c3CCN(CCCCCCN4CCc5[nH]c6ccc(C)cc6c5C4)Cc3c2c1	CHEMBL3585374	pIC50=6.72
O.Cl.Cl.C(CC1CCN(Cc2ccccc2)CC1)Nc3cc4CCc5ccccc5c4nn3	CHEMBL1202885	pIC50=6.72
O.Cl.Cl.C(CC1CCN(Cc2ccccc2)CC1)Nc3cc4ccc5ccccc5c4nn3	CHEMBL1202884	pIC50=6.72
CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCNc3c4CCCCc4nc5ccccc35)cc12	CHEMBL3642048	pIC50=6.73
CC(C)(C)OC(=O)N1Cc2[nH]c3ccccc3c2C[C@H]1C(=O)NCCCCCCNc4c5CCCCc5nc6ccccc46	CHEMBL3343926	pIC50=6.73
C[C@@H]1CCC[C@H](C)N1S(=O)(=O)c2ccccc2[N+](=O)[O-]	CHEMBL575813	pIC50=6.73
N#Cc1cc2c(cn1)[nH]c3ncc(cc23)c4ccc(CN5CCCCC5)nc4	CHEMBL3582213	pIC50=6.73
CCN(Cc1ccccc1)Cc2ccc(cc2)C3=Cc4ccc(OCCNC(=O)Cc5cc(F)cc(F)c5)cc4OC3=O	CHEMBL26125	pIC50=6.74
CCOC(=O)C1=C(C)Oc2nc3CCCCc3c(N)c2C1c4ccc(C)cc4	CHEMBL430403	pIC50=6.74
C(CCCCCNc1c2CCCCc2nc3ccccc13)CCCCNc4ccncc4	CHEMBL1084531	pIC50=6.75
CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCNc3c4CCCCc4nc5ccccc35)cc12	CHEMBL3642042	pIC50=6.75
CC1CCN(CCc2ccccc2)CC1	CHEMBL343237	pIC50=6.75
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c3cc(Br)cs3	CHEMBL1080814	pIC50=6.75
CCN1CC[C@]2(C)C1Cc3ccc(OC(=O)Nc4ccccc4)cc23	CHEMBL33161	pIC50=6.75
CCN1CC[C@]2(C)[C@H]1Cc3ccc(OC(=O)Nc4ccccc4)cc23	CHEMBL1084880	pIC50=6.75
CN(C)Cc1oc(CSCc2ccc(cc2)c3ccc(CSCc4oc(CN(C)C)cc4)cc3)cc1	CHEMBL12781	pIC50=6.75
CN(Cc1ccccc1)Cc2ccc(\C=C\3/Cc4ccc(OCCCCN5CCCCC5)cc4C3=O)cc2	CHEMBL597822	pIC50=6.75
CNC(=O)Oc1ccc2c(c1Br)c3CC\C(=N\C)\c3n2C	CHEMBL156861	pIC50=6.75
COc1cc2CC\C(=C/c3ccc(CN(C)Cc4ccccc4)cc3)\C(=O)c2cc1OC	CHEMBL604096	pIC50=6.75
COc1ccc(cc1)C2=Cc3cc(OCCCN(C)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4)ccc3OC2=O	CHEMBL3827058	pIC50=6.75
Cl.CN1[C@@H]2[C@@](C)(CC[N@@+]2(C)[O-])c3cc(OC(=O)Nc4ccccc4C)ccc13	CHEMBL556186	pIC50=6.75
Clc1ccc2c(NCCCCCNC(=O)c3c[nH]c4ccccc34)c5CCCCc5nc2c1	CHEMBL388575	pIC50=6.75
Clc1cccc(Cl)c1CO\N=C\c2cc[n+](CCCc3ccccc3)cc2	CHEMBL32329	pIC50=6.75
NCCCCCCCCCCCCNc1c2CCCCc2nc3ccccc13	CHEMBL1084093	pIC50=6.75
CN1CC[C@]2(C)[C@H](O1)N(C)c3ccc(OC(=O)Nc4ccccc4C)cc23	CHEMBL124054	pIC50=6.76
CC(NCCc1cccc(OC(=O)N(C)C)c1)C#C	CHEMBL151861	pIC50=6.77
CCCCCCCNC(=O)Oc1cccc(CN(CCCOc2ccc3C(=O)c4ccccc4Oc3c2)C(C)C)c1	CHEMBL129577	pIC50=6.77
CCCCCCNC(=O)Oc1cccc(CN(CCCOc2ccc3C(=O)c4ccccc4Oc3c2)C(C)C)c1	CHEMBL1083977	pIC50=6.77
CCCCNC(=O)OCCCCCCCCCCCCCCCCOC(=O)NCCCC	CHEMBL362685	pKi=6.77
CCN(CCCCCC(=O)Nc1ccc(CCc2ccc(NC(=O)CCCCCN(CC)Cc3ccccc3OC)cc2)cc1)Cc4ccccc4OC.OC(=O)C(=O)O	CHEMBL222875	pIC50=6.77
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccc(C)cc4	CHEMBL219406	pIC50=6.77
CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c3ccccc3	CHEMBL56470	pIC50=6.77
COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc2ccccc2OC	CHEMBL11805	pIC50=6.77
COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc2ccccc2OC.OC(=O)C(=O)O	CHEMBL222856	pIC50=6.77
Cl.Cl.COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc2ccccc2OC	CHEMBL557586	pIC50=6.77
Clc1ccc2c(NCc3ccccc3)c4CCCCc4nc2c1	CHEMBL59628	pIC50=6.77
Clc1ccc2c(Nc3ccccc3)c4CCCCc4nc2c1	CHEMBL1084777	pIC50=6.77
Fc1ccccc1CNCCCCCN2C(=O)c3ccccc3C2=O	CHEMBL3415563	pIC50=6.78
O=C(CCC1CCN(Cc2ccccc2)CC1)c3ccc4CCCNc4c3	CHEMBL73593	pIC50=6.78
CNC(=O)Oc1ccc2N(Cc3ccccc3)C4N(C)CC[C@@]4(C)c2c1	CHEMBL80221	pIC50=6.79
CNC(=O)Oc1ccc2N(Cc3ccccc3)[C@H]4N(C)CC[C@@]4(C)c2c1	CHEMBL1243076	pIC50=6.79
COc1cc2C(=O)N(CCC3CCN(Cc4ccccc4)CC3)[Se](=O)c2cc1OC	CHEMBL3086279	pIC50=6.79
COc1cc2CC(Cc3ccc(CN(C)C)cc3)C(=O)c2cc1OC	CHEMBL474578	pKi=6.79
COc1ccc2OC(=O)C(=Cc2c1)c3ccc(CN(C)Cc4ccccc4)cc3	CHEMBL243532	pIC50=6.79
ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl	CHEMBL192627	pKi=6.79
Nc1c2CCCCc2nc3ccc(O)cc13	CHEMBL1161715	pIC50=6.79
O\N=C\c1ncc(CCCCCNc2c3CCCCc3nc4ccccc24)cc1O	CHEMBL3234589	pIC50=6.79
CC(C)C1=N[C@H]2CC[C@]34C[C@@]35[C@@H](CC[C@H]4[C@]2(C)CS1)[C@]6(C)C[C@@H](O)[C@H]([C@H](C)N(C)C(=O)OC(C)(C)C)[C@@]6(C)CC5=O	CHEMBL1783524	pIC50=6.8
CC1CCN(Cc2ccccc2[N+](=O)[O-])CC1	CHEMBL347354	pIC50=6.8
CCCC(C)n1cc(cn1)C(=O)C(F)F	CHEMBL3623557	pIC50=6.8
CCCCCCNC(=O)Oc1cccc(CN(CC)CCCOc2ccc3C(=O)c4ccccc4Oc3c2)c1	CHEMBL1082419	pIC50=6.8
CCCCNC(=O)OCCCCCCCCCCCCCCOC(=O)NCCCC	CHEMBL185164	pKi=6.8
CCCCNC(=O)OCCCCCCCCCCCCOC(=O)NCCCC	CHEMBL184946	pKi=6.8
CCCCNC(=O)OCCCCCCCCCCOC(=O)NCCCC	CHEMBL185000	pKi=6.8
CCN(CCCNC1=CC(=O)C(=CC1=O)NCCCCCCNC(=O)CCCCC2CCSS2)Cc3ccccc3OC	CHEMBL572453	pIC50=6.8
CCN1CCc2cc(ccc2C1)c3cnc4[nH]c5cnc(cc5c4c3)C#N	CHEMBL3582215	pIC50=6.8
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4cccnc4	CHEMBL491359	pIC50=6.8
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2[C@@H]1c4ccccc4OC	CHEMBL2234531	pIC50=6.8
CC\N=C/1\CCc2c1n(C)c3ccc(OC(=O)NC)c(Cl)c23	CHEMBL155350	pIC50=6.8
CN(C)CCc1cccc(OC(=O)N(C)C)c1	CHEMBL151368	pIC50=6.8
CNC(=O)Oc1ccc2c(c1)c3CC\C(=N\CCc4ccccc4)\c3n2C	CHEMBL160219	pIC50=6.8
CNc1cc(NCCSCc2oc(CN(C)C)cc2)c(cc1[N+](=O)[O-])[N+](=O)[O-]	CHEMBL320291	pIC50=6.8
Clc1ccc2C(=C)N3CCCCCC3=Nc2c1	CHEMBL1161717	pIC50=6.8
Clc1ccc2CN3CCCCCC3=Nc2c1	CHEMBL445130	pIC50=6.8
Clc1cccc(CNCCCCCN2C(=O)c3ccccc3C2=O)c1	CHEMBL3415578	pIC50=6.8
O=C(NCCCCCCNc1c2CCCCc2nc3ccccc13)c4cc5c6ccccc6[nH]c5c(n4)c7ccccc7	CHEMBL3343923	pIC50=6.8
O=S(=O)(CCCN1CCN(Cc2ccccc2)CC1)NCCNc3cccc4ccccc34	CHEMBL3361270	pIC50=6.8
CCCNC(=O)Oc1ccc2CC3N(CC)CC[C@@]3(C)c2c1	CHEMBL32964	pIC50=6.81
CCCNC(=O)Oc1ccc2C[C@H]3N(CC)CC[C@@]3(C)c2c1	CHEMBL1085127	pIC50=6.81
COc1ccc(\C=C\2/COc3cc(OCCCCCCNc4c5CCCCc5nc6ccccc46)ccc3C2=O)cc1	CHEMBL3093174	pIC50=6.81
C(CCNc1c2CCCCc2nc3ccccc13)CCc4ccccn4	CHEMBL3234593	pIC50=6.82
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3343932	pIC50=6.82
CCCCNC(=O)OCCCCCCCCOC(=O)NCCCC	CHEMBL425165	pKi=6.82
CCCCNC(=O)Oc1ccc2N(C)C3N(C)CC[C@@]3(C)c2c1	CHEMBL609671	pIC50=6.82
CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCNC(=O)CCCCC2CCSS2)Cc3ccccc3OC	CHEMBL572532	pIC50=6.82
CNC(=O)Oc1ccc2N(C)[C@H]3ON(C)CC[C@@]3(C)c2c1	CHEMBL123248	pIC50=6.82
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCNc3c4CCCCc4nc5cc(Cl)ccc35	CHEMBL3632990	pIC50=6.82
Cc1cccc2nc3OCCCc3c(N)c12	CHEMBL132619	pIC50=6.82
