CC(C)c1nn(c2ccc(cc2Cl)C(=O)N)c3nccc(c13)n4cnc(c4)c5ccc(cc5)C(=O)N	CHEMBL3661160	pIC50=6.0
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CCCCC5C)cc4	CHEMBL3342730	pIC50=7.46
CC(C)c1cc(c(O)cc1O)n2nncc2c3ccc(CN4CCOCC4)cc3	CHEMBL3234762	pIC50=7.46
COc1ccc(cc1)c2c(NC(=O)CC(C)C)onc2c3cc(Cl)c(O)cc3O	CHEMBL3342586	pIC50=7.46
NC(=O)N1Cc2nc(N)nc(c2C1)c3c(Cl)cc(Cl)cc3OCCn4cccn4	CHEMBL1774919	pKi=7.46
CC(C)c1cc(C(=O)N2CCc3onc(C(=O)NCCCl)c3C2)c(O)cc1O	CHEMBL3233754	pIC50=7.47
COc1ccc(cc1OC)c2snnc2c3cc(Cl)c(O)cc3O	CHEMBL515048	pKd=7.47
Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc4CCNC(=O)c4c(c3)C5CCC5	CHEMBL3235356	pKi=7.47
CC(C)CN1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4cc(Cl)c(cc14)C(=O)N	CHEMBL3401151	pKi=7.48
CC(C)c1cc(C(=O)N2CCc3onc(C(=O)NCCCCCCC(=O)NO)c3C2)c(O)cc1O	CHEMBL3233755	pIC50=7.48
CCCCCCCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3	CHEMBL3235113	pIC50=7.48
CCNC(=O)NCc1ccc2N(C(=O)Nc2c1)c3cc(Cl)c(O)cc3O	CHEMBL1801575	pIC50=7.48
CCNC(=O)c1noc(c1C#CC2CC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600499	pIC50=7.48
CN(C)c1cc2OCOc2cc1Sc3nc4c(N)nccc4n3CCNCC(C)(C)C	CHEMBL2419346	pIC50=7.48
COC(=O)C[C@@H]1[C@@]2(C)[C@H](C[C@@H](O)[C@@]3(C)CO[C@@H]([C@H]4O[C@@H]5C[C@H](C(=C5[C@@]14C)C)c6cocc6)[C@H]23)OC(=O)\C(=C\C)\C	CHEMBL2270444	pKd=7.48
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CNC4CCN(C)CC4)cc3	CHEMBL3235111	pIC50=7.5
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4cc(F)c(C(=O)N)c(N[C@H]5CCOC5)c4	CHEMBL3235333	pKi=7.5
COc1c(C)cnc(Cn2cc(CCCO)c3c(Cl)nc(N)nc23)c1C	CHEMBL2205800	pEC50=7.5
CC(C)c1cc(c(O)cc1O)n2nnc(C(=O)NCCCCCCC(=O)NO)c2c3ccc(CN4CCOCC4)cc3	CHEMBL3235118	pIC50=7.51
OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3[C@@H](C[C@@](O)(CO)[C@@H]23)OC(=O)c4ccc(O)cc4)[C@H](O)[C@@H](O)[C@@H]1O	CHEMBL2332346	pKd=7.51
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CCC(CC5)N6CCOCC6)cc4	CHEMBL3342735	pIC50=7.52
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCC[C@@H](O)C4)cc3	CHEMBL3234766	pIC50=7.52
Oc1cc(O)c(cc1Cl)c2noc3ccc(NCCN4CCOCC4)cc23	CHEMBL404630	pIC50=7.52
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CC(C)OC(C)C5)cc4	CHEMBL3342728	pIC50=7.54
CC1(C)CC(=O)c2c(C1)n(nc2C(F)(F)F)c3ccc(C(=O)N)c(N[C@@H]4CC[C@@H](O)CC4)c3	CHEMBL560895	pIC50=7.54
CCNC(=O)c1noc2CCN(Cc12)C(=O)c3cc(C(C)C)c(O)cc3O	CHEMBL3233488	pIC50=7.54
CC(C)NCCCn1c(Sc2cc3OCOc3cc2I)nc4c(N)nccc14	CHEMBL3426784	pIC50=7.55
CCNC(=O)c1noc(c1C#CCN2CCS(=O)(=O)CC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600503	pIC50=7.55
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc(C(=O)N)c(NC5CCSCC5)c4	CHEMBL3235338	pKi=7.55
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc(C(=O)N)c(NCC(F)F)c4	CHEMBL3235341	pKi=7.55
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc(C(=O)N)c(NCC5(C)COC5)c4	CHEMBL3235342	pKi=7.55
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CCN(C)CC5)cc4	CHEMBL3342723	pIC50=7.57
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CCOCC5)cc4	CHEMBL3342720	pIC50=7.57
CC(C)c1cc(c(O)cc1O)n2nnc(C(=O)NC3CCCC3)c2c4ccc(CN5CCOCC5)cc4	CHEMBL3235114	pIC50=7.57
CC(C)c1cc(c(O)cc1O)n2nncc2c3ccc(CN4CCN(Cc5ccccc5)CC4)cc3	CHEMBL3234761	pIC50=7.57
COc1nc(cs1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=O)N3	CHEMBL3360317	pIC50=7.57
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCc4ccccn4)C(=O)NC5CCC5	CHEMBL1774911	pKi=7.57
Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNS(=O)(=O)c4ccccc4)ccc23	CHEMBL1801577	pIC50=7.57
CCNC(=O)N1Cc2nc(N)nc(c2C1)c3c(Cl)cc(Cl)cc3OCCCC(F)(F)F	CHEMBL1774905	pKi=7.59
COc1c(C)cnc(Cn2cc(C#C)c3c(Cl)nc(N)nc23)c1C	CHEMBL2205245	pEC50=7.59
OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3[C@H](OC(=O)\C=C\c4ccc(O)cc4)[C@@H]5O[C@]5(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O	CHEMBL2332355	pKd=7.59
CC(C)Nc1cc(ccc1C(=O)N)n2c3CN(C)CCc3c4C(=O)CC(C)(C)Cc24	CHEMBL3235343	pKi=7.6
CCNC(=O)c1nnn(c1c2ccc(CN(CC)CC)cc2)c3cc(C(C)C)c(O)cc3O	CHEMBL3234772	pIC50=7.6
COc1nc(cnc1N)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=O)N3	CHEMBL3360314	pIC50=7.62
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCCC(O)C4)cc3	CHEMBL3234765	pIC50=7.64
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCC[C@H](O)C4)cc3	CHEMBL3234767	pIC50=7.64
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(Cn4ccnc4)cc3	CHEMBL3234770	pIC50=7.64
COc1ccc(cc1)c2c(NC(=O)C3CC3)onc2c4cc(C(C)C)c(O)cc4O	CHEMBL3342597	pIC50=7.64
CCCNc1cc(ccc1C(=O)N)n2c3CN(C)CCc3c4C(=O)CC(C)(C)Cc24	CHEMBL3235339	pKi=7.66
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc(C(=O)N)c(NCC(C)(C)C)c4	CHEMBL3235344	pKi=7.66
CC(C)NC(=O)N1Cc2nc(N)nc(c2C1)c3c(Cl)cc(Cl)cc3OCCCC(F)(F)F	CHEMBL1774907	pKi=7.68
CCN(CC)Cc1ccc(cc1)c2c(NC(=O)C3CC3)onc2c4cc(C(C)C)c(O)cc4O	CHEMBL3342722	pIC50=7.68
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCCCC4)cc3	CHEMBL3234768	pIC50=7.68
Oc1cc(O)c(cc1Nc2ccccc2)C(=O)N3Cc4ccccc4C3	CHEMBL3260492	pIC50=7.68
CC(C)Cc1cc(cc2CCNC(=O)c12)n3cc(C)c4C(=O)CC(C)(C)Cc34	CHEMBL3235352	pKi=7.7
CNC(=O)N1Cc2nc(N)nc(c2C1)c3c(Cl)cc(Cl)cc3OCCn4cccn4	CHEMBL1774920	pKi=7.7
Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc4CCNC(=O)c4c(c3)c5cccc(F)c5	CHEMBL3235362	pKi=7.7
COc1cccc(n1)c2ccccc2[C@H]3Cc4nc(N)nc(C)c4C(=O)N3	CHEMBL3360304	pIC50=7.72
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCCC(F)(F)F)C(=O)NC4CC4	CHEMBL1774908	pKi=7.75
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CCCCC5)cc4	CHEMBL3342721	pIC50=7.77
CC(C)c1cc(c(O)cc1O)n2nnc(C(=O)NCCCl)c2c3ccc(CN4CCOCC4)cc3	CHEMBL3235112	pIC50=7.77
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc(C(=O)N)c(NCC5CC5)c4	CHEMBL3235336	pKi=7.77
Cc1ccc(cc1)c2snnc2c3cc(Cl)c(O)cc3O	CHEMBL457042	pKd=7.77
COc1ccc([C@H]2Cc3nc(N)nc(C)c3C(=O)N2)c(c1)c4cccc(OC)n4	CHEMBL3360307	pIC50=7.8
COc1nc(cnc1C)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=O)N3	CHEMBL3360313	pIC50=7.8
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCN4CC(F)(F)C4)C(=O)NC5CCC5	CHEMBL1774916	pKi=7.8
OC[C@H]1O[C@@H](O[C@@H]2OCC[C@H]3[C@H](OC(=O)c4ccc(O)cc4)[C@@H]5O[C@]5(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O	CHEMBL2332365	pKd=7.8
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CNCCN(CC)CC)cc3	CHEMBL3235109	pIC50=7.82
COc1c(C)cnc(Cn2cc(C#CCO)c3c(Cl)nc(N)nc23)c1C	CHEMBL2205798	pEC50=7.82
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CNCCN4CCOCC4)cc3	CHEMBL3235108	pIC50=7.83
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc(C(=O)N)c(NC5CCCC5)c4	CHEMBL3235335	pKi=7.85
COc1c(C)cnc(Cn2cc(C#CCC(C)(C)O)c3c(Cl)nc(N)nc23)c1C	CHEMBL1230584	pEC50=7.85
Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc4CCNC(=O)c4c(c3)c5ccccc5	CHEMBL3235360	pKi=7.85
OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3[C@H](OC(=O)[C@H]4[C@@H]([C@H]([C@@H]4c5ccc(O)cc5)c6ccc(O)cc6)C(=O)O[C@H]7[C@@H]8C=CO[C@@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@@H]8[C@@]%10(CO)O[C@@H]7%10)[C@@H]%11O[C@]%11(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O	CHEMBL2332352	pKd=7.85
CCNC(=O)N1Cc2nc(N)nc(c2C1)c3c(Cl)cc(Cl)cc3OCCn4cccn4	CHEMBL1774921	pKi=7.89
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CC[C@@H](C4)N(C)C)cc3	CHEMBL3234777	pIC50=7.89
COc1ccc(cc1)c2snnc2c3cc(Cl)c(O)cc3O	CHEMBL454733	pKd=7.89
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCC(=O)N(C)C[C@H](O)CO	CHEMBL3675272	pIC50=7.89
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCC(CO)CO	CHEMBL3675258	pIC50=7.89
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=O)N3	CHEMBL3360305	pIC50=7.89
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CNCCCN(CC)CC)cc3	CHEMBL3235110	pIC50=7.92
COc1cccc(n1)c2cc(C)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=O)N3	CHEMBL3360306	pIC50=7.92
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCn4cccn4)C(=O)NC5CC5	CHEMBL1774922	pKi=7.92
OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3[C@H](OC(=O)c4ccc(O)cc4)[C@@H]5O[C@]5(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O	CHEMBL2332354	pKd=7.92
CC(F)(F)CNC(=O)N1Cc2nc(N)nc(c2C1)c3c(Cl)cc(Cl)cc3OCCn4cccn4	CHEMBL1738805	pKi=7.96
Nc1nc2Sc3cccc(OCCCCOc4cc(c(Cl)cc4Cl)c(c2)n1)c3	CHEMBL1939373	pKd=7.96
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCCCC4CCO)cc3	CHEMBL3234771	pIC50=8.0
CCOc1cc(C)c2cc1C(=O)NCCCOc3cccc(Sc4cc2nc(N)n4)c3	CHEMBL1939378	pKd=8.0
CO[C@@H]1OC(CONC2=N[C@H](Cc3nc(N)nc(C)c23)c4ccc(F)cc4c5cccc(OC)n5)[C@@H](O)[C@H]1O	CHEMBL3675261	pIC50=8.0
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCC5CCC(O)CC5	CHEMBL3675265	pIC50=8.0
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCCC[C@H](O)CO	CHEMBL3675266	pIC50=8.0
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOC[C@H]5COCCO5	CHEMBL3675260	pIC50=8.0
COc1cncc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=O)N3	CHEMBL3360312	pIC50=8.0
Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc4CCNC(=O)c4c(c3)c5ccc(F)cc5	CHEMBL3235361	pKi=8.0
CCNC(=O)c1cc(on1)c2c(O)cc(O)cc2Oc3ccc(Cl)cc3	CHEMBL2443028	pKd=8.04
COc1c(C)cnc(Cn2cc(C#CCCO)c3c(Cl)nc(N)nc23)c1C	CHEMBL2205799	pEC50=8.05
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCn4cccn4)C(=O)NC5CC(F)(F)C5	CHEMBL1774923	pKi=8.05
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCn4cccn4)C(=O)NCC(F)F	CHEMBL1774925	pKi=8.05
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCC(=O)N(C)C	CHEMBL3675269	pIC50=8.1
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCC(=O)N(C)CCO	CHEMBL3675273	pIC50=8.1
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCC5C[C@@H](O)[C@@H](O)C5	CHEMBL3675263	pIC50=8.1
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NO[C@@H](CCO)C(=O)N(C)C	CHEMBL3675271	pIC50=8.1
Cc1cc(C)c2cc1C(=O)NCCCCOc3cccc(Sc4cc2nc(N)n4)c3	CHEMBL1939375	pKd=8.13
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCCC(F)(F)F)C(=O)NC4CCC4	CHEMBL1738803	pKi=8.16
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCc4ccccc4)C(=O)NC5CCC5	CHEMBL1774910	pKi=8.16
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCn4cccn4)C(=O)NC5CCC5	CHEMBL1774918	pKi=8.16
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCn4cccn4)C(=O)NCC(F)(F)F	CHEMBL1774926	pKi=8.16
CCNC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CNC4CCCCC4)cc3	CHEMBL3234778	pIC50=8.17
CCOc1ccc(cc1)c2snnc2c3cc(Cl)c(O)cc3O	CHEMBL517583	pKd=8.2
Cc1cc(C)c2cc1C(=O)NCCCCCOc3cccc(Sc4cc2nc(N)n4)c3	CHEMBL1939376	pKd=8.21
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCCCCO	CHEMBL3675268	pIC50=8.22
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCC[C@H](C)CO	CHEMBL3675259	pIC50=8.22
Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc4CCNC(=O)c4c(c3)C5CCCCC5	CHEMBL3235354	pKi=8.22
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCn4cccn4)C(=O)NC56CC(C5)C6	CHEMBL1774924	pKi=8.22
COc1cc(C)c2cc1C(=O)NCCCOc3cccc(Sc4cc2nc(N)n4)c3	CHEMBL1939377	pKd=8.24
CO[C@H]1CC\C=C(/C)\C(=O)Nc2cccc(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)\C=C(/C)\[C@@H]1OC(=O)N)c2	CHEMBL469932	pKd=8.27
CC(C)c1cc(C2=NNC(=O)N2c3ccc4c(ccn4C)c3)c(O)cc1O	CHEMBL2103879	pIC50=8.3
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOC5C[C@@H](O)[C@@H](O)C5	CHEMBL3675262	pIC50=8.3
Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc4CCNC(=O)c4c(c3)C5CCCC5	CHEMBL3235353	pKi=8.3
CC(=O)N[C@@H](CSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34)C(=O)N	CHEMBL3104279	pKd=8.36
COC(=O)c1ccccc1OCCCOc2ccc(C)cc2OC	CHEMBL1407606	pIC50=8.39
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCC(=O)N5CC[C@@H](F)C5	CHEMBL3675270	pIC50=8.4
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOCCCO	CHEMBL3675267	pIC50=8.4
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NOC[C@H](N)CO	CHEMBL3675257	pIC50=8.4
CC(C)N(CCCn1c(Sc2cc3OCOc3cc2I)nc4c(N)ncnc14)C(=S)Nc5ccc(C6=C7C=CC(=O)C=C7Oc8cc(O)ccc68)c(c5)C(=O)O	CHEMBL1910764	pKd=8.41
CSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL1834096	pKd=8.47
CSc1nc(N)nc(n1)c2ccc3COCc4cc(Cl)cc2c34	CHEMBL1939369	pKd=8.47
CC(C)N1CCC(CC1)NC(=O)c2cc(on2)c3c(O)cc(O)cc3Oc4ccc(cc4)[N+](=O)[O-]	CHEMBL2443048	pKd=8.5
COc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=N3)NO	CHEMBL3675264	pIC50=8.52
Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc(F)c(C(=O)N)c(N[C@H]4CCOC4)c3	CHEMBL3104858	pKi=8.52
Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc4CCNC(=O)c4c(c3)C5CCOCC5	CHEMBL3235355	pKi=8.52
CN(C)C(=O)CCSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104286	pKd=8.6
CO[C@H]1C[C@H](C)Cc2cc(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)ccc2O	CHEMBL511439	pKd=8.6
CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O	CHEMBL3104859	pKi=8.7
Nc1nc(SC[C@@H]2CNC(=O)O2)nc(n1)c3c(Cl)cc4COCc5cccc3c45	CHEMBL3104283	pKd=8.75
Nc1nc(SC[C@H]2CNC(=O)O2)nc(n1)c3c(Cl)cc4COCc5cccc3c45	CHEMBL3104284	pKd=8.8
CN(C)CCSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104275	pKd=8.82
NC(=O)NCCSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104274	pKd=8.85
Nc1ncnc2c1nc(Sc3cc4OCOc4cc3I)n2CCCNC(=S)Nc5ccc(C6=C7C=CC(=O)C=C7Oc8cc(O)ccc68)c(c5)C(=O)O	CHEMBL2419342	pKd=8.85
Cc1cc(C)c2cc1C(=O)NCCCOc3cccc(Sc4cc2nc(N)n4)c3	CHEMBL1939374	pKd=8.89
NC(=O)CSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104288	pKd=8.89
Nc1nc(SCCC(=O)NCCO)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104287	pKd=8.89
CC(=O)NCCSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104272	pKd=9.09
CCNC(=O)c1cc(on1)c2c(O)cc(O)cc2Oc3ccc(cc3)[N+](=O)[O-]	CHEMBL2443029	pKd=9.1
CO[C@H]1C[C@H](C)Cc2cc(NC(=O)\C(=C\CC[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)ccc2O	CHEMBL512489	pKd=9.1
Cc1cc(C)c2cc1C(=O)NCCNC(=O)OCCSc3cc2nc(N)n3	CHEMBL1939385	pKd=9.1
Oc1cc(O)c(c(Oc2ccc(cc2)[N+](=O)[O-])c1)c3onc(c3)C(=O)NC4CCN(CC4)C5CCC(F)(F)CC5	CHEMBL3696215	pKd=9.1
CO[C@H]1C[C@H](C)CC2=C(NCCCCNC(=O)Cc3ccc4c(c3)C(C)(C)C5=[N+]4CCC6OC7CCN8C(=C7C=C56)C(C)(C)c9cc(ccc89)S(=O)(=O)[O-])C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O	CHEMBL2419341	pKd=9.16
Cc1cc(C)c2cc1C(=O)NCCOC(=O)NCCSc3cc2nc(N)n3	CHEMBL1939384	pKd=9.16
CNC(=O)CCSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104285	pKd=9.18
NC(=O)CCSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104278	pKd=9.18
Cc1cc(C)c2cc1C(=O)NCCCC(=O)NCCSc3cc2nc(N)n3	CHEMBL1939383	pKd=9.19
CC(CSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34)C(=O)N	CHEMBL3104280	pKd=9.22
Cc1cc(C)c2cc1C(=O)NCCNC(=O)CCCSc3cc2nc(N)n3	CHEMBL1939382	pKd=9.22
Nc1nc(SCCO)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104276	pKd=9.27
Cc1cc(C)c2cc1C(=O)NCCCNC(=O)CCSc3cc2nc(N)n3	CHEMBL1939379	pKd=9.28
NC(=O)CCCSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104289	pKd=9.32
NC(=O)OCCSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104277	pKd=9.34
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(CC4)C5CCC6(CC5)OCCCCO6)cc1	CHEMBL3696219	pKd=9.37
CS(=O)(=O)NCCSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34	CHEMBL3104273	pKd=9.37
Cc1cc(C)c2cc1C(=O)NCCCCNC(=O)CCSc3cc2nc(N)n3	CHEMBL1939380	pKd=9.42
CN1CCC(CC1)NC(=O)c2cc(on2)c3c(O)cc(O)cc3Oc4ccc(cc4)[N+](=O)[O-]	CHEMBL2443044	pKd=9.46
C[C@H](CSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34)C(=O)N	CHEMBL3104281	pKd=9.48
Oc1cc(O)c(c(Oc2ccc(cc2)[N+](=O)[O-])c1)c3onc(c3)C(=O)NC4CCN(CC4)C5CCCCC5	CHEMBL2443131	pKd=9.52
Cc1cc(C)c2cc1C(=O)NCCCCCNC(=O)CCSc3cc2nc(N)n3	CHEMBL1939381	pKd=9.6
CN1CCC(CC1)NC(=O)c2onc(c2)c3c(O)cc(O)cc3Oc4ccc(cc4)[N+](=O)[O-]	CHEMBL3696223	pKd=9.62
CC(C)Nc1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(C)CC4)cc1	CHEMBL2443139	pKd=9.66
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(CC5CCCCC5)CC4)cc1	CHEMBL3696221	pKd=9.73
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(C)CC4)cc1	CHEMBL2443138	pKd=9.92
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(CC4)C5CCCCC5)cc1	CHEMBL2443025	pKd=10.05
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(CC4)C5CCC6(CC5)OCC(C)(C)CO6)cc1	CHEMBL3696218	pKd=10.1
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(CC4)C5CCC6(CC5)OCCCO6)cc1	CHEMBL3696220	pKd=10.1
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3cc(on3)C(=O)NC4CCN(C)CC4)cc1	CHEMBL3696217	pKd=10.18
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(CC4)C5CCC(F)(F)CC5)cc1	CHEMBL3696222	pKd=10.24
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(CC4)C5CCC6(CC5)OCCO6)cc1	CHEMBL2443026	pKd=10.24
CN(C)c1ccc(Oc2cc(O)cc(O)c2c3cc(on3)C(=O)NC4CCN(CC4)C5CCC6(CC5)OCCO6)cc1	CHEMBL3696216	pKd=10.37
