CS(=O)(=O)N1C=C2CN(CC2=N1)[C@H]1CO[C@@H]([C@@H](N)C1)C1=C(F)C=CC(F)=C1	omarigliptin	pKi=9.09691048	pKi=9.09691048	pKi=9.09691048	pIC50=8.59
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=CC(F)=CC=C2C#N)C1=O	trelagliptin	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.4
[H][C@]1(CN[C@@]([H])(C1)C(=O)N1CCSC1)N1CCN(CC1)C1=CC(C)=NN1C1=CC=CC=C1	teneligliptin	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43
CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N	anagliptin	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42
N[C@H](CN1CC(F)(F)CCC1=O)CC(=O)N1CCC2=C(N=C(N=C2C1)C(F)(F)F)C(F)(F)F	gemigliptin	pIC50=7.79587984	pIC50=7.79587984	pIC50=7.79587984
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1	sitagliptin	pKi=7.774	pKi=7.774	pKi=7.774	pIC50=6.96
OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N	vildagliptin	pKi=8.52	pKi=8.52	pKi=8.52	pIC50=6.92
[H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)C12CC3CC(CC(O)(C3)C1)C2	saxagliptin	pKi=9.22	pKi=9.22	pKi=9.22	pIC50=7.3
CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1	linagliptin	pIC50=10.0	pIC50=10.0	pIC50=10.0	pIC50=8.7
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O	alogliptin	pIC50=9.0	pIC50=9.0	pIC50=9.0	pIC50=7.62
CC(C)(C)C[C@H](N)C(=O)N1CC[C@@H]2C[C@H]12	CHEMBL395184	pKi=6.0
COC[C@@H]1CCCN1C(=O)CC[C@H](N)C(=O)N2CCC[C@H]2C#N.OC(=O)C(F)(F)F	CHEMBL475465	pIC50=8.16
COc1cc2Cc3c(nc(N)c(CN)c3c4ccc(Cl)cc4Cl)c2cc1OC	CHEMBL122206	pIC50=8.16
Clc1ccc2N(CCc2c1)[C@@H]3CN[C@@H](C3)C(=O)N4CCSC4	CHEMBL390512	pIC50=8.16
FC(F)(F)c1ccc(N[C@@H]2CC[C@H](CC2)NCC(=O)N3CCC[C@H]3C#N)nc1	CHEMBL3084816	pIC50=8.16
NC[C@@]1(CC[C@@H](CC1)N2CCn3c(nnc3C(F)(F)F)C2=O)c4cccc(Cl)c4	CHEMBL3112967	pIC50=8.16
N[C@@H](CC(=O)N1CCC[C@H]1c2onc(n2)C3CC3)Cc4cc(F)c(F)cc4F	CHEMBL567278	pIC50=8.16
N[C@@H](CC(=O)N1CCn2nc(nc2[C@H]1CC3CC3)C(F)(F)F)Cc4cc(F)c(F)cc4F	CHEMBL400752	pIC50=8.16
N[C@@H](CCC(=O)N1CCCC1)C(=O)N2CCC[C@H]2C#N.OC(=O)C(F)(F)F	CHEMBL474049	pIC50=8.16
N[C@@H](CCC(=O)N1CCn2cnnc2C1)C(=O)N3CCC[C@H]3C#N.OC(=O)C(F)(F)F	CHEMBL492536	pIC50=8.16
N[C@@H]1CCCN(C1)C2=NC=C(Cl)C(=O)N2Cc3ccccc3C#N	CHEMBL1650405	pIC50=8.16
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3ccc4nccnc4n3.OC(=O)C(F)(F)F	CHEMBL231092	pIC50=8.16
OC(=O)c1c(O)c(Cl)ccc1Cl	CHEMBL1233461	pIC50=8.16
CN(C[C@@H]1CCCN1C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C(=O)C(C)(C)C	CHEMBL550321	pIC50=8.17
COC(=O)c1ccc(NC(=O)NC[C@H]2CC[C@H](N2)C(=O)N3CCC[C@H]3C#N)cc1	CHEMBL210193	pKi=8.17
COC(=O)c1ccc(NC(=O)NC[C@H]2CC[C@H](N2)C(=O)N3CCC[C@H]3CN)cc1	CHEMBL1230763	pKi=8.17
COc1cc2CCN3C[C@@H]([C@@H](N)C[C@H]3c2cc1OC)N4C[C@@H](CF)CC4=O	CHEMBL591118	pIC50=8.17
CS(=O)(=O)n1cc2CN(Cc2n1)[C@H]3CNC([C@@H](N)C3)c4cc(F)ccc4F	CHEMBL3694421	pIC50=8.17
FC(F)(F)c1ccc(cc1)N2CCN(CC2)[C@@H]3CN[C@@H](C3)C(=O)N4CCSC4	CHEMBL241245	pIC50=8.17
N[C@H]1CN(Cc2ccc(cc2)c3ccn[nH]3)C[C@H]1C(=O)N4CCC[C@H]4C#N	CHEMBL249203	pIC50=8.17
O=C([C@@H]1CC[C@H](COc2ccccc2)N1)N3CCC[C@H]3C#N	CHEMBL206573	pKi=8.17
O=C([C@@H]1C[C@@H](CN1)NS(=O)(=O)c2ccccc2)N3CCC[C@H]3C#N	CHEMBL193168	pIC50=8.17
CC#CCN1C(=O)N(Cc2ccc3cc(Cl)ccc3n2)C(=O)C=C1N4CCC[C@@H](N)C4	CHEMBL2425889	pIC50=8.18
CC1N(CCCNC1=O)C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL390853	pIC50=8.18
CCN(CC)C(=O)CCN1Cc2nc(C)c(CN)c(c3ccc(Cl)cc3Cl)c2C1=O	CHEMBL2441847	pKi=8.18
C[C@H]1N(CCCNC1=O)C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL385711	pIC50=8.18
Cc1csc(NC(=O)c2cn3c(c(CN)c(C)nc3n2)c4ccc(Cl)cc4Cl)n1	CHEMBL1215090	pKi=8.18
Cl.Cl.CC(C)Cc1nc2ccc(CCCCCC(=O)O)cc2c(c1CN)c3ccc(C)cc3	CHEMBL3216495	pIC50=8.18
N[C@@H]([C@@H](C(=O)O)c1ccc(cc1)c2ccc(F)cc2)C(=O)N3CC[C@H](F)C3.OC(=O)C(F)(F)F	CHEMBL191327	pIC50=8.18
N[C@H]1C[C@H](CC[C@@H]1c2cc(F)c(F)cc2F)N3Cc4ccccc4C3	CHEMBL392924	pIC50=8.18
O=C([C@@H]1C[C@H](CN1)Nc2ccc(cn2)C#N)N3CCC[C@H]3C#N	CHEMBL192165	pIC50=8.18
Brc1ccc2N(CCc2c1)[C@@H]3CN[C@@H](C3)C(=O)N4CCSC4	CHEMBL223916	pIC50=8.19
CC(C)N1C(=O)CN(Cc2ccccc12)C(=O)C[C@H](N)[C@H]3CCc4cc(F)c(F)cc34	CHEMBL3580791	pIC50=8.19
C[C@@H]1N[C@@H](C[C@@H]1C(=O)N2CCCC2)C(=O)N3CCC[C@H]3C#N	CHEMBL393957	pIC50=8.19
O=C([C@@H]1C[C@@H](CN1)N(Cc2ccc(cc2)C#N)Cc3ccc(cc3)C#N)N4CCSC4	CHEMBL228021	pIC50=8.19
OB(O)[C@@H]1CCCN1C(=S)[C@@H]2CCCN2	CHEMBL3686751	pIC50=8.19
OB(O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H]2CCCN2	CHEMBL2063034	pIC50=8.19
CC(C)(F)C(=O)NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL558323	pIC50=8.2
CN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4ccccc4Cl)c5ccc(cc15)C#N	CHEMBL2147072	pIC50=8.2
Cc1cc(N2CCN(CC2)[C@H]3CN[C@@H](C3)C(=O)N4CCSC4)n(n1)c5ccccc5	CHEMBL2147775	pIC50=8.2
N[C@@H](CC(=O)N1CCC[C@H]1CNc2ccc(F)cn2)Cc3cc(F)c(F)cc3F	CHEMBL556708	pIC50=8.2
OC[C@@H]1CN[C@@H](C1)C(=O)N2CCC[C@H]2C#N	CHEMBL234356	pIC50=8.2
CC(C)(CN(Cc1ccc(cc1)C#N)C(=O)c2ccccc2)NCC(=O)N3C[C@@H](F)C[C@H]3C#N	CHEMBL471088	pIC50=8.21
CC1(CCN(CC1)S(=O)(=O)C)NCC(=O)N2C[C@H](F)C[C@@H]2C#N	CHEMBL456419	pIC50=8.21
C[C@@H]1N[C@@H](C[C@@H]1C(=O)N2CCSCC2)C(=O)N3CCC[C@H]3C#N	CHEMBL394165	pIC50=8.21
N[C@H]1CN(Cc2cnc3ccccc3c2)C[C@H]1C(=O)N4CCC[C@H]4C#N	CHEMBL248795	pIC50=8.21
OB(O)[C@@H]1C[C@H](O)CN1C(=O)[C@@H]2CCCN2	CHEMBL2063033	pIC50=8.21
CC#CCn1c(N2CCCNCC2)c(C#N)c3N=CN(Cc4nccc5ccccc45)C(=O)c13	CHEMBL1951438	pIC50=8.22
CC#CCn1c(nc2N(C)C(=O)N(Cc3cc(cc4ccccc34)C#N)C(=O)c12)N5CCC[C@H](C5)NC(=O)OC(C)(C)C	CHEMBL3680629	pIC50=8.22
CC#CCn1c(nc2N(C)C(=O)N(Cc3nc(NCc4ccccc4)c5ccccc5n3)C(=O)c12)N6CCCC(C6)NC(=O)OC(C)(C)C	CHEMBL3680628	pIC50=8.22
CCN(CC)C(=O)[C@@H]1CN[C@@H](C1)C(=O)N2CCC[C@H]2C#N	CHEMBL393498	pIC50=8.22
CCc1nnc2ccc(nn12)N3CC[C@@H]([C@@H](N)C3)c4cc(F)c(F)cc4F.OC(=O)C(F)(F)F	CHEMBL390080	pIC50=8.22
CN1C(=O)N(CC(=O)c2ccccc2)C(=O)c3c1nc(N4CCC[C@@H](N)C4)n3CC=C(C)C	CHEMBL237488	pIC50=8.22
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3cccc(c3)c4nn[nH]n4.OC(=O)C(F)(F)F	CHEMBL195378	pIC50=8.22
Cc1cccc(C)c1[C@@H]2CN[C@@H](C2)C(=O)N3CCC[C@H]3C#N	CHEMBL396513	pIC50=8.22
Cc1nc2nc(cn2c(c1CN)c3ccc(Cl)cc3Cl)c4ccccc4	CHEMBL1209853	pKi=8.22
Cc1nnc2ccc(nn12)N3CC[C@@H]([C@@H](N)C3)c4cc(F)c(F)cc4F.OC(=O)C(F)(F)F	CHEMBL231497	pIC50=8.22
Cl.CC(C)C(Oc1ccc(CNC(=O)C2SCCN2C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)cc1)C(=O)O	CHEMBL1683498	pIC50=8.22
Cl.CN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4ccccc4Cl)c5cc(ccc15)C(=O)OCC6=C(C)OC(=O)O6	CHEMBL3400963	pIC50=8.22
Cl.NC1CN(CC1c2cc(F)c(F)cc2F)c3cc(ncn3)c4ccsc4	CHEMBL536086	pKi=8.22
Cl.N[C@@H](Cc1ccc(cc1)c2cn(Cc3ccc(Cl)cc3)nn2)C(=O)N4CCC[C@H]4C#N	CHEMBL2418628	pIC50=8.22
N[C@@H](CC(=O)N1CCC[C@H]1COc2ccnc(n2)C(F)(F)F)Cc3cc(F)c(F)cc3F	CHEMBL557315	pIC50=8.22
N[C@@H](CCC(=O)N1CCc2ccsc2C1)C(=O)N3CCC[C@H]3C#N.OC(=O)C(F)(F)F	CHEMBL494340	pIC50=8.22
N[C@@H](CCC(=O)N1CCn2cc(nc2C1)C(F)(F)F)C(=O)N3CCC[C@H]3C#N.OC(=O)C(F)(F)F	CHEMBL474048	pIC50=8.22
N[C@@H](CCC(=O)O)C(=O)N1CCC[C@H]1B(O)O	CHEMBL494497	pIC50=8.22
N[C@@H](Cc1ccc(F)cc1F)C(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL3093913	pIC50=8.22
N[C@@H](Cc1ccc(cc1)C(F)(F)F)C(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL3093908	pIC50=8.22
N[C@@H]1CCCN(C1)C2=NC=C(Br)C(=O)N2Cc3cc(F)ccc3C#N	CHEMBL1650434	pIC50=8.22
N[C@@H]1CCCN(C1)C2=NC=C(F)C(=O)N2Cc3ccccc3C#N	CHEMBL1650404	pIC50=8.22
N[C@@H]1CCCN(C1)C2=NC=C(I)C(=O)N2Cc3ccccc3C#N	CHEMBL1650408	pIC50=8.22
N[C@@H]1CCCN(C1)C2=NC=C(\C=C\c3cccnc3)C(=O)N2Cc4ccccc4C#N	CHEMBL1650429	pIC50=8.22
N[C@H](CN1[C@@H](O)C(F)(F)CCC1=O)CC(=O)N2CCc3c(C2)nc(nc3C(F)(F)F)c4occc4	CHEMBL3644788	pIC50=8.22
N[C@H]1CC(=CC[C@@H]1c2cc(F)c(F)c(F)c2)CNc3cccc(c3)C(=O)N.OC(=O)C(F)(F)F	CHEMBL274660	pKi=8.22
N[C@H]1CN(C(=O)C[C@@H]1c2cc(F)c(F)cc2F)c3cc(ncn3)c4ccccc4	CHEMBL376862	pKi=8.22
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3cc(ncn3)c4ccccc4	CHEMBL2011536	pKi=8.22
CC#CCN1C(=O)c2c(ccn2Cc3cnc4ccccc4n3)N=C1N5CCC[C@@H](N)C5	CHEMBL2347037	pIC50=8.23
CC(F)(F)C(=O)NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL557860	pIC50=8.23
N[C@H]1C[C@H](CCO[C@@H]1c2cc(F)ccc2F)N3Cc4cnn(c4C3)c5ccc(cn5)C(F)(F)F	CHEMBL3654429	pIC50=8.23
CC#CCn1c(nc2N(C)C(=O)N(Cc3ncc4ccccc4n3)C(=O)c12)N5CCNCC5	CHEMBL3616900	pIC50=8.24
CC(=C)C[C@@H]1CN[C@@H](C1)C(=O)N2CCC[C@H]2C#N	CHEMBL437570	pIC50=8.24
CC(C)(C)C(=O)NCC(C)(C)NCC(=O)N1C[C@@H](F)C[C@H]1C#N	CHEMBL487861	pIC50=8.24
CC(C)(CNC(=O)c1ccc2[nH]cnc2c1)NCC(=O)N3C[C@@H](F)C[C@H]3C#N	CHEMBL519585	pIC50=8.24
CCCNC(=O)[C@@H]1CN[C@@H](C1)C(=O)N2CCC[C@H]2C#N	CHEMBL434960	pIC50=8.24
CCCS(=O)(=O)n1cc2CN(Cc2n1)[C@H]3CO[C@@H]([C@@H](N)C3)c4cc(F)ccc4F	CHEMBL3734912	pIC50=8.24
CN1C(=O)N(Cc2cc(F)ccc2C#N)C(=C3C=CN=C13)N4CCC[C@@H](N)C4	CHEMBL3650433	pIC50=8.24
Cl.CN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4ccccc4Cl)c5cc(ccc15)C(=O)O	CHEMBL2147082	pIC50=8.24
Cl.Cl.CCc1nc(CC(C)(C)C)c(CN)c(c2ccc(C)cc2)c1C(=O)O	CHEMBL3216719	pIC50=8.24
FC1(F)CCN(C1)C(=O)[C@@H]2C[C@@H](CN2)N3CCN(CC3)c4oc5ccncc5n4	CHEMBL475574	pIC50=8.24
Fc1ccc2N(CCc2c1)[C@@H]3CN[C@@H](C3)C(=O)N4CCSC4	CHEMBL223914	pIC50=8.24
N[C@H]1C[C@H](CCO[C@@H]1c2cc(F)ccc2F)N3Cc4cn(nc4C3)S(=O)(=O)C5CC5	CHEMBL3654423	pIC50=8.24
CN1C(=O)N(Cc2cc(F)ccc2C#N)C(=C3C=C(Cl)N=C13)N4CCC[C@@H](N)C4	CHEMBL3650439	pIC50=8.25
COc1ccc(cc1)c2cn3c(c(CN)c(C)nc3n2)c4ccc(Cl)cc4Cl	CHEMBL1208900	pKi=8.25
C[C@@H]1N[C@@H](C[C@@H]1C(=O)N2Cc3ccccc3C2)C(=O)N4CCC[C@H]4C#N	CHEMBL233127	pIC50=8.25
C[C@@H]1N[C@@H](C[C@@H]1CC(=O)N(C)C)C(=O)N2CCC[C@H]2C#N	CHEMBL430057	pIC50=8.25
FC(F)(F)c1cc(C2CCN(CC2)[C@@H]3CN[C@@H](C3)C(=O)N4CCSC4)n(n1)c5ccccc5	CHEMBL2147710	pIC50=8.25
FC1(F)CCN(C1)C(=O)[C@@H]2C[C@@H](CN2)N3CCN(CC3)c4cnccn4	CHEMBL474409	pIC50=8.25
N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)CC(F)(F)F)Cc2cc(F)c(F)cc2F	CHEMBL559602	pIC50=8.25
O=C([C@@H]1CN[C@@H](C1)C(=O)N2CCC[C@H]2C#N)N3CCCC3	CHEMBL428369	pIC50=8.25
O=C([C@@H]1C[C@@H](CN1)N2CCC(CC2)c3ccccc3)N4CCSC4	CHEMBL395606	pIC50=8.25
CC(N1C[C@H](N)[C@@H](C1)C(=O)N2CCC[C@H]2C#N)c3ccc(cc3)C#N	CHEMBL249601	pIC50=8.26
CCC1(CCCC1)[C@H](N)C(=O)N2[C@@H](C[C@@H]3C[C@H]23)C#N	CHEMBL3350924	pKi=8.26
CN1C(=O)N(Cc2c(cnc3ccccc23)C#N)C(=O)c4c1c(C#N)c(N5CCCNCC5)n4CC=C(C)C	CHEMBL1949693	pIC50=8.26
O=C(N[C@@H]1CN[C@@H](C1)C(=O)N2CCC[C@H]2C#N)c3ccccc3	CHEMBL539939	pIC50=8.26
CC(C)(CNC(=O)c1cccs1)NCC(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL488419	pIC50=8.27
Cc1cccc(CNCC(=O)c2cn3c(c(CN)c(C)nc3n2)c4ccc(Cl)cc4Cl)n1	CHEMBL1215374	pKi=8.27
N[C@@H](CC(=O)N1CCC[C@H]1CNc2ncccn2)Cc3cc(F)c(F)cc3F	CHEMBL564488	pIC50=8.27
N[C@H]1CN(Cc2ccc(cc2)n3nccn3)C[C@H]1C(=O)N4CCC[C@H]4C#N	CHEMBL400338	pIC50=8.27
CS(=O)(=O)c1cccc(c1)c2cc(ncn2)N3C[C@H](N)[C@H](C3)c4cc(F)c(F)cc4F	CHEMBL1232261	pKi=8.28
C[C@@H](B(O)O)N1CC[C@@H](N)C1=O	CHEMBL2068511	pIC50=8.28
Cc1cc(C)c([C@@H]2CN[C@@H](C2)C(=O)N3CCC[C@H]3C#N)c(C)c1O	CHEMBL389324	pIC50=8.28
Cc1ncn(n1)c2ccc(CN3C[C@H](N)[C@@H](C3)C(=O)N4CCC[C@H]4C#N)cc2	CHEMBL248794	pIC50=8.28
Cc1oc(nn1)c2ccc(CN3C[C@H](N)[C@@H](C3)C(=O)C4[C@@H](F)CC[C@H]4C#N)cc2	CHEMBL249602	pIC50=8.28
FC(F)(F)c1ccc(nc1)N2CCN(CC2)[C@@H]3CN[C@@H](C3)C(=O)N4CCC(F)(F)C4	CHEMBL474410	pIC50=8.28
FC1(F)CCN(C1)C(=O)[C@@H]2C[C@@H](CN2)N3CCN(CC3)c4oc5ncccc5n4	CHEMBL475586	pIC50=8.28
N[C@@H](CC(=O)N1CCNC(=O)[C@H]1CN2CCOCC2)Cc3cc(F)c(F)cc3F	CHEMBL1779713	pIC50=8.28
N[C@@H](Cc1ccc(cc1)c2ccccc2F)C(=O)N3CCC[C@H]3C#N	CHEMBL199615	pKi=8.28
N[C@H]1C[C@H](CC[C@@H]1c2cc(F)c(F)cc2F)N3Cc4cnc(nc4C3)C5CC5	CHEMBL233563	pIC50=8.28
O.CCc1nc(CC(C)(C)C)c(CN)c(c1CC(=O)O)c2ccc(C)cc2	CHEMBL1672127	pIC50=8.28
OC12CC3CC(C1)C(NCC(=O)N4C[C@@H](F)C[C@H]4C#N)C(C3)C2	CHEMBL469660	pIC50=8.28
CCCCC(Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc3ccccc3F)cc1)C(=O)O.OC(=O)C(F)(F)F	CHEMBL365838	pIC50=8.29
CC#CC1=CN=C(N2CCC[C@@H](N)C2)N(Cc3ccccc3C#N)C1=O	CHEMBL1650423	pIC50=8.3
CC#CCn1c(N2CCCNCC2)c(C#N)c3N(C)C(=O)N(Cc4nccc5ccccc45)C(=O)c13	CHEMBL1951612	pIC50=8.3
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c3N=CN(Cc4nccc5ccccc45)C(=O)c13	CHEMBL1951428	pIC50=8.3
CC#CCn1c(nc2C=NN(Cc3nc(C)c4ccccc4n3)C(=O)c12)N5CCNCC5	CHEMBL401971	pIC50=8.3
CC#CCn1c(nc2C=NN(Cc3nc(C)cc4ccccc34)C(=O)c12)N5CCCC(N)C5	CHEMBL256521	pIC50=8.3
CC#CCn1c(nc2N(C)C(=O)N(CC(=O)c3cccc(OC4CC4)c3)C(=O)c12)N5CCC[C@H](C5)NC(=O)OC(C)(C)C	CHEMBL3680632	pIC50=8.3
CC(=O)N1CC(C1)c2noc(n2)[C@@H]3CCCN3C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F	CHEMBL567279	pIC50=8.3
CC(C)N1CCC(CC1)NC(=O)c2cn3c(c(CN)c(C)nc3n2)c4ccc(Cl)cc4Cl	CHEMBL1214945	pKi=8.3
CN1C(=O)N(CC(=O)c2ccccc2)C(=O)c3c1nc(N4CCCC(N)C4)n3CC=C(C)C	CHEMBL365000	pIC50=8.3
CN1N=C2C=CC(=NN2C1=O)N3CC[C@@H]([C@@H](N)C3)c4cc(F)c(F)cc4F.OC(=O)C(F)(F)F	CHEMBL390241	pIC50=8.3
CN1N=Cc2nc(N3CCCC(N)C3)n(Cc4ccccc4C#N)c2C1=O	CHEMBL1161921	pKi=8.3
Cc1cc(N2CCN(CC2)[C@@H]3CN[C@@H](C3)C(=O)N4CCSC4)n(n1)c5ccncc5	CHEMBL2147772	pIC50=8.3
Cc1nc2nc(cn2c(c1CN)c3ccc(Cl)cc3Cl)C(=O)Nc4nc(cs4)c5cccnc5	CHEMBL1215302	pKi=8.3
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CNC2CCN(CC2)c3ccc(cc3C(F)(F)F)C#N	CHEMBL480716	pKi=8.3
NC(=O)c1ccc(OCC2(CCCC2)NCC(=O)c3ccsc3)cc1	CHEMBL541664	pIC50=8.3
NCCCCC(NC(=O)OCc1ccccc1)C(=O)N2CSC[C@H]2C#N	CHEMBL92175	pKi=8.3
N[C@@H](C1CCN(CC1)C(=O)c2cnc3ccccc3c2)C(=O)N4[C@@H](C[C@@H]5C[C@H]45)C#N	CHEMBL2334698	pKi=8.3
N[C@@H](CC(=O)N1CCn2nc(nc2C1Cn3cncn3)C(F)(F)F)Cc4cc(F)c(F)cc4F	CHEMBL250353	pIC50=8.3
N[C@@H](CCC(=O)N1CCc2ccccc2C1)C(=O)N3CCC[C@H]3C#N.OC(=O)C(F)(F)F	CHEMBL494146	pIC50=8.3
N[C@@H](CCC(=O)N1CCn2c(C1)nnc2C(F)(F)F)C(=O)N3CCC[C@H]3C#N.OC(=O)C(F)(F)F	CHEMBL492733	pIC50=8.3
N[C@@H](Cc1ccc(cc1)C#N)C(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL3093907	pIC50=8.3
N[C@@H](Cc1cccs1)C(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL3127984	pIC50=8.3
N[C@@H]1CCCN(C1)C2=NC=C(Br)C(=O)N2Cc3ccccc3C#N	CHEMBL1235761	pIC50=8.3
N[C@@H]1CCCN(C1)C2=NC=C(C#C)C(=O)N2Cc3ccccc3C#N	CHEMBL1650422	pIC50=8.3
N[C@@H]1CCCN(C1)C2=NC=C(C(=O)N2Cc3ccccc3C#N)c4cc[nH]c4	CHEMBL1650420	pIC50=8.3
N[C@@H]1CCCN(C1)C2=Nc3ccc(Br)cc3C(=O)N2Cc4ccccc4C#N	CHEMBL227676	pIC50=8.3
N[C@@H]1CCCN(C1)C2=Nc3ccc(Cl)cc3C(=O)N2Cc4ccccc4C#N	CHEMBL389074	pIC50=8.3
N[C@@H]1CCCN(C1)C2=Nc3cccc(F)c3C(=O)N2Cc4ccccc4C#N	CHEMBL227464	pIC50=8.3
N[C@H](CN1[C@@H](O)C(F)(F)CCC1=O)CC(=O)N2CCc3c(C2)nc(nc3C(F)(F)F)C(F)(F)F	CHEMBL3644783	pIC50=8.3
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3ccc4nc(nn4n3)C(F)(F)F.OC(=O)C(F)(F)F	CHEMBL231293	pIC50=8.3
N[C@H]1CN(C[C@@H]1c2cc(F)c(F)cc2F)c3cc(ncn3)c4cccc(c4)C(=O)O	CHEMBL236508	pIC50=8.3
Nc1nc(Cl)c2nc[nH]c2n1	CHEMBL226396	pIC50=8.3
O=C(CN[C@@H]1CC[C@H](CC1)Nc2ccc(cn2)C#N)N3CCC[C@H]3C#N	CHEMBL3084815	pIC50=8.3
O=C(CN[C@@H]1CC[C@H](CC1)Oc2ccc(cn2)C#N)N3[C@H](CC[C@H]3C#N)C#C	CHEMBL217040	pKi=8.3
CCN(C)C(=O)[C@@H]1CN[C@@H](C1)C(=O)N2CCC[C@H]2C#N	CHEMBL234163	pIC50=8.31
Cc1ccc(O)c(C)c1[C@@H]2CN[C@@H](C2)C(=O)N3CCC[C@H]3C#N	CHEMBL413797	pIC50=8.31
Cn1cnc(c1)S(=O)(=O)n2ncc3CN(Cc23)[C@H]4CO[C@@H]([C@@H](N)C4)c5cc(F)ccc5F	CHEMBL3735852	pIC50=8.31
N[C@@H](CC(=O)N1CC(=O)Nc2ccccc2C1)[C@H]3CCc4cc(F)c(F)cc34	CHEMBL3580776	pIC50=8.31
O=C([C@@H]1CN[C@@H](C1)C(=O)N2CCC[C@H]2C#N)N3CCCCC3	CHEMBL400613	pIC50=8.31
CN1C(=O)N(C)c2nc(N)c(CN)c(c3cc(F)ccc3Br)c2C1=O	CHEMBL2159188	pIC50=8.32
COc1ccc2N(CCc2c1)[C@@H]3CN[C@@H](C3)C(=O)N4CCSC4	CHEMBL388111	pIC50=8.32
Cl.CN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4cc(F)ccc4Cl)c5cc(ccc15)C(=O)O	CHEMBL2147069	pIC50=8.32
FC1(F)CCN(C1)C(=O)[C@@H]2C[C@@H](CN2)N3CCN(CC3)c4ncccc4C#N	CHEMBL514011	pIC50=8.32
N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)C2CCCC2)Cc3cc(F)c(F)cc3F	CHEMBL557723	pIC50=8.32
O=C([C@@H]1CN[C@@H](C1)C(=O)N2CCC[C@H]2C#N)N3CCSCC3	CHEMBL400615	pIC50=8.32
CC#CCN1C(=O)c2c(ccn2Cc3ccc4ccc(F)cc4n3)N=C1N5CCC[C@@H](N)C5	CHEMBL2347036	pIC50=8.33
CCc1cc(CN2C[C@H](N)[C@@H](C2)C(=O)C3CCC[C@H]3C#N)cc(CC)c1C#N	CHEMBL429482	pIC50=8.33
Cc1nc2nc(cn2c(c1CN)c3ccc(Cl)cc3Cl)C(=O)NCCc4c[nH]cn4	CHEMBL1215373	pKi=8.33
Cl.CN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4cc(F)ccc4Cl)c5cc(ccc15)C(=O)OCC6=C(C)OC(=O)O6	CHEMBL3400964	pIC50=8.33
N[C@H]1CC(=CC[C@@H]1c2cc(F)c(F)c(F)c2)C(=O)Nc3cccc(c3)C(=O)N.OC(=O)C(F)(F)F	CHEMBL217358	pKi=8.33
Brc1ccc(OC[C@H]2CC[C@H](N2)C(=O)N3CCC[C@H]3C#N)cc1	CHEMBL380707	pKi=8.34
CC(C)(CO)NCC(=O)N1C[C@@H](F)C[C@H]1C#N	CHEMBL472096	pIC50=8.34
