Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CC4)c5ccc(Cl)cc5)ncc23	CHEMBL3654736	pIC50=7.53
CN1CC[C@@H](CNC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2)C1	CHEMBL3658689	pIC50=9.01
CNC(=O)[C@H]1CC1c2n[nH]c3cc(NC(=O)N[C@H](COC)c4ccccc4)ncc23	CHEMBL3654799	pIC50=9.01
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CNc5ccccc5C4)ncc23	CHEMBL3662957	pIC50=9.02
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4c(F)cc(F)cc4F)ncc23	CHEMBL3639618	pIC50=9.02
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(F)cc4)ncc23	CHEMBL3658643	pIC50=9.02
CO[C@@H](C)CNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3663048	pIC50=9.03
COc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23	CHEMBL3663099	pIC50=9.03
COc1ccc(cc1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23	CHEMBL3663114	pIC50=9.03
COc1cccc(F)c1CN2CCC[C@H](C2)NC(=O)Nc3cc4[nH]nc(c5ccc6nn(C)cc6c5)c4cn3	CHEMBL3663100	pIC50=9.03
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(C4CCCO4)c5ccc(F)cc5)ncc23	CHEMBL3654864	pIC50=9.03
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC(c4ccccc4)C5(O)CCOCC5)ncc23	CHEMBL3658749	pIC50=9.03
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4csc(C)n4)ncc23	CHEMBL3654694	pIC50=9.03
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccn4	CHEMBL3654805	pIC50=9.04
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4C[C@H]4c5ccccc5)ncc23	CHEMBL3663036	pIC50=9.04
CN1CC(NC(Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2)O1)c5ccccc5	CHEMBL3654850	pIC50=9.05
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnc(OC)nc3)c2cn1)c4ccccc4	CHEMBL3658682	pIC50=9.06
CO[C@@H](C)CNC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1	CHEMBL3663083	pIC50=9.06
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnnc(C)c3)c2cn1)c4ccccc4	CHEMBL3654742	pIC50=9.06
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCc5cccnc5C4)ncc23	CHEMBL3662961	pIC50=9.06
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1)c4ccccc4	CHEMBL3654681	pIC50=9.07
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(F)cn4	CHEMBL3662959	pIC50=9.07
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(cc4)C#N	CHEMBL3654860	pIC50=9.07
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCc4cn[nH]c4)ncc23	CHEMBL3658758	pIC50=9.07
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccccc4)ncc23	CHEMBL2408788	pIC50=9.07
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncccc4Cl)ncc23	CHEMBL3658811	pIC50=9.08
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(c3)N4CCNCC4)c2cn1)c5ccc(F)cc5	CHEMBL3658674	pIC50=9.09
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnn(C)c3)c2cn1)C4CCCCC4	CHEMBL3663042	pIC50=9.09
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCc5[nH]ncc5C4)ncc23	CHEMBL3662962	pIC50=9.09
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccccc4F)ncc23	CHEMBL3658805	pIC50=9.09
COCCNC(=O)Nc1cc2[nH]nc(c3ccc4nn(C)cc4c3)c2cn1	CHEMBL3663074	pIC50=9.1
C[C@H](CNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4	CHEMBL3663071	pIC50=9.1
Cn1cc(cn1)C(N2C=CC(=CC2=O)c3nc(NC4CCOCC4)ncc3F)c5ccc(Cl)c(Cl)c5	CHEMBL3675723	pIC50=9.1
O=C1C=C(C=CN1Cc2ccccc2)c3ccnc(NC4CCOCC4)n3	CHEMBL3409406	pKi=9.1
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1)c4ccccn4	CHEMBL3662956	pIC50=9.11
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccn4	CHEMBL3658780	pIC50=9.11
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(nc3)N4CCOCC4)c2cn1)c5ccc(F)cc5	CHEMBL3654881	pIC50=9.11
CC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(Cl)cc4	CHEMBL3658778	pIC50=9.12
COc1ncc(cn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCCOc5ccccc45)ncc23	CHEMBL3658680	pIC50=9.12
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCc5[nH]nc(C)c5C4)ncc23	CHEMBL3662963	pIC50=9.12
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncc(F)cc4Cl)ncc23	CHEMBL3662973	pIC50=9.12
CN1CC(NC(Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)O1)c5ccccc5	CHEMBL3658702	pIC50=9.13
COc1ncc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccc(F)cc4)ncc23	CHEMBL3654878	pIC50=9.13
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4nc(C)sc4c3)c2cn1)c5ccccc5	CHEMBL3654738	pIC50=9.13
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cscn4)ncc23	CHEMBL3658795	pIC50=9.13
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H](C1)c5ccc(F)cc5	CHEMBL3654838	pIC50=9.14
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4nc(C)oc4c3)c2cn1)c5ccccc5	CHEMBL3663094	pIC50=9.14
C[C@@H](NC(=O)Nc1ncc2c(n[nH]c2c1F)c3ccnc(F)c3)c4ccccc4	CHEMBL3662994	pIC50=9.14
CCNC(=O)[C@H]1CC1c2n[nH]c3cc(NC(=O)N[C@H](COC)c4ccccc4)ncc23	CHEMBL3654798	pIC50=9.15
COc1ncc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23	CHEMBL3658681	pIC50=9.15
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnn(C)c3)c2cn1)c4ccc(F)c(Cl)c4	CHEMBL3654723	pIC50=9.15
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cccc(Cl)c4)ncc23	CHEMBL3654678	pIC50=9.15
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ncccc4F	CHEMBL3654858	pIC50=9.16
Cc1cccc(CN2C=CC(=CC2=O)N3CCc4[nH]nc(c4C3)c5ccncc5)c1	CHEMBL3604853	pIC50=9.16
Fc1cc(CN2C=CC(=CC2=O)c3ccnc(NC4CCOCC4)n3)ccc1Cl	CHEMBL3409569	pKi=9.16
CC(CNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4	CHEMBL3663037	pIC50=9.17
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4nn(C)cc4c3)c2cn1)c5cccc(Cl)c5	CHEMBL3654713	pIC50=9.17
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H](C1)c5ccccc5F	CHEMBL3654811	pIC50=9.18
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccn4ncnc4c3)c2cn1)c5ccccc5	CHEMBL3658662	pIC50=9.18
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4c(F)cccc4F)ncc23	CHEMBL3654703	pIC50=9.18
CCOCCNC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1	CHEMBL3663065	pIC50=9.22
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnn(C)c3)c2cn1)c4ccc(F)cc4	CHEMBL3658664	pIC50=9.22
COc1ncccc1CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3662951	pIC50=9.22
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cn[nH]c3)c2cn1)c4ccc(F)c(Cl)c4	CHEMBL3654725	pIC50=9.22
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(CO)c4cc(F)cc(F)c4)ncc23	CHEMBL3658729	pIC50=9.22
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccccc4OC(F)(F)F)ncc23	CHEMBL3662978	pIC50=9.22
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cccc(c4)C#N	CHEMBL3409579	pKi=9.22
OCC(N1N=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409595	pKi=9.22
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccsn4)ncc23	CHEMBL3658838	pIC50=9.23
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cnsc4)ncc23	CHEMBL3658786	pIC50=9.23
Cn1cc2cc(ccc2n1)c3n[nH]c4cc(NC(=O)NCc5ccc(F)c(Cl)c5)ncc34	CHEMBL3654715	pIC50=9.23
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(cc4)S(=O)(=O)C	CHEMBL3658740	pIC50=9.24
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4nncn4c3)c2cn1)c5ccc(F)cc5	CHEMBL3654872	pIC50=9.24
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4c(c3)nnn4C)c2cn1)c5ccc(F)cc5	CHEMBL3658669	pIC50=9.25
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4nn(C)cc4c3)c2cn1)c5ccc(Cl)cc5	CHEMBL3654716	pIC50=9.25
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(C4CCCO4)c5ccccc5)ncc23	CHEMBL3654863	pIC50=9.25
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CCCCC4)ncc23	CHEMBL3663032	pIC50=9.25
CCOc1ncccc1CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3662981	pIC50=9.26
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(Cl)cc4	CHEMBL3654670	pIC50=9.26
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H](c4ccccc4)C5(O)CCCC5)ncc23	CHEMBL3662986	pIC50=9.26
CN1C[C@@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@@H](C1)c5ccccc5C	CHEMBL3654842	pIC50=9.27
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H](C1)c5ccccc5C	CHEMBL3654834	pIC50=9.27
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnn(CC(C)(C)O)c3)c2cn1)c4ccccc4	CHEMBL3663087	pIC50=9.27
CCO[C@H]1CN(C)C[C@@H]1NC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2	CHEMBL3658687	pIC50=9.28
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H](C1)c5ccccc5C(F)(F)F	CHEMBL3654806	pIC50=9.28
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnn(C)c3)c2cn1)c4ccc(Cl)cc4	CHEMBL3654710	pIC50=9.29
C[C@@H](NC(=O)Nc1ncc2c(n[nH]c2c1F)c3ccnc(C)c3)c4ccc(Cl)cc4	CHEMBL3662989	pIC50=9.29
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(Cl)cc4)ncc23	CHEMBL3654677	pIC50=9.29
Fc1cccc(CN2C=CC(=CC2=O)N3CCc4[nH]nc(c4C3)c5ccncc5)c1	CHEMBL3604849	pIC50=9.3
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cc(F)cc(F)c4	CHEMBL3409583	pKi=9.3
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(F)c(F)c4	CHEMBL3409580	pKi=9.3
CC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccn4	CHEMBL3654845	pIC50=9.31
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCCOc5ccccc45)ncc23	CHEMBL3658644	pIC50=9.31
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4cn(C)nc4c3)c2cn1)c5ccccc5	CHEMBL3663063	pIC50=9.32
C[C@@H]1[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H](CN1C)c5ccccc5	CHEMBL3663023	pIC50=9.32
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(CF)c4ccccc4)ncc23	CHEMBL3658718	pIC50=9.32
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCc4nc5ccccc5[nH]4)ncc23	CHEMBL3658741	pIC50=9.32
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnn(C)c3)c2cn1)c4ccc(F)cc4	CHEMBL3654885	pIC50=9.33
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4c(F)cccc4Cl)ncc23	CHEMBL3658803	pIC50=9.33
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H]4CCN(CC(F)(F)F)C4)ncc23	CHEMBL3658695	pIC50=9.35
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H]([C@@H]1C(F)F)c5ccccc5	CHEMBL3663022	pIC50=9.36
COc1cc(F)ccc1CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3662975	pIC50=9.36
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(F)c(Cl)c4	CHEMBL3654720	pIC50=9.37
C[C@H]1[C@@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@@H](CN1C)c5ccccc5C	CHEMBL3663010	pIC50=9.37
C\C=C\c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3654718	pIC50=9.37
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)Nc4noc5cccnc45)ncc23	CHEMBL3662949	pIC50=9.37
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4nn(C)cc4c3)c2cn1)c5ccc(F)cc5	CHEMBL3654714	pIC50=9.39
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(F)c(Cl)c4)ncc23	CHEMBL3654707	pIC50=9.39
CS(=O)(=O)c1cccc(CN2C=CC(=CC2=O)N3CCc4[nH]nc(c4C3)c5ccncc5)c1	CHEMBL3604852	pIC50=9.4
Clc1cccc(CN2C=CC(=CC2=O)c3ccnc(NC4CCOCC4)n3)c1	CHEMBL3409407	pKi=9.4
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409581	pKi=9.4
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccccc4Cl	CHEMBL3409572	pKi=9.4
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3COC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409603	pKi=9.4
CN1C[C@@H](NC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2)[C@@H](C1)c5ccccc5	CHEMBL3654841	pIC50=9.41
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H](CO)c4ccccc4)ncc23	CHEMBL3703715	pIC50=9.41
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cc[n+]([O-])cc3)c2cn1)c4ccccc4	CHEMBL3654744	pIC50=9.42
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccsc4)ncc23	CHEMBL3658837	pIC50=9.42
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)Nc4noc5cnccc45)ncc23	CHEMBL3658724	pIC50=9.42
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnc(O)nc3)c2cn1)c4ccccc4	CHEMBL3658658	pIC50=9.44
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(CN)c4ccc(F)cc4)ncc23	CHEMBL3662977	pIC50=9.45
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccccc4OCC(F)F)ncc23	CHEMBL3662980	pIC50=9.45
OC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccncc3)c2cn1)c4ccccc4	CHEMBL3663001	pIC50=9.45
C[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(F)cc4	CHEMBL3703711	pIC50=9.47
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cccc(NS(=O)(=O)C)c4)ncc23	CHEMBL3658730	pIC50=9.47
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(cc3)C#N)c2cn1)c4ccccc4	CHEMBL3663057	pIC50=9.48
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnn(C)c3)c2cn1)c4ccccc4	CHEMBL3654680	pIC50=9.48
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(CCO)c4ccccc4)ncc23	CHEMBL3658701	pIC50=9.48
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(c3)C4CC4)c2cn1)c5ccccc5	CHEMBL3663055	pIC50=9.49
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cnsn4)ncc23	CHEMBL3658788	pIC50=9.49
COc1ccc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23	CHEMBL3663092	pIC50=9.5
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(CS(=O)(=O)C)c4ccccc4)ncc23	CHEMBL3663021	pIC50=9.5
OC[C@@H](NC(=O)Nc1ncc2c(n[nH]c2c1F)c3ccncc3)c4ccccc4	CHEMBL3663003	pIC50=9.5
COc1cccc(F)c1CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3658847	pIC50=9.51
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4nnn(C)c4c3)c2cn1)c5ccc(F)cc5	CHEMBL3654886	pIC50=9.51
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccccc4OC(F)F)ncc23	CHEMBL3658804	pIC50=9.51
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3=CNC(=O)C=C3)c2cn1)c4ccc(F)cc4	CHEMBL3658652	pIC50=9.52
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(F)c(F)c4	CHEMBL3658776	pIC50=9.52
C[C@@H](NC(=O)Nc1ccc2c(n[nH]c2c1F)c3ccnc(C)c3)c4ccc(F)cc4	CHEMBL3662990	pIC50=9.52
Clc1ccc(CN2C=CC(=CC2=O)c3ccnc(NC4CCOCC4)n3)cc1	CHEMBL3409408	pKi=9.52
Clc1cccc(CN2C=CC(=CC2=O)N3CCc4[nH]nc(c4C3)c5ccncc5)c1	CHEMBL3604850	pIC50=9.52
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(F)c(Cl)c4	CHEMBL3409582	pKi=9.52
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(F)c(Cl)c4	CHEMBL3409589	pKi=9.52
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cccc(Cl)c4	CHEMBL3409586	pKi=9.52
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4nn(C)cc4c3)c2cn1)c5ccccc5	CHEMBL3663062	pIC50=9.53
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4	CHEMBL3662993	pIC50=9.53
COc1ccccc1CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3662984	pIC50=9.53
CN(C)C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4	CHEMBL3658844	pIC50=9.54
COc1cccc(F)c1CN2CCC[C@H](C2)NC(=O)Nc3cc4[nH]nc(c5ccnc(C)c5)c4cn3	CHEMBL2408790	pIC50=9.54
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cc(C)nc(C)c3)c2cn1)c4ccccc4	CHEMBL3654682	pIC50=9.54
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H](CO)c4cccc5cc[nH]c45)ncc23	CHEMBL3658726	pIC50=9.54
COC[C@@H](NC(=O)Nc1ncc2c(n[nH]c2c1F)c3ccnc(C)c3)c4ccccc4	CHEMBL3662997	pIC50=9.57
COC[C@@H](NC(=O)Nc1ncc2c(n[nH]c2c1F)c3ccnc(F)c3)c4ccccc4	CHEMBL3662998	pIC50=9.57
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H]([C@@H]4CCCO4)c5ccccc5)ncc23	CHEMBL3663009	pIC50=9.58
CSC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4	CHEMBL3663025	pIC50=9.59
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H]([C@H]4CCCO4)c5ccccc5)ncc23	CHEMBL3663008	pIC50=9.59
OC[C@@H](N1CCCn2cc(cc2C1=O)c3ccnc(N[C@@H]4C[C@H](O)C(F)(F)C4)n3)c5cccc(Cl)c5	CHEMBL3608459	pIC50=9.59
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(F)c3)c2cn1)c4ccccc4	CHEMBL3663084	pIC50=9.6
Cn1cc(cn1)c2n[nH]c3cc(NC(=O)NCc4ccc(F)c(Cl)c4)ncc23	CHEMBL3654711	pIC50=9.6
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cccc(F)c4)ncc23	CHEMBL3654704	pIC50=9.61
CN1C[C@@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@@H](C1)c5cccc(Cl)c5	CHEMBL3663035	pIC50=9.63
CN1C[C@@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@@H](C1)c5ccccc5	CHEMBL3654809	pIC50=9.63
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccncc3)c2cn1)c4ccccc4	CHEMBL3663000	pIC50=9.63
C[C@@H](NC(=O)Nc1ncc2c(n[nH]c2c1F)c3ccnc(C)c3)c4ccccc4	CHEMBL3654746	pIC50=9.63
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(CN)c4ccccc4)ncc23	CHEMBL3658725	pIC50=9.64
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(F)cc4	CHEMBL3658692	pIC50=9.65
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4nn(C)cc4c3)c2cn1)c5ccccc5	CHEMBL3663093	pIC50=9.65
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4nnn(C)c4c3)c2cn1)c5ccccc5	CHEMBL3663134	pIC50=9.66
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4	CHEMBL2408789	pIC50=9.69
Brc1cccc(CN2C=CC(=CC2=O)N3CCc4[nH]nc(c4C3)c5ccncc5)c1	CHEMBL3604851	pIC50=9.7
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cc(Cl)cc(Cl)c4	CHEMBL3409584	pKi=9.7
OCC(N1C=CC(=CC1=O)c2nc(NC3CCOCC3)ncc2Cl)c4ccc(Cl)c(F)c4	CHEMBL3409599	pKi=9.7
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cccc(F)c4	CHEMBL3409587	pKi=9.7
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4COC[C@H]4c5ccccc5)ncc23	CHEMBL3663034	pIC50=9.71
OC[C@@H](N1CCCn2cc(cc2C1=O)c3ccnc(N[C@@H]4C[C@H](O)[C@@H](F)C4)n3)c5ccccc5	CHEMBL3608458	pIC50=9.72
OC[C@@H](N1CCCn2cc(cc2C1=O)c3ccnc(N[C@H]4CC[C@@H](O)C4)n3)c5cccc(Cl)c5	CHEMBL3608461	pIC50=9.72
COC[C@@H](NC(=O)Nc1ncc2c(n[nH]c2c1F)c3ccncc3)c4ccccc4	CHEMBL3663002	pIC50=9.74
CN1C[C@@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@@H](C1)c5ccccc5F	CHEMBL3654812	pIC50=9.77
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3=CN(C)C(=O)C=C3)c2cn1)c4ccc(F)cc4	CHEMBL3654722	pIC50=9.8
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cccc(c4)S(=O)(=O)C)ncc23	CHEMBL3663068	pIC50=9.8
OC[C@@H](N1CCn2cc(cc2C1=O)c3ccnc(NC4CCOCC4)n3)c5cccc(Cl)c5	CHEMBL3608591	pIC50=9.8
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H](CN)c4ccccc4)ncc23	CHEMBL3658845	pIC50=9.82
COc1cccc(c1)C(CO)N2C=CC(=CC2=O)c3ccnc(NC4CCOCC4)n3	CHEMBL3409578	pKi=10.0
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)cc4	CHEMBL3409573	pKi=10.0
OCC(N1C=CC(=CC1=O)c2nc(NC3CCOCC3)ncc2F)c4ccc(Cl)c(F)c4	CHEMBL3409600	pKi=10.0
OC[C@@H](N1C[C@H](F)Cn2cc(cc2C1=O)c3ccnc(NC4CCOCC4)n3)c5cccc(Cl)c5	CHEMBL3608587	pIC50=10.3
OC[C@@H](N1CCCn2cc(cc2C1=O)c3ccnc(NC4CC5(COC5)C4)n3)c6ccccc6	CHEMBL3608463	pIC50=10.4
OC[C@@H](N1CCCn2cc(cc2C1=O)c3ccnc(NC4CCOCC4F)n3)c5cccc(Cl)c5	CHEMBL3608464	pIC50=10.46
OC[C@@H](N1CCCn2cc(cc2C1=O)c3ccnc(NC4CCOCC4)n3)c5ccccc5	CHEMBL3608462	pIC50=10.48
