OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	sulfasalazine
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	meclofenamic acid	pIC50=4.33	pIC50=4.33	pIC50=4.33
Nc1ccc(O)c(c1)C(=O)O	mesalazine
CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2	zileuton	pIC50=6.52	pIC50=6.52	pIC50=6.52	pIC50=6.0
OC(=O)C1=CC(=CC=C1O)N=NC1=CC(C(O)=O)=C(O)C=C1	olsalazine
OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	balsalazide
CC(C(O)=O)C1=CC2=C(OC(=N2)C2=CC=C(Cl)C=C2)C=C1	benoxaprofen
OC1(CCOCC1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccccc6)c2	CHEMBL129478	pIC50=6.94
CCCCCCC1=C(Oc2cc(OC)c(OC)c(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL70112	pIC50=6.96
CC[C@](OC)(C(=O)OC)c1cc(F)cc(OCc2ccc3N(C)C(=O)C=Cc3c2)c1	CHEMBL283559	pIC50=6.96
CNC(=O)N(O)CC1COc2ccc(Oc3ccccc3)cc2O1	CHEMBL165067	pIC50=6.96
COc1ccc(cc1)n2nc(cc2c3ccc(Cl)cc3)C#CC(C)N(O)C(=O)C	CHEMBL435907	pIC50=6.96
OC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2	CHEMBL215387	pIC50=6.97
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCOCCC(=O)O)n5Cc6ccc(Cl)cc6	CHEMBL16244	pIC50=6.98
CCCCCCCCCCCCC1=C(Oc2c(OC)c(OC)cc(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL71471	pIC50=6.98
OC1(CC2COC(C1)O2)c3cccc(COc4ccc5C(=CC(=O)N(Cc6ccccc6)c5c4)c7cocc7)n3	CHEMBL23007	pIC50=6.99
CC(C(=O)N(O)CCc1ccccc1)c2cccc(OCc3ccccc3)c2	CHEMBL415963	pIC50=7.0
CC1Cc2c(OCc3ccc4ccccc4n3)ccc5c2c(S1)c(COc6ccccc6CC(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL139891	pIC50=7.0
CCCCC1=C(Oc2c(OC)c(OC)cc(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL304780	pIC50=7.0
CCCCCCCCCCCC1=C(OC)C(=CC(=O)C1=O)OC	CHEMBL3416358	pIC50=7.0
CN(C)c1ccc(cc1)c2nc3ccc(Cl)cn3c2NC4CCCCC4	CHEMBL1957970	pIC50=7.0
CN(O)C(=O)C1=Cc2cc(OCc3ccccc3)ccc2OC1	CHEMBL118212	pIC50=7.0
CN1C(=O)C=Cc2cc(COc3cccc(c3)C4(CCOCC4)C(=O)C)ccc12	CHEMBL21401	pIC50=7.0
CNc1nc2c(Cc3cccnc3)c(C)c(O)c(C)c2s1	CHEMBL105139	pIC50=7.0
COc1ccccc1\C=C\c2cc(C)c(O)c(C)c2	CHEMBL300159	pIC50=7.0
Cc1cc(\C=C\c2ccccc2)cc(C)c1O	CHEMBL55960	pIC50=7.0
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc(cc2)c3ccccc3)n1)c4cccc5ccccc45	CHEMBL1683861	pIC50=7.0
ON(CCCc1ccccc1)C(=O)CCc2ccccc2	CHEMBL54013	pIC50=7.0
[Na+].CSc1ccccc1\C=C\C(=O)N(C)[O-]	CHEMBL82843	pIC50=7.0
CCOC(=O)c1c(Cc2ccccc2Cl)[nH]c3c4ccccc4c(O)cc13	CHEMBL523292	pIC50=7.01
Cc1ccc(cc1)S(=O)(=O)n2cc(C(=O)C(=O)N[C@H](CCC(=O)O)C(=O)O)c3ccccc23	CHEMBL3113620	pIC50=7.01
NC(=O)N(O)CC1=Cc2cc(Oc3ccc(F)cc3)ccc2OCC1	CHEMBL355979	pIC50=7.01
NC(=O)N(O)C[C@H]1COc2ccc(Oc3ccc(F)cc3)cc2O1	CHEMBL162497	pIC50=7.01
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(COc6ccccc6CC(=O)O)n5Cc7cccc(Cl)c7	CHEMBL140915	pIC50=7.02
NC(=O)N(O)CCC#Cc1ccc(OCCCN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)cc1	CHEMBL187264	pIC50=7.02
COc1ccc(\C=C\c2cc(C)c(O)c(C)c2)cc1	CHEMBL54221	pIC50=7.04
NC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OCC1	CHEMBL357336	pIC50=7.04
CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc3ccc(Cl)cc3	CHEMBL29097	pIC50=7.05
CCN1C(=O)C=Cc2cc(COc3cc(F)cc(c3)C4(CCOCC4)OC)ccc12	CHEMBL459236	pIC50=7.05
CCc1cc(\C=C\c2cccs2)cc(OC)c1O	CHEMBL293825	pIC50=7.05
COc1cc(\C=C\c2cc([nH]n2)c3ccc(O)c(OC)c3)ccc1O	CHEMBL2413471	pIC50=7.05
NC(=O)N(O)CCC#Cc1ccc(OCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL185825	pIC50=7.05
CCCCCCOC1=C(Oc2c(OC)c(OC)cc(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL304280	pIC50=7.06
CN(O)C(=O)c1ccc2Oc3ccccc3Nc2c1	CHEMBL12362	pIC50=7.06
CCCCCCCCCCC1=C(Oc2c(OC)c(OC)cc(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL66340	pIC50=7.07
CCCc1cc(\C=C\c2cccs2)cc(OC)c1O	CHEMBL434783	pIC50=7.07
CN(O)C(=O)\C=C\c1ccc2Oc3ccccc3Nc2c1	CHEMBL12361	pIC50=7.07
COc1cc(\C=C\c2cccs2)cc(C)c1O	CHEMBL413324	pIC50=7.07
CCC(O)(c1cn(Cc2ccc3c(c4ccccc4)c(sc3c2)C(=O)C)nn1)C(F)(F)F	CHEMBL1289215	pIC50=7.08
CCOC(=O)c1c(Cc2ccc(Cl)cc2)[nH]c3c4ccccc4c(O)cc13	CHEMBL490656	pIC50=7.08
CC(C#Cc1oc(Oc2ccc(F)cc2)cc1)N(O)C(=O)N	CHEMBL59598	pIC50=7.1
CC(\C=C\c1cccc(Oc2ccc(F)cc2)c1)N(O)C(=O)N	CHEMBL86676	pIC50=7.1
CCOC1(CCOCC1)c2cc(F)cc(OCc3ccc(cc3)n4ccnc4C)c2	CHEMBL423452	pIC50=7.1
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4N(C)C(=O)C(C)(C)c4c3)c2	CHEMBL89526	pIC50=7.1
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4N(C)C(=O)N(C)c4c3)c2	CHEMBL315632	pIC50=7.1
COc1cccc(c1)c2c3COC(=O)c3cc4cc(OCc5cccc(c5)C6(O)CCOCC6)ccc24	CHEMBL434057	pIC50=7.1
C[C@H](C#Cc1oc(Oc2ccc(F)cc2)cc1)N(O)C(=O)N	CHEMBL90552	pIC50=7.1
Cn1nnc(n1)c2cc(c3cocc3)c4ccc(OCc5cccc(c5)C6(O)CCOCC6)cc4c2	CHEMBL338132	pIC50=7.1
NC(=O)N(O)CC1COc2ccc(Oc3ccccc3)cc2C1	CHEMBL422430	pIC50=7.1
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CC(C)(C)Cc6nnn[nH]6)n5Cc7ccc(Cl)cc7	CHEMBL275887	pIC50=7.13
CCOC(=O)CNC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1	CHEMBL119069	pIC50=7.13
CSC1(CCOCC1)c2cc(F)cc(OCc3ccc(cc3)n4ccnc4C)c2	CHEMBL349265	pIC50=7.14
CC(CC(=O)O)SCc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6	CHEMBL16366	pIC50=7.16
CC1Cc2c(OCc3ccc4ccccc4n3)ccc5c2c(S1)c(CSc6ccccc6C(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL140157	pIC50=7.16
CCC(O)(c1cn(Cc2ccc3c(c4ccccc4)c(sc3c2)C(=O)N)nn1)C(F)(F)F	CHEMBL1289446	pIC50=7.16
CCCCNC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1	CHEMBL331931	pIC50=7.16
CCOC(=O)C1(CCOCC1)c2cccc(OCc3ccc4N(C)C(=O)C=Cc4c3)c2	CHEMBL20749	pIC50=7.16
CC[C@](COC)(OC)c1cc(F)cc(OCc2ccc3N(C)C(=O)C=Cc3c2)c1	CHEMBL21651	pIC50=7.16
COC(=O)c1cc(c2ccccc2)c3ccc(OCc4cccc(c4)C5(O)CCOCC5)cc3c1	CHEMBL414244	pIC50=7.16
COC1(CCOCC1)c2cccc(OCC#Cc3ccccc3)c2.ClCCl	CHEMBL315848	pIC50=7.16
COC1(CCOCC1)c2cccc(OCc3ccc4ccccc4c3)c2	CHEMBL88084	pIC50=7.16
COc1ccc2cc(\C=C\3/SC(=NC3=O)c4ccc(Cl)cc4)ccc2c1	CHEMBL2029849	pIC50=7.16
NC(=O)N(O)CC#Cc1ccc(Cc2ccc(F)cc2)s1	CHEMBL359455	pIC50=7.16
OC1(CCOCC1)c2cccc(COc3ccc4c(cc(cc4c3)C(=O)c5ccccc5)c6cocc6)c2	CHEMBL338461	pIC50=7.16
OC1(CCOCC1)c2cccc(COc3ccc4c(cc(cc4c3)C5=NCCO5)c6cocc6)c2	CHEMBL129056	pIC50=7.16
NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)cc1	CHEMBL186125	pIC50=7.17
CCC(O)(c1cn(Cc2ccc3c(c(CO)sc3c2)c4ccccc4)nn1)C(F)(F)F	CHEMBL1289093	pIC50=7.19
COC(=O)c1ccc2Oc3ccccc3Nc2c1	CHEMBL12681	pIC50=7.19
Cc1cc(\C=C\c2cccs2)cc(CC=C)c1O	CHEMBL56833	pIC50=7.19
CC(C)NC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1	CHEMBL331062	pIC50=7.2
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(COCc6ccccc6C(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL410493	pIC50=7.21
CCCCCCCCC1=C(Oc2c(OC)c(OC)cc(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL68593	pIC50=7.21
CC(C)(C)c1cccc(NC2=NS(=O)(=O)c3cc(ccc23)[N+](=O)[O-])c1	CHEMBL3288316	pIC50=7.22
CC(OCCc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6)c7nn[nH]n7	CHEMBL16334	pIC50=7.22
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCOc6ccccc6C(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL341948	pIC50=7.22
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCOc6ccccc6CC(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL437444	pIC50=7.22
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCOc6ccccc6CC(=O)O)n5Cc7ccc(F)cc7	CHEMBL342684	pIC50=7.22
CC[C@]1(CCO[C@H](C)C1)c2cc(F)cc(OCc3ccc4N(C)C(=O)C=Cc4c3)c2	CHEMBL2092747	pIC50=7.22
COC1(CCOCC1)c2cc(F)cc(OCc3ccc(cc3)n4ccnc4C)c2	CHEMBL163569	pIC50=7.22
COc1cc(\C=C\2/CCN3C(=O)c4ccccc4N=C23)cc(OC)c1OC(=O)C	CHEMBL464446	pIC50=7.22
NC(=O)N(O)CC#Cc1oc(Oc2ccc(F)cc2)cc1	CHEMBL264717	pIC50=7.22
CCCCCCC1=C(Oc2c(OC)c(OC)cc(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL69022	pIC50=7.24
NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCC(=C3c4ccc(Cl)cc4CCc5cccnc35)CC2)cc1	CHEMBL360202	pIC50=7.24
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CSCCC(=O)O)n5Cc6ccc(Cl)cc6	CHEMBL279871	pIC50=7.26
CC1Cc2c(OCc3ccccn3)ccc4c2c(S1)c(CSc5ccccc5C(=O)O)n4Cc6ccc(Cl)cc6	CHEMBL138551	pIC50=7.26
CC[C@](O)(c1cn(Cc2ccc3c(c4ccc(F)cc4)c(sc3c2)C(=O)N)nn1)C(F)(F)F	CHEMBL1289558	pIC50=7.26
OC(c1cc(F)cc(OCc2ccc3C(=CC(=O)Oc3c2)c4ccc(F)cc4)c1)(C(F)(F)F)C(F)(F)F	CHEMBL205189	pIC50=7.26
Cc1cc(\C=C\c2cccs2)cc(C)c1O	CHEMBL56798	pIC50=7.27
COC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(=O)c3cn(c4ccccc34)S(=O)(=O)c5ccc(C)cc5	CHEMBL3113613	pIC50=7.28
COc1ccc(COc2ccc3c4c2CC(C)Sc4c(CSc5ccccc5C(=O)O)n3Cc6ccc(Cl)cc6)nc1	CHEMBL415530	pIC50=7.28
CNC(=O)N(O)CC1=Cc2cc(Oc3ccc(F)cc3)ccc2OC1	CHEMBL333219	pIC50=7.29
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCOC(C)(C)C(=O)O)n5Cc6ccc(Cl)cc6	CHEMBL278027	pIC50=7.3
CCC(OC)(c1cccc(OCc2ccc3c(c4COC(=O)c4cc3c2)c5ccccc5)c1)c6nccs6	CHEMBL151726	pIC50=7.3
CN(O)C(=O)\C=C\c1cccc(Oc2ccccc2)c1	CHEMBL146730	pIC50=7.3
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4N(C)C(=O)C=Nc4c3)c2	CHEMBL89864	pIC50=7.3
COc1ccc(cc1)c2sc(nc2O)c3ccc(Cl)cc3	CHEMBL3353726	pIC50=7.3
C[C@@H](C#Cc1oc(Oc2ccc(F)cc2)cc1)N(O)C(=O)N	CHEMBL1907933	pIC50=7.3
Clc1ccc(cc1)c2csc(Nc3ccc(cc3)N4CCOCC4)n2	CHEMBL3318382	pIC50=7.3
Clc1ccc(cc1)c2csc(Nc3ccc4OCOc4c3)n2	CHEMBL2023847	pIC50=7.3
OC1(CCOCC1)c2cccc(COc3ccc4c(cc(cc4c3)C(=O)c5nccs5)c6cocc6)c2	CHEMBL127779	pIC50=7.3
OC1(CCOCC1)c2cccc(COc3ccc4c(cc(cc4c3)C5=NCCS5)c6cocc6)c2	CHEMBL128300	pIC50=7.3
ON(CCc1ccccc1)C(=O)c2ccc(OCc3ccccc3)cc2	CHEMBL293296	pIC50=7.3
CCOC(=O)c1c(CCc2ccc(Cl)cc2)[nH]c3c4ccccc4c(O)cc13	CHEMBL520798	pIC50=7.31
NC(=O)N(O)CC1=Cc2cc(Oc3ccc(F)cc3)ccc2OC1	CHEMBL330889	pIC50=7.31
NC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1	CHEMBL116719	pIC50=7.32
NC(=O)N(O)CCC#Cc1ccc(OCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL187637	pIC50=7.32
Cc1cc(\C=C\c2ccsc2)cc(C)c1O	CHEMBL58979	pIC50=7.35
ON(CC1=Cc2cc(Oc3ccccc3)ccc2OC1)C(=O)NCC=C	CHEMBL120454	pIC50=7.36
CNC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1	CHEMBL118929	pIC50=7.39
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCOc6ccccc6CC(=O)O)n5Cc7cccc(Cl)c7	CHEMBL140204	pIC50=7.4
CC[C@@H](CSCc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6)C(=O)O	CHEMBL278632	pIC50=7.4
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4N(C)C(=O)Sc4c3)c2	CHEMBL330120	pIC50=7.4
COc1cc(\C=C\2/CCN3C(=O)c4ccccc4N=C23)cc(OC)c1O	CHEMBL518103	pIC50=7.4
CCCNC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1	CHEMBL120347	pIC50=7.41
CC[C@](O)(c1cn(Cc2ccc3c(c4cccc(F)c4)c(sc3c2)C(=O)N)nn1)C(F)(F)F	CHEMBL1289557	pIC50=7.41
OC1(CC2COC(C1)O2)c3cccc(COc4ccc5c(cc(nc5c4)C#N)c6cocc6)n3	CHEMBL22751	pIC50=7.44
CCOC(=O)\C=C\c1ccc2Oc3ccccc3Nc2c1	CHEMBL273714	pIC50=7.46
COc1ccc(NC(=O)c2cc(cc(c2)[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL3238468	pIC50=7.47
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Nc2cccc(Cl)c2	CHEMBL3238466	pIC50=7.48
CC[C@](O)(c1cn(Cc2ccc3c(c4ccccc4)c(sc3c2)C(=O)N)nn1)C(F)(F)F	CHEMBL1289447	pIC50=7.5
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCSc6ccccc6C(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL337576	pIC50=7.52
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CSc6ccccc6C(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL342680	pIC50=7.52
COC1(CCOCC1)c2cccc(OCc3ccc4N(C)C(=O)C=Cc4c3)c2	CHEMBL316091	pIC50=7.52
OC1(CCOCC1)c2cccc(COc3ccc4c(cc(cc4c3)C#N)c5cocc5)c2	CHEMBL99469	pIC50=7.52
Oc1ccc(Nc2nc(cs2)c3ccc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc3)cc1	CHEMBL3099680	pIC50=7.52
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Nc2cccc(c2)c3ccccc3	CHEMBL3238471	pIC50=7.52
CCNC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1	CHEMBL120582	pIC50=7.57
OC(c1cc(F)cc(Sc2ccc3OC(=O)C=C(c4ccc(F)cc4)c3c2)c1)(C(F)(F)F)C(F)(F)F	CHEMBL205800	pIC50=7.57
OC1(CC2COC(C1)O2)c3cc(F)cc(OCc4ccc5c(cc(nc5c4)C#N)c6cocc6)c3	CHEMBL22789	pIC50=7.57
OC1(CCOCC1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccsc6)c2	CHEMBL339993	pIC50=7.57
O[C@]1(C[C@H]2CO[C@@H](C1)O2)c3cc(F)cc(OCc4ccc5c(cc(nc5c4)C#N)c6cocc6)c3	CHEMBL207057	pIC50=7.57
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(COc6ccccc6CC(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL341562	pIC50=7.59
OC(c1cc(F)cc(Sc2ccc3C(=CC(=O)Oc3c2)c4ccccc4)c1)(C(F)(F)F)C(F)(F)F	CHEMBL377821	pIC50=7.59
OC1(CCOCC1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6cocc6)c2	CHEMBL129018	pIC50=7.59
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCOc6ccccc6CC(=O)O)n5Cc7cccc(F)c7	CHEMBL141645	pIC50=7.64
COC1CC(O)(CCO1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccccc6)c2	CHEMBL131135	pIC50=7.64
CC(OCCc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6)C(=O)NS(=O)(=O)C	CHEMBL277746	pIC50=7.66
CC(OCCc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6)C(=O)O	CHEMBL13931	pIC50=7.7
CCC(OCCc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6)C(=O)NS(=O)(=O)C	CHEMBL16285	pIC50=7.7
COC1(CCOCC1)c2cccc(OCc3ccc4c(c5COC(=O)c5cc4c3)c6ccccc6)c2	CHEMBL150169	pIC50=7.7
N1c2ccccc2Oc3ccccc13	CHEMBL276850	pIC50=7.7
OC(=O)c1ccc(CN(Cc2cccc(F)c2)c3ccc(OCc4ccc5ccccc5n4)cc3)cc1	CHEMBL310584	pIC50=7.7
OC1(CC2COC(C1)O2)c3cccc(COc4ccc5c(cc(cc5c4)C#N)c6cocc6)n3	CHEMBL278293	pIC50=7.7
CCC(O)(CC)c1cc(F)cc(OCc2ccc3C(=CC(=O)Oc3c2)c4cocc4)c1	CHEMBL204365	pIC50=7.82
COC1(CCOCC1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccccc6)c2	CHEMBL129292	pIC50=7.85
Cc1ccc(cc1)S(=O)(=O)n2cc(C(=O)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)c5ccccc25	CHEMBL3113618	pIC50=8.0
Cc1cccc(NC(=O)c2cc(cc(c2)[N+](=O)[O-])[N+](=O)[O-])c1	CHEMBL3238465	pIC50=8.0
COC(=O)CNC(=O)C(=O)c1cn(c2ccccc12)S(=O)(=O)c3ccc(C)cc3	CHEMBL3113612	pIC50=8.01
OC(c1cc(F)cc(Sc2ccc3C(=CC(=O)Oc3c2)c4cocc4)c1)(C(F)(F)F)C(F)(F)F	CHEMBL377094	pIC50=8.05
Cc1ccc(cc1)S(=O)(=O)n2cc(C(=O)C(=O)NCC(=O)O)c3ccccc23	CHEMBL3113617	pIC50=8.07
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Nc2cccc3ccccc23	CHEMBL3238463	pIC50=8.4
O[C@@H](CCCC(=O)O)\C=C/C=C/C=C/[C@H](O)C\C=C/CCCCC(F)(F)F	CHEMBL194522	pEC50=8.52
CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c3ccc(OCc4ccc5ccccc5n4)cc13	CHEMBL16596	pIC50=8.8
