COC1=CC(CNC(=O)CCCC\C=C/C(C)C)=CC=C1O	zucapsaicin	pEC50=7.71000004	pEC50=7.71000004	pEC50=7.71000004
COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1	capsaicin	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=8.1
CC(=O)NC1=CC=C(O)C=C1	paracetamol
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(F)ccc34)cc12	CHEMBL3682341	pIC50=6.96
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CCOc4c3cccc4C(C)(C)C)cccc12	CHEMBL3682231	pIC50=6.96
C[C@@]1(C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccccc4O1)C(F)F	CHEMBL3682337	pIC50=6.96
Clc1ccc(COC(=O)Nc2cccc3cnccc23)cc1	CHEMBL192113	pIC50=6.96
O[C@@H]1Cc2cccc(NC(=O)N[C@@H]3CC[C@H](C3)c4cccc(F)c4)c2C1	CHEMBL3644145	pIC50=6.96
CN(CCO)c1ccc(NC(=O)COc2ccc(cc2C(C)(C)C)C(C)(C)C)cn1	CHEMBL2380570	pIC50=6.97
Fc1cccc(c1)C2(CCC2)C(=O)NCc3cc(nn3c4cccc(Cl)c4)C(F)(F)F	CHEMBL3689059	pKi=6.97
CC(C)(C)c1ccc2[C@@H](CCc2c1)NC(=O)NCc3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3698456	pIC50=6.98
O[C@@H]1Cc2cccc(NC(=O)N[C@@H]3CC[C@@H](C3)c4ccccc4)c2C1	CHEMBL3644058	pIC50=6.98
CC(C(=O)NCc1ccc(nc1N2CCC(C)CC2)C(F)(F)F)c3cccc(CNS(=O)(=O)C)c3	CHEMBL3694596	pKi=6.99
CS(=O)(=O)Nc1ccc(cc1F)C(C2CCCC2)C(=O)NCc3ccc(nc3SC4CCCCC4)C(F)(F)F	CHEMBL3427098	pKi=6.99
CC(C(=O)NCc1ccc(nc1N(Cc2ccccc2)S(=O)(=O)C)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3771332	pKi=7.0
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(Cl)c(Cl)c4O1	CHEMBL3682314	pIC50=7.0
CCCCCCOc1nc(cc(C)c1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL3407956	pKi=7.0
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4nc(ccc34)C(F)(F)F)cc12	CHEMBL3682382	pIC50=7.0
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(Cl)cccc34)cccc12	CHEMBL3682237	pIC50=7.0
CN1Cc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4c3cccc4C(F)(F)F)cc2NC1=O	CHEMBL3677315	pIC50=7.0
CN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(ccc34)C(F)(F)F)cc2NC1=O	CHEMBL3682262	pIC50=7.0
Cc1c(Cl)cccc1N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL509259	pKi=7.0
Cc1cc(NC(=O)N2CCC(F)(CC2)c3ncccc3F)ccc1OC(F)(F)F	CHEMBL3671855	pIC50=7.0
Cc1cccnc1N2CCC(=CC2)C(=O)Nc3ccc(cc3)C(=O)NC(F)(F)F	CHEMBL3646694	pIC50=7.0
Cc1cccnc1N2CCC(=CC2)C(=O)Nc3ccc(cc3)S(=O)(=O)C(F)(F)F	CHEMBL523605	pIC50=7.0
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3677328	pIC50=7.0
O=C(N[C@@H]1CC[C@@H](C1)c2ccccc2)Nc3cccc4[nH]ccc34	CHEMBL3646676	pIC50=7.0
CC(C)(C)c1ccc2[C@@H](CCc2c1)NC(=S)Nc3cccc4[nH]ncc34	CHEMBL3085383	pIC50=7.01
CC1(C)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccc(Br)cc4O1	CHEMBL3677361	pIC50=7.01
Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)ccc(C)c2cn1	CHEMBL3326911	pIC50=7.01
Clc1ccc(CCC(=O)Nc2cccc3cnccc23)cc1	CHEMBL105101	pKi=7.01
Clc1cccc(c1)N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL497662	pKi=7.01
Cn1ncc2c(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4F)cccc12	CHEMBL3646643	pIC50=7.01
CC(C(=O)NCCc1ccc(nc1N2CCC(C)CC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3823425	pKi=7.02
CC(C(=O)NCc1ccc(nc1OCc2cccc(Cl)c2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385234	pIC50=7.02
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3677399	pIC50=7.02
CCCCCSc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2442895	pIC50=7.02
CN1C(=O)NCc2c(NC(=O)NC3COc4cc(Cl)ccc4C3)cccc12	CHEMBL3682250	pIC50=7.02
CC(C(=O)NCc1ccc(nc1OCc2cc(F)cc(F)c2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385236	pIC50=7.03
CC(C)(C)C(=O)OC[C@@H](CNC(=S)NCc1ccc(NS(=O)(=O)C)c(F)c1)Cc2ccc(cc2)C(C)(C)C	CHEMBL3099610	pKi=7.03
CC(C)Oc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385407	pIC50=7.03
CC1(C)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccc(F)cc4O1	CHEMBL3677341	pIC50=7.03
CC1(C)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(cc4O1)C(F)(F)F	CHEMBL3677404	pIC50=7.03
CCN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4ccccc34)cccc12	CHEMBL3677307	pIC50=7.03
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CCOc4c3cccc4C(F)(F)F)cc12	CHEMBL3682372	pIC50=7.03
Clc1ccccc1N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL509498	pKi=7.03
O[C@@H]1Cc2cccc(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4F)c2C1	CHEMBL3644148	pIC50=7.03
Oc1ccc2cccc(NC(=O)NCc3ccccc3)c2c1	CHEMBL139989	pKi=7.03
CC1CCN(CC1)c2nc(ccc2CNC(=O)Nc3cccc4cccnc34)C(F)(F)F	CHEMBL3393835	pKi=7.04
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(C)C(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3682266	pIC50=7.04
CN1C(=O)C=Cc2c(NC(=O)N[C@H]3CCOc4cc(OC(F)(F)F)ccc34)cccc12	CHEMBL3677376	pIC50=7.04
FCC1(CF)C[C@@H](NC(=O)Nc2cccc3NC(=O)C=Cc23)c4ccc(Cl)cc4O1	CHEMBL3677397	pIC50=7.04
CC(C(=O)NCc1ccc(nc1SC2CCC(CC2)C(C)(C)C)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442919	pIC50=7.05
CC1CCN(CC1)c2nc(ccc2CNC(=O)C(C3CCCC3)c4ccc(NS(=O)(=O)C)c(F)c4)C(F)(F)F	CHEMBL3427097	pKi=7.05
CCCOc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385422	pIC50=7.05
CN1Cc2ccc(NC(=O)N[C@@H]3CCOc4c3cccc4C(F)(F)F)cc2NC1=O	CHEMBL3682288	pIC50=7.05
FC(F)(F)Oc1ccc2[C@H](CCOc2c1)NC(=O)Nc3ccc4CCC(=O)Nc4c3	CHEMBL3682322	pIC50=7.05
CC1CCN(CC1)c2nc(ccc2CNC(=O)C(c3cccc(C)c3)c4ccc(NS(=O)(=O)C)c(F)c4)C(F)(F)F	CHEMBL3427109	pIC50=7.06
COc1cc(ccc1CNS(=O)(=O)C)C(C)C(=O)NCc2ccc(nc2N3CCCC3)C(F)(F)F	CHEMBL3694604	pKi=7.06
CSc1ccc(cc1)[C@H]2CCC(C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644101	pIC50=7.06
FC(F)(F)c1ccccc1CNC(=O)Nc2cccc3cnccc23	CHEMBL177554	pIC50=7.06
O[C@H]1Cc2cccc(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4F)c2C1	CHEMBL3644144	pIC50=7.06
CC(C(=O)NCc1cc(nn1c2cccc(Cl)c2)C(F)(F)F)c3ccc(cc3)C(=O)Nc4ccc(cc4)C(F)(F)F	CHEMBL3689054	pKi=7.07
CC(C(=O)NCc1ccc(nc1SCCC(=O)N2CCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442909	pKi=7.07
CC(C)Cc1ccc(cc1)C(C)C(=O)NCCCC(=O)Nc2ccccc2	CHEMBL3752411	pIC50=7.07
CCCCCCN(C)c1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL408637	pIC50=7.07
CN(CCO)c1ccc(NC(=O)COc2ccc(cc2Br)C(C)(C)C)cn1	CHEMBL2380571	pIC50=7.07
CN1Cc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(ccc34)C(F)(F)F)cc2NC1=O	CHEMBL3682273	pIC50=7.07
C[C@H]1Oc2c(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4)cccc2NC1=O	CHEMBL3644080	pIC50=7.07
Fc1ccc2OC3(CCC3)C[C@H](NC(=O)Nc4ccc5CCC(=O)Nc5c4)c2c1	CHEMBL3682330	pIC50=7.07
NS(=O)(=O)NCc1ccc(NC(=O)NCc2ccc(nc2N3CCCC3)C(F)(F)F)cc1	CHEMBL3694611	pKi=7.07
CCCCN(C)c1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL258915	pKi=7.08
C[C@H]1Oc2c(NC(=O)N[C@H]3CC[C@@H](C3)c4ccccc4)cccc2NC1=O	CHEMBL3644066	pIC50=7.08
Cn1ncc2c(NC(=O)N[C@H]3CC[C@@H](C3)c4ccccc4)cccc12	CHEMBL3644067	pIC50=7.08
Fc1cccc(c1)N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL498328	pKi=7.08
CC(C)CCSc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2442897	pIC50=7.09
COc1cc(OC(=O)OCC2=C[C@H]3[C@H]4O[C@]5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)ccc1NS(=O)(=O)C	CHEMBL2425551	pKi=7.09
Fc1cccc(N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3)c1Br	CHEMBL464384	pKi=7.09
CC(C(=O)NCc1ccc(nc1N2CCCC2)C(F)(F)F)c3ccc(CNS(=O)(=O)C)c(Cl)c3	CHEMBL3694602	pKi=7.1
C[C@]1(CC[C@@H](C1)NC(=O)Nc2cccc3[nH]ncc23)c4ccccc4	CHEMBL3644127	pIC50=7.1
O[C@@H]1Cc2cccc(NC(=O)N[C@@H]3CC[C@H](C3)c4ccccc4F)c2C1	CHEMBL3644147	pIC50=7.1
O[C@H]1Cc2cccc(NC(=O)N[C@@H]3CC[C@H](C3)c4cccc(F)c4)c2C1	CHEMBL3644141	pIC50=7.1
O[C@H]1Cc2cccc(NC(=O)N[C@@H]3CC[C@H](C3)c4ccccc4)c2C1	CHEMBL3644072	pIC50=7.1
CC(C)c1ccccc1N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL517013	pKi=7.11
CN1C(=O)C=Cc2c(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4)cccc12	CHEMBL3644105	pIC50=7.11
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CCOc4cc(OC(F)(F)F)ccc34)cc12	CHEMBL3682366	pIC50=7.11
COc1ccc(cc1)C2CCC(C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644095	pIC50=7.11
Clc1ccc2[C@@H](CCc2c1)NC(=O)Nc3ccc4CCC(=O)Nc4c3	CHEMBL3682339	pIC50=7.11
CC(C(=O)NCc1cc(nn1c2ccc(cc2)C(C)(C)C)C(C)(C)C)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3689033	pKi=7.12
CC1(C)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3682400	pIC50=7.12
CCS(=O)(=O)NCc1ccc(cc1F)C(C)C(=O)NCc2ccc(nc2N3CCCC3)C(F)(F)F	CHEMBL3694609	pKi=7.12
COc1cc(COc2nc(ccc2CNC(=O)C(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F)cc(OC)c1	CHEMBL2385238	pIC50=7.12
CS(=O)(=O)Nc1ccccc1c2ccc3[nH]c(\C=C\c4ccc(Cl)cc4)nc3c2	CHEMBL3426350	pIC50=7.12
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(Cl)c(F)c4O1	CHEMBL3682319	pIC50=7.12
CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCC(CC2)C(=O)Nc3ccccc3Cl	CHEMBL3753349	pIC50=7.13
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3682317	pIC50=7.13
Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)c(C)ccc2cn1	CHEMBL3326910	pIC50=7.13
Cc1cccc(c1)c2nc(ccc2CNC(=O)Nc3ccc(CNS(=O)(=O)C)c(C)c3)C(F)(F)F	CHEMBL3695693	pKi=7.13
Cc1csc(n1)[C@H]2CC[C@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3646660	pIC50=7.13
[O-][N+](=O)c1ccc(NC(=O)N2CCN(CC2)c3ncccc3C(F)(F)F)cc1	CHEMBL362673	pIC50=7.13
CC(C(=O)NCc1ccc(C)nc1N2CCC(C)CC2)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3407751	pKi=7.14
CC(C(=O)NCc1ccc(nc1c2cccc(C)c2)C(F)(F)F)c3ccc(CNS(=O)(=O)C)c(Cl)c3	CHEMBL3695690	pKi=7.14
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(C)C(=O)Nc3c2)c4ccccc4O1	CHEMBL3682267	pIC50=7.14
Brc1ccccc1N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL458490	pKi=7.15
CC(C(=O)NCc1ccc(nc1SCc2cccc(c2)C(F)(F)F)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442925	pIC50=7.15
CCCCCc1ccc(cc1)C(=O)Nc2cccc3cnccc23	CHEMBL102073	pKi=7.15
CC(C(=O)NCc1ccc(cc1F)C(F)(F)F)c2ccc(NS(=O)(=O)C)c(F)c2	CHEMBL3629224	pKi=7.16
CC(C(=O)NCc1ccc(nc1OC2CCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385415	pIC50=7.16
CC(C(=O)NCc1ccc(nc1OCc2cccc(F)c2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385233	pIC50=7.16
CN1C(=O)CCc2c(NC(=O)N[C@@H]3CC[C@H](C3)c4cccc(F)c4)cccc12	CHEMBL3646638	pIC50=7.16
CN1Cc2ccc(NC(=O)N[C@@H]3CCc4cc(Cl)ccc34)cc2NC1=O	CHEMBL3677316	pIC50=7.16
COc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385420	pKi=7.16
Cn1ncc2c(NC(=O)N[C@@H]3CC[C@H](C3)c4ccccc4)cccc12	CHEMBL3644074	pIC50=7.16
O=C(N[C@@H]1CC[C@@H](C1)c2ccccc2)Nc3ccc4CCC(=O)Nc4c3	CHEMBL3644062	pIC50=7.16
CC(C(=O)NCc1ccc(nc1SCCCBr)C(F)(F)F)c2ccc(NS(=O)(=O)C)c(F)c2	CHEMBL2442899	pIC50=7.17
CC(C)CN1CCN(CC1)c2nc3CCN(CCc3c(Nc4ccc(cc4)C(F)(F)F)n2)c5ncccc5C(F)(F)F	CHEMBL1630299	pIC50=7.17
CC(C)COc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385408	pIC50=7.17
CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCC(CC2)C(=O)Nc3ccc(cc3)C(C)(C)C	CHEMBL3752865	pIC50=7.17
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3C[C@](C)(Oc4ccccc34)C(F)(F)F)cc12	CHEMBL3682385	pIC50=7.17
C[C@@H]1CN(CCN1C(=O)Nc2ccc(cc2)C(C)(C)C)c3nnc(Cl)cc3C	CHEMBL185685	pIC50=7.17
C[C@@]1(CF)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(cc4O1)C(F)(F)F	CHEMBL3677425	pIC50=7.17
FC(F)(F)c1ccccc1N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL509968	pKi=7.17
OCCN1Cc2ccc(NC(=O)N[C@@H]3CCOc4ccccc34)cc2NC1=O	CHEMBL3682395	pIC50=7.17
CC(C(=O)NCc1ccc(nc1OCc2ccc(cc2)C(F)(F)F)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385231	pIC50=7.18
CC(C(=O)NCc1ccc(nc1c2cccc(C)c2)C(F)(F)F)c3ccc(CNS(=O)(=O)C)cc3	CHEMBL3695680	pKi=7.18
CC(C)(C(=O)NCc1ccc(nc1SC2CCCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3427119	pKi=7.18
CC1CCN(CC1)c2nc(ccc2CNC(=O)C(Cc3ccccc3)c4ccc(NS(=O)(=O)C)c(F)c4)C(F)(F)F	CHEMBL3427112	pKi=7.18
COc1cc(N\C(=N\CC2=C[C@H]3[C@H]4OC5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)\S)ccc1O	CHEMBL285922	pKi=7.18
O=C(N[C@H]1CC[C@H](C1)C2CCCCC2)Nc3cccc4[nH]ncc34	CHEMBL3644104	pIC50=7.18
CC(C(=O)NCc1cc(nn1C2CCCCC2)C(F)(F)F)c3ccc(CNS(=O)(=O)C)c(F)c3	CHEMBL3689066	pKi=7.19
CC1CN(CCN1C(=O)Nc2ccc(cc2)C(F)(F)F)c3ncccc3C(F)(F)F	CHEMBL368807	pIC50=7.19
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3677342	pIC50=7.19
CCCC1(CCC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)N(C)c3c2)c4cc(F)ccc4O1	CHEMBL3682354	pIC50=7.19
FC(F)(F)c1ccc(NC(=O)N2CCN(CC2)c3ccccc3C(F)(F)F)nc1	CHEMBL177428	pIC50=7.19
FC(F)(F)c1cccc(c1)N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL497485	pKi=7.19
O=C(NC1CCc2c1cccc2N3CCOCC3)Nc4cccc5[nH]ncc45	CHEMBL253360	pIC50=7.19
O=C(N[C@@H]1C[C@H](C1)c2ccccc2)Nc3cccc4[nH]ncc34	CHEMBL3644112	pIC50=7.19
O=C(N[C@H]1CC[C@H](C1)c2ccccc2)Nc3cccc4[nH]ncc34	CHEMBL3644084	pIC50=7.19
CC(C(=O)NCc1cc(nn1NCc2ccccn2)C(F)(F)F)c3ccc(CNS(=O)(=O)C)c(F)c3	CHEMBL3689063	pKi=7.2
CC(C(=O)NCc1ccc(nc1c2ccccc2F)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3319110	pKi=7.2
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cccc34)cccc12	CHEMBL3677393	pIC50=7.2
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4ccccc34)cccc12	CHEMBL3677378	pIC50=7.2
CN1C(=O)CCc2c(NC(=O)N[C@H]3CC[C@@H](C3)c4ccccc4)cccc12	CHEMBL3646637	pIC50=7.2
CN1C(=O)NCc2c(NC(=O)N[C@@H]3C[C@@](C)(CF)Oc4cc(Cl)ccc34)cccc12	CHEMBL3677313	pIC50=7.2
CS(=O)(=O)Nc1ccc(cc1F)C(C(=O)NCc2ccc(nc2SC3CCCCC3)C(F)(F)F)c4ccccc4	CHEMBL3427102	pKi=7.2
C[C@@]1(CF)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccc(cc4O1)C(F)(F)F	CHEMBL3677356	pIC50=7.2
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3CC(N4CCOCC4)C(=O)Nc3c2)c5ccc(Cl)cc5O1	CHEMBL3682387	pIC50=7.21
C[C@]1(C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(Cl)cc4O1)C(F)F	CHEMBL3682300	pIC50=7.22
Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)cc(F)cc2cn1	CHEMBL3326912	pIC50=7.22
Cc1ccccc1N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL455958	pKi=7.22
FC(F)(F)c1ccc(CCC(=O)Nc2cccc3cnccc23)cc1	CHEMBL104445	pKi=7.22
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccccc4O1	CHEMBL3682303	pIC50=7.22
CC(C(=O)NCc1ccc(cc1c2cccnc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3629236	pKi=7.23
CC(C(=O)NCc1ccc(nc1N2CCC(C)CC2)c3ccc(F)cc3)c4ccc(NS(=O)(=O)C)c(F)c4	CHEMBL3407755	pKi=7.23
CC1CCN(CC1)c2nc(ccc2CNC(=O)NCc3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F	CHEMBL3822908	pKi=7.23
CN(C)c1ccc(NC(=O)COc2ccc(cc2)C(C)(C)C)cn1	CHEMBL2380433	pIC50=7.23
CC(C(=O)NCc1cc(nn1c2ccccn2)C(C)(C)C)c3ccc(CNS(=O)(=O)C)c(F)c3	CHEMBL3689061	pKi=7.24
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)cccc12	CHEMBL3677319	pIC50=7.24
CN1C(=O)CCc2c(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4)cccc12	CHEMBL3644150	pIC50=7.24
COc1cc(OC)cc(c1)c2nc(ccc2CNC(=O)C(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F	CHEMBL3317481	pKi=7.24
C[C@@]1(C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccccc4O1)C(F)(F)F	CHEMBL3677424	pIC50=7.24
FC(F)(F)c1ccc(NC(=O)N2CCN(CC2)c3ncccc3C(F)(F)F)cc1	CHEMBL179739	pIC50=7.24
OCCN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4ccccc34)cc2NC1=O	CHEMBL3682401	pIC50=7.24
CC(C)(C(=O)NCc1cc(nn1c2cccc(Cl)c2)C(F)(F)F)c3cccc(F)c3	CHEMBL3689058	pKi=7.25
CC1(C)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3682307	pIC50=7.25
CC1(C)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3677412	pIC50=7.25
CC1(C)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(F)cc4O1	CHEMBL3677336	pIC50=7.25
Cc1cccc(c1)C(C(=O)NCc2ccc(nc2SC3CCCCC3)C(F)(F)F)c4ccc(NS(=O)(=O)C)c(F)c4	CHEMBL3427110	pKi=7.25
Fc1ccc(cc1F)N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL455902	pKi=7.25
O=C(N[C@@H]1CCC[C@@H](C1)c2ccccc2)Nc3cccc4[nH]ncc34	CHEMBL3644091	pIC50=7.25
CC(C(=O)NCc1ccc(nc1N2CCC(C)CC2)C(F)(F)F)c3ccc(CN(C)S(=O)(=O)C)c(F)c3	CHEMBL3694616	pKi=7.26
CC(C)(C)c1ccc(Nc2ncnc3cc(ccc23)c4ncccc4C(F)(F)F)cc1	CHEMBL3644057	pIC50=7.26
CCC1(CC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)C=Cc23)c4ccc(cc4O1)C(F)(F)F	CHEMBL3677367	pIC50=7.26
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CCc4cc(F)ccc34)cc12	CHEMBL3682373	pIC50=7.26
C[C@H]1Oc2c(NC(=O)N[C@@H]3CC[C@@H](C3)c4ccccc4)cccc2NC1=O	CHEMBL3644060	pIC50=7.26
CC(C)(C)c1ccc(CNC(=S)NCc2ccc(NS(=O)(=O)C)c(F)c2)cc1	CHEMBL388824	pIC50=7.27
CCCCCN(C)c1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL260356	pIC50=7.27
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cc(F)cc34)cccc12	CHEMBL3677370	pIC50=7.27
CN1C(=O)CCc2c(NC(=O)N[C@H]3CC[C@H](C3)c4cccc(F)c4)cccc12	CHEMBL3646639	pIC50=7.27
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4c(F)c(F)ccc34)cc12	CHEMBL3682386	pIC50=7.27
CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CC(CF)(CF)Oc3cc(ccc23)C(F)(F)F)cc1F	CHEMBL3698464	pIC50=7.27
CC(C(=O)NCc1ccc(nc1OCc2ccc(C)cc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385225	pIC50=7.28
CC(C(=O)NCc1ccc(nc1OCc2ccccc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385223	pIC50=7.28
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4c(F)c(F)ccc34)cccc12	CHEMBL3677379	pIC50=7.28
