C[C@H]1C[C@H](C[C@@H](N)[C@H]1[S+](C)[O-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687446	pIC50=7.53
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634770	pKi=9.24
Fc1cccc(F)c1c2ccc3[nH]cc(NC(=O)c4cnn5ccc(NCC6CCNCC6)nc45)c3n2	CHEMBL2387473	pKi=9.28
C1CN(CCN1)c2cccc(n2)c3n[nH]c4cnc(cc34)c5cccnc5	CHEMBL3634781	pKi=9.3
C[C@H]1Nc2nc3c(cccc3nc2C)c4cc5C(=O)NC[C@H](C\C=C/1)c5[nH]4	CHEMBL3809691	pIC50=9.3
Cc1nc2cccc3c4cc5C(=O)NC[C@H](C\C=C\CNc1nc23)c5[nH]4	CHEMBL3809463	pIC50=9.3
FC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CCNCC1	CHEMBL3664634	pIC50=9.3
CCn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634761	pKi=9.33
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3691930	pIC50=9.33
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CC[C@@H](N)C5	CHEMBL3634757	pKi=9.37
C[C@@H]1CC[C@H]2CNC(=O)c3cc([nH]c23)c4cccc5nc(C)c(NC1)nc45	CHEMBL3809377	pIC50=9.4
C[C@H]1CCC[C@H]2CNC(=O)c3cc([nH]c23)c4cccc5nc(C)c(N1)nc45	CHEMBL3809127	pIC50=9.4
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCC#N)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3691950	pIC50=9.4
Nc1ccc(c(F)c1)c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393716	pIC50=9.4
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CCCC(N)CC4	CHEMBL3652626	pKi=9.5
C[C@@H]1Nc2nc3c(cccc3nc2C)c4cc5C(=O)NC[C@H](C\C=C\1)c5[nH]4	CHEMBL3809986	pIC50=9.52
C[C@H]1CC[C@H]2CNC(=O)c3cc([nH]c23)c4cccc5nc(C)c(NC1)nc45	CHEMBL3809565	pIC50=9.52
Cc1cncc(c1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634782	pKi=9.52
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCC[C@H](N)C5	CHEMBL3634758	pKi=9.59
C(C1CC1)n2cc(cn2)c3cc4c(n[nH]c4cn3)c5cccc(n5)N6CCNCC6	CHEMBL3634772	pKi=9.6
C[C@@H]1CCC[C@H]2CNC(=O)c3cc([nH]c23)c4cccc5nc(C)c(N1)nc45	CHEMBL3810095	pIC50=9.7
C\C\1=C\C[C@H]2CNC(=O)c3cc([nH]c23)c4cccc5nc(C)c(NC1)nc45	CHEMBL3809940	pIC50=9.7
Cc1nc2cccc3c4cc5C(=O)NC[C@@H](CCCCNc1nc23)c5[nH]4	CHEMBL3808942	pIC50=9.7
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCCNCC5	CHEMBL3634767	pKi=9.77
Fc1cccc(F)c1c2cnc3[nH]cc(NC(=O)c4cnn5ccc(CCC6CCNCC6)nc45)c3c2	CHEMBL2387474	pKi=9.77
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CCC[C@@H](N)CC4	CHEMBL3652638	pKi=9.78
CCN1C=NC=C(C1=O)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634769	pKi=9.84
N#CCn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634771	pKi=9.9
Fc1ccccc1c2cnc3[nH]cc(NC(=O)c4cnn5ccc(NCC6CCNCC6)nc45)c3c2	CHEMBL2387463	pKi=10.03
Cc1ccc(nc1N2CCC[C@H](N)C2)c3n[nH]c4cnc(cc34)c5cnn(C)c5	CHEMBL3634760	pKi=10.06
C\C\1=C/C[C@H]2CNC(=O)c3cc([nH]c23)c4cccc5nc(C)c(NC1)nc45	CHEMBL3808662	pIC50=10.1
Fc1cccc(F)c1c2cnc3[nH]cc(NC(=O)c4cnn5ccc(NCC6CCNCC6)nc45)c3c2	CHEMBL2387471	pKi=10.12
Cc1nc2cccc3c4cc5C(=O)NC[C@H](C\C=C/CNc1nc23)c5[nH]4	CHEMBL3810121	pIC50=10.15
C[C@H]1Nc2nc3c(cccc3nc2C)c4cc5C(=O)NC[C@H](C\C=C\1)c5[nH]4	CHEMBL3808887	pIC50=10.3
Cc1nc2cccc3c4cc5C(=O)NC[C@H](CCCCNc1nc23)c5[nH]4	CHEMBL3808669	pIC50=10.3
Cc1cncc(n1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634783	pKi=10.31
F[C@H]1CNCC[C@@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncc(cc45)c6c(F)cccc6F)c3n2	CHEMBL2387465	pKi=10.43
F[C@H]1CNCC[C@@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncc(cc45)c6ccccc6F)c3n2	CHEMBL2387464	pKi=10.49
