CCOC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	icosapent ethyl
OC(=O)[C@@H]1CC[C@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4cc(F)c(F)cc4F)nn3)c(F)c2	CHEMBL3133015	pIC50=7.82
OC(=O)[C@@H]1CC[C@H](CC1)NC(=O)c2ncc(s2)c3ccc(NC(=O)Nc4ccccc4F)cc3	CHEMBL3235427	pIC50=7.83
CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccc(F)cc3F)cn2)C(=O)O	CHEMBL1834204	pIC50=7.85
CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccccc3F)cn2)C(=O)O	CHEMBL1834440	pIC50=7.85
COc1ccc2[nH]c(nc2n1)c3ccc(nc3)c4ccc(O[C@@H]5CC[C@H](CC5)C(=O)O)nc4	CHEMBL2408629	pIC50=7.85
CC(Sc1nnc(c2ccc(NC(=O)c3cc4ccccc4s3)cc2)n1C)C(=O)O	CHEMBL1939476	pIC50=7.89
CC1(C)Oc2ncnc(N)c2C=C1c3ccc4c(CC[C@@]45CC[C@H](CC(=O)O)CC5)c3	CHEMBL3235323	pIC50=7.89
O=C(Nc1ccc(nc1)N2CCOCC2)c3oc(Nc4cccc(OCc5ccccc5)c4)nn3	CHEMBL2036597	pIC50=7.89
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cc2)C(=O)Nc3nnc(Cc4cc(F)cc(F)c4)s3	CHEMBL3741095	pIC50=7.89
C[C@H](C(=O)O)c1ccc(c(Cl)c1)c2ccc(cc2)c3nc(C(=O)N)c(C)nc3C	CHEMBL3133092	pIC50=7.9
Cc1cc(C(=O)NCCCCCc2ccccc2)c3ccc(cc3n1)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3233889	pIC50=7.92
OC(=O)C12CC3CC(C1)C(Oc4ccc(cc4)C(=O)NCCNC(=O)c5ccc(cc5)c6ccccc6)C(C3)C2	CHEMBL3613340	pIC50=7.92
CC(C)C[C@H](OC(=O)C(C)(C)C)C(=O)NC1(CCCC1)C(=O)N[C@@H](CCc2ccccc2)c3onc(n3)C4CC4	CHEMBL3759363	pIC50=7.96
CCC(Sc1nnc(c2ccc(NC(=O)c3ccc(Cl)c(Cl)c3)cc2)n1C)C(=O)O	CHEMBL1939480	pIC50=7.96
COc1ccc2[nH]c(nc2n1)c3ccc(nc3)c4ccc(O[C@@H]5CC[C@@H](CC5)C(=O)O)nc4	CHEMBL2408628	pIC50=7.96
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4c(cccc4c3)C(=O)Nc5ccccc5	CHEMBL3233885	pIC50=7.96
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4cccc(F)c4)cc3	CHEMBL254658	pIC50=7.96
CC(C)[C@H](NC(=O)c1ncc(s1)c2ccc(Nc3nc4ccc(F)cc4s3)cc2)C(=O)O	CHEMBL2403617	pIC50=8.0
Nc1ncnc2OCCN(C(=O)c12)c3ccc(c(F)c3)c4ccccc4Cl	CHEMBL3222257	pIC50=8.0
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(Cl)cc4Cl	CHEMBL3222250	pIC50=8.0
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3	CHEMBL254445	pIC50=8.0
COc1ccc(NC(=O)Nc2ccc(cc2F)c3ccc(cc3)C(=O)[C@@H]4CCC[C@H]4C(=O)O)cc1	CHEMBL254870	pIC50=8.05
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc3	CHEMBL402721	pIC50=8.05
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4ccccc4C(F)(F)F)cc3	CHEMBL254444	pIC50=8.05
CCOc1cc(C)c(cc1OCC)C(=O)CCC(=O)Nc2nc(c(Cc3ccccc3)s2)c4ccccc4	CHEMBL1088784	pIC50=8.07
C[C@H](C(=O)O)c1ccc(c(Cl)c1)c2ccc(cc2F)c3nc(C(=O)N)c(C)nc3C	CHEMBL3133093	pIC50=8.1
Cc1nc(C)c(nc1C(=O)N)c2ccc(c(Cl)c2)c3ccc(CC(=O)O)cc3Cl	CHEMBL3133091	pIC50=8.1
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4cc(F)c(F)cc4F)nn3)cc2F	CHEMBL3133016	pIC50=8.1
OC(=O)[C@@H]1CC[C@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4cc(F)c(F)cc4F)nn3)cc2	CHEMBL3133012	pIC50=8.1
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccccc4F	CHEMBL3222262	pIC50=8.11
CC(C)C[C@H](OC(=O)C(C)(C)C)C(=O)NC1(CCCC1)C(=O)N[C@@H](CCc2ccccc2)C(=O)OC(C)(C)C	CHEMBL3758618	pIC50=8.16
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)[C@@H]4CC[C@@H](Cc5nnn[nH]5)CC4	CHEMBL3235319	pIC50=8.16
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)C4CCN(CC4)C(=O)c5cnon5	CHEMBL2414663	pIC50=8.16
OC(=O)C[C@@H]1CC[C@@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4ccc(F)c(F)c4)nn3)cn2	CHEMBL3133005	pIC50=8.16
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4ccc5OCOc5c4)cc3	CHEMBL402926	pIC50=8.16
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4ccccc4)c(F)c3	CHEMBL1766895	pIC50=8.16
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4cc(F)c(F)cc4F)nn3)cc2	CHEMBL3133011	pIC50=8.16
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(Oc4ccccc4)nc3	CHEMBL2036583	pIC50=8.17
O=C(Nc1ccc(nc1)N2CCOCC2)c3oc(Nc4cccc(Oc5ccccc5)c4)nn3	CHEMBL2036596	pIC50=8.18
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)c3ccc(CC(=O)O)cc3Cl	CHEMBL3133098	pIC50=8.2
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)c4ccc(CC(=O)O)cc4	CHEMBL3235315	pIC50=8.22
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3	CHEMBL404419	pIC50=8.22
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2cc(F)c(NC(=O)c3oc(Nc4cc(F)c(F)cc4F)nn3)cn2	CHEMBL3133008	pIC50=8.22
OC(=O)[C@@H]1CC[C@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C#N	CHEMBL2408622	pIC50=8.22
O=C(Nc1ccc(nc1)N2CCOCC2)c3oc(Nc4cccc(c4)c5ccccc5)nn3	CHEMBL2036734	pIC50=8.24
OC(=O)[C@@H]1CC[C@@H](CC1)OC2CCN(CC2)c3ccc(cn3)c4nc5cc(F)ccc5[nH]4	CHEMBL3342770	pIC50=8.24
OC(=O)[C@@H]1CC[C@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5ccccc5[nH]4	CHEMBL2408635	pIC50=8.28
Cc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL3222247	pIC50=8.3
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3	CHEMBL254865	pIC50=8.3
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4ccc(F)c(F)c4)nn3)cn2	CHEMBL3133013	pIC50=8.3
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4ccc(F)cc4)nn3)cc2	CHEMBL3133010	pIC50=8.3
OC(=O)[C@@]12CC3CC(C1)[C@H](Oc4ccc(cc4)C(=O)NCCNC(=O)c5ccc(cc5)c6ccccc6)C(C3)C2	CHEMBL3613349	pIC50=8.3
OC(=O)c1ccc(Oc2ccc(NC(=O)c3oc(Nc4ccc(F)c(F)c4)nn3)cn2)cc1	CHEMBL3133017	pIC50=8.3
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cc2	CHEMBL2036745	pIC50=8.36
CC1(C)Oc2nc(nc(N)c2N=C1c3ccc4c(CC[C@@]45CC[C@H](CC(=O)O)CC5)c3)C(F)(F)F	CHEMBL3235321	pIC50=8.4
Cn1c(OCC(C)(C)C(=O)O)nnc1c2ccc(NC(=O)c3ccc4ccccc4c3)cc2	CHEMBL1939618	pIC50=8.4
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4cc(F)c(F)cc4F)nn3)c(F)n2	CHEMBL3133007	pIC50=8.4
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4ccc(F)c(F)c4)nn3)cc2	CHEMBL3133084	pIC50=8.4
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cc2)C(=O)Nc3nnc(Nc4ccccc4)s3	CHEMBL3741505	pIC50=8.4
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5ccccc5[nH]4	CHEMBL2408634	pIC50=8.4
OC(=O)[C@@H]1CC[C@H](CC1)OC2CCN(CC2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C(F)(F)F	CHEMBL3342775	pIC50=8.41
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C#N	CHEMBL2408621	pIC50=8.5
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(NC(=O)c3oc(Nc4cc(F)c(F)cc4F)nn3)cc2	CHEMBL3133009	pIC50=8.52
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4cc(F)c(F)cc4F)nn3)c(F)c2	CHEMBL3133014	pIC50=8.52
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4ccc(F)c(F)c4)nn3)c(F)n2	CHEMBL3133006	pIC50=8.52
OC(=O)[C@@H]1CC[C@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C(F)(F)F	CHEMBL2408631	pIC50=8.52
OC(=O)[C@@H]1CC[C@H](CC1)OC2CCN(CC2)c3ccc(cn3)c4nc5cc(Cl)ccc5[nH]4	CHEMBL3342773	pIC50=8.54
OC(=O)[C@@H]1CC[C@@H](CC1)OC2CCN(CC2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C(F)(F)F	CHEMBL3342774	pIC50=8.6
OC(=O)[C@@H]1CC[C@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(F)ccc5[nH]4	CHEMBL2408471	pIC50=8.6
OC(=O)[C@@H]1CC[C@@H](CC1)OC2CCN(CC2)c3ccc(cn3)c4nc5cc(Cl)ccc5[nH]4	CHEMBL3342772	pIC50=8.66
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(Cl)ccc5[nH]4	CHEMBL2408632	pIC50=8.68
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(F)ccc5[nH]4	CHEMBL2408470	pIC50=8.7
OC(=O)[C@@H]1CC[C@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(Cl)ccc5[nH]4	CHEMBL2408633	pIC50=8.7
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C(F)(F)F	CHEMBL2408630	pIC50=8.77
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(F)c(F)cc5[nH]4	CHEMBL2408472	pIC50=8.85
OC(=O)[C@@H]1CC[C@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(F)c(F)cc5[nH]4	CHEMBL2408620	pIC50=8.89
