CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1	dabrafenib	pIC50=9.1549015	pIC50=9.1549015	pIC50=9.1549015	pIC50=7.96
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKi=7.66	pKi=7.66	pKi=7.66	pIC50=7.58
CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C1F	vemurafenib	pIC50=7.68	pIC50=7.68	pIC50=7.68	pIC50=7.64
CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=CC=N1	regorafenib	pIC50=7.55	pIC50=7.55	pIC50=7.55	pIC50=7.55
Cc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5cccc(c5)C#N	CHEMBL3352837	pIC50=7.53
Cc1ccc(cc1Nc2ncnc3cncnc23)C(=O)Nc4cc(CN5CCCC5)cc(c4)C(F)(F)F	CHEMBL3643296	pIC50=8.4
Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CC[C@H](F)C6)c3)cc(c2)C(F)(F)F	CHEMBL3641077	pIC50=8.4
Cn1nc(cc1NC(=O)c2cc(Cl)cc(Nc3ncnc4cnc(nc34)N5CCCC5)c2)C(C)(C)C	CHEMBL3697918	pIC50=8.4
Fc1ccc(NS(=O)(=O)C2CCC2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3798630	pIC50=8.4
NC(=O)c1cccc(Nc2nccc(n2)c3[nH]c(nc3c4cccc(NC(=O)Cc5ccc(Cl)cc5)c4)C6CC6)c1	CHEMBL254966	pIC50=8.4
OCC1COCCN1Cc2cc(cc(c2)C(F)(F)F)C(=O)N[C@@H]3CCc4ccc(Oc5ccnc6NC(=O)CCc56)cc4C3	CHEMBL3764275	pIC50=8.4
Oc1cccc(c1)c2c(nn3c(ccnc23)C4CC5CCC(C4)N5)c6ccncc6	CHEMBL583025	pIC50=8.4
CCn1cc(c2ccnc3[nH]ccc23)c(n1)c4cccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)c4	CHEMBL526268	pIC50=8.41
O\N=C\1/CCc2cc(ccc12)c3cn(nc3c4ccncc4)[C@H]5CCC[C@H]5O	CHEMBL498343	pIC50=8.41
F[C@H]1CNCC[C@H]1n2cc(c3ccc4c(Cc5c[nH]nc45)c3)c(n2)c6ccncc6	CHEMBL1780178	pIC50=8.42
Fc1ccc(c2c(nn3c(ccnc23)C4CC5CCC(C4)N5)c6ccncc6)c7cn[nH]c17	CHEMBL584527	pIC50=8.42
C1CNCC(C1)n2cc(c3ccc4c(Cc5c[nH]nc45)c3)c(n2)c6ccncc6	CHEMBL1780168	pIC50=8.43
Cc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5ccc(Cl)c(Br)c5	CHEMBL3354386	pIC50=8.44
O\N=C\1/CCc2cc(ccc12)c3cn(nc3c4ccncc4)C5CCCC5	CHEMBL503089	pIC50=8.46
C1CNCCC(C1)n2cc(c3ccc4c(Cc5c[nH]nc45)c3)c(n2)c6ccncc6	CHEMBL1780169	pIC50=8.5
Cc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5ccc(Cl)c(c5)C(F)(F)F	CHEMBL3354380	pIC50=8.5
F[C@H]1CCNC[C@H]1n2cc(c3ccc4c(Cc5c[nH]nc45)c3)c(n2)c6ccncc6	CHEMBL1780179	pIC50=8.5
COC(=O)N[C@@H](C)CNc1nccc(n1)c2nc([nH]c2c3cc(C)cc(NS(=O)(=O)C(C)C)c3)C(C)(C)C	CHEMBL3651621	pIC50=8.51
Cn1cc(c2ccc3\C(=N\O)\CCc3c2)c(n1)c4ccncn4	CHEMBL497701	pIC50=8.51
FC(F)(F)c1cccc(c1)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL3765596	pIC50=8.51
C1CC(CCN1)n2cc(c3ccc4c(Cc5c[nH]nc45)c3)c(n2)c6ccncc6	CHEMBL1780165	pIC50=8.52
CC(=O)Nc1cc(Oc2ccc3c(c2)nc(Nc4cccc(c4)C(C)(C)C)n3C)ccn1	CHEMBL3335371	pIC50=8.52
CC(=O)Nc1cc(Oc2ccc3c(c2)nc(Nc4cccc(c4)C(F)(F)F)n3C)ccn1	CHEMBL3335375	pIC50=8.52
CC(C)(C)c1cc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(NC5CCOC5)nc34)c2)[nH]n1	CHEMBL3697932	pIC50=8.52
CC(C)(C)c1nc(c2ccnc(N)n2)c([nH]1)c3cc(Cl)cc(NS(=O)(=O)C)c3F	CHEMBL3651660	pIC50=8.52
CC(C)(C)c1onc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(NC5CCOC5)nc34)c2)c1	CHEMBL3639967	pIC50=8.52
CC(C)CN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(ccn5)C(F)(F)F)c3n2	CHEMBL3641075	pIC50=8.52
CC(C)CNc1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(cc(c4)C(F)(F)F)N(C)CCN(C)C)c2n1	CHEMBL3697718	pIC50=8.52
CC(C)CNc1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(nn4C)C(C)(C)C)c2n1	CHEMBL3641114	pIC50=8.52
CC(C)N1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CC[C@H](F)C6)c3)cc(c2)C(F)(F)F	CHEMBL3641079	pIC50=8.52
CC(C)N1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4F)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3697936	pIC50=8.52
CCN(CC)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(OCCN(C)C)cc(c4)C(F)(F)F)c2n1	CHEMBL3694219	pIC50=8.52
CCN(CC)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4ccc(N(C)CCN(C)C)c(c4)C(F)(F)F)c2n1	CHEMBL3694201	pIC50=8.52
CCN1C2CCC1CC(C2)c3ccnc4c(c5ccc(F)c(O)c5)c(nn34)c6ccncc6	CHEMBL568855	pIC50=8.52
CCN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5c(N)nc(nc45)N6CCCOCC6)c3)cc(c2)C(F)(F)F	CHEMBL3694038	pIC50=8.52
CN(C)C1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4F)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3641028	pIC50=8.52
CN(C)CCC1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccnc(c5)C(C)(C)C)c3n2	CHEMBL3641210	pIC50=8.52
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4c(N)nc(nc34)N5CCCOCC5)c2)cc(c1)C(F)(F)F	CHEMBL3694027	pIC50=8.52
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC5)c2)cc(c1)C(F)(F)F	CHEMBL3694222	pIC50=8.52
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NCc5ccccc5)nc34)c2)cc1C(F)(F)F	CHEMBL3694189	pIC50=8.52
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NCc5ccncc5)nc34)c2)cc1C(F)(F)F	CHEMBL3694198	pIC50=8.52
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N(C)C)c2)cc1C(F)(F)F	CHEMBL3694199	pIC50=8.52
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC(F)(F)CC5)c2)cc1C(F)(F)F	CHEMBL3694186	pIC50=8.52
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCCC5)c2)cc1C(F)(F)F	CHEMBL3694190	pIC50=8.52
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCCCC5)c2)cc1C(F)(F)F	CHEMBL3694182	pIC50=8.52
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)cc1C(F)(F)F	CHEMBL3694192	pIC50=8.52
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(ccc3F)C(=O)Nc4cc(on4)C(C)(C)C)c2n1	CHEMBL3697861	pIC50=8.52
CN(C)CCOc1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCSCC5)c2)cc(c1)C(F)(F)F	CHEMBL3694204	pIC50=8.52
CN(C)S(=O)(=O)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCC5)c2)c1	CHEMBL3697820	pIC50=8.52
CN(C)c1ncc2ncnc(Nc3cc(NC(=O)c4cc(cc(c4)C(F)(F)F)N5CCN(C)CC5)ccc3C)c2n1	CHEMBL3641221	pIC50=8.52
CN(CC1CCOC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3697903	pIC50=8.52
CN(CCN1CCCC1)c2ncc3ncnc(Nc4cc(ccc4Cl)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3694134	pIC50=8.52
CN1CCC(CC1)N2CCN(CC2)c3nc(N)c4ncnc(Nc5cc(ccc5C)C(=O)Nc6ccc(cc6)C(F)(F)F)c4n3	CHEMBL3689906	pIC50=8.52
CN1CCC(CC1)N2CCN(CC2)c3nc(N)c4ncnc(Nc5cc(ccc5Cl)C(=O)Nc6cccc(c6)C(F)(F)F)c4n3	CHEMBL3689924	pIC50=8.52
CN1CCCC(CN2CCN(CC2)c3nc(N)c4ncnc(Nc5cc(ccc5C)C(=O)Nc6cc(n[nH]6)C(C)(C)C)c4n3)C1	CHEMBL3689939	pIC50=8.52
CN1CCCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(n[nH]5)C(C)(C)C)c3n2	CHEMBL3689913	pIC50=8.52
CN1CCCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(ccn5)C(F)(F)F)c3n2	CHEMBL3697828	pIC50=8.52
CN1CCCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc(C#N)c(c5)C(F)(F)F)c3n2	CHEMBL3697829	pIC50=8.52
CN1CCCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc(F)c(c5)C(F)(F)F)c3n2	CHEMBL3697762	pIC50=8.52
CN1CCCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cccc(c5)C(C)(C)C#N)c3n2	CHEMBL3697726	pIC50=8.52
CN1CCN(CC1)c2cc(cc(c2)C(C)(C)C#N)C(=O)Nc3ccc(C)c(Nc4ncnc5cnc(nc45)N6CCOCC6)c3	CHEMBL3643294	pIC50=8.52
CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(n[nH]5)C(C)(C)C)c3n2	CHEMBL3689917	pIC50=8.52
CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3689908	pIC50=8.52
CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc(Cl)c(c5)C(F)(F)F)c3n2	CHEMBL3694031	pIC50=8.52
COCCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4ccc(N(C)CCN(C)C)c(c4)C(F)(F)F)c2n1	CHEMBL3694181	pIC50=8.52
COCCN(C)c1ncc2ncnc(Nc3cc(ccc3OC)C(=O)Nc4ccc(OC)c(c4)C(F)(F)F)c2n1	CHEMBL3694080	pIC50=8.52
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3641132	pIC50=8.52
COC[C@@H]1CCCN1c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3697905	pIC50=8.52
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N(C)C5CCOC5)c2)cc1C(F)(F)F	CHEMBL3641163	pIC50=8.52
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N(C)CC5CCCO5)c2)cc1C(F)(F)F	CHEMBL3641158	pIC50=8.52
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(CC6CCCN(C)C6)CC5)c2)cc1C(F)(F)F	CHEMBL3641169	pIC50=8.52
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CC[C@H](F)C5)c2)cc1C(F)(F)F	CHEMBL3641038	pIC50=8.52
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5C[C@H]6C[C@@H]5CN6C)c2)cc1C(F)(F)F	CHEMBL3641058	pIC50=8.52
COc1ccc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(NCCN(C)C)nc34)c2)cc1C(F)(F)F	CHEMBL3694077	pIC50=8.52
COc1ccc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(nc34)N(C)CCN5CCCC5)c2)cc1C(F)(F)F	CHEMBL3694071	pIC50=8.52
COc1ccc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(NCCCN5CCOCC5)nc34)c2)cc1C(F)(F)F	CHEMBL3694099	pIC50=8.52
COc1ccc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCC(CC5)N(C)C)c2)cc1C(F)(F)F	CHEMBL3641033	pIC50=8.52
COc1ccc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCN(CC5)C(C)C)c2)cc1C(F)(F)F	CHEMBL3641030	pIC50=8.52
COc1ccc(cc1C(F)(F)F)C(=O)Nc2ccc(C)c(Nc3ncnc4cnc(nc34)N(C)C)c2	CHEMBL3641222	pIC50=8.52
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(CC6CCN(C)CC6)CC5)c2)C(C)(C)C	CHEMBL3641042	pIC50=8.52
COc1ccc(cc1Nc2ncnc3cnc(NCCN4CCOCC4)nc23)C(=O)Nc5ccc(OC)c(c5)C(F)(F)F	CHEMBL3694091	pIC50=8.52
COc1ccc(cc1Nc2ncnc3cnc(nc23)N(C)CCN4CCCC4)C(=O)Nc5ccc(OC)c(c5)C(F)(F)F	CHEMBL3694084	pIC50=8.52
COc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCCC4)C(=O)Nc5cc(on5)C(C)(C)C	CHEMBL3694150	pIC50=8.52
COc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCN(C)CC4)C(=O)Nc5ccc(OC)c(c5)C(F)(F)F	CHEMBL3694083	pIC50=8.52
COc1ncc2ncnc(Nc3cc(NC(=O)c4cc(cc(c4)C(F)(F)F)N5CCN(C)CC5)ccc3C)c2n1	CHEMBL3641242	pIC50=8.52
COc1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(n[nH]4)C(C)(C)C)c2n1	CHEMBL3641186	pIC50=8.52
C[C@@H]1CN(C[C@H](C)N1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CCOCC6)c3)cc(c2)C(F)(F)F	CHEMBL3641139	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3c(N)nc(nc23)N4CCCN(CC4)c5ccccn5)C(=O)Nc6cccc(c6)C(F)(F)F	CHEMBL3694024	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(NCc4ccccc4)nc23)C(=O)Nc5cc(CN6CCCC6)cc(c5)C(F)(F)F	CHEMBL3694167	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(NCc4ccccc4)nc23)C(=O)Nc5cc(ccn5)C(F)(F)F	CHEMBL3641137	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCC(CC4)N5CCCCC5)C(=O)Nc6cc(on6)C(C)(C)C	CHEMBL3641101	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCC(CN5CCCC5)CC4)C(=O)Nc6cc(n[nH]6)C(C)(C)C	CHEMBL3641204	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCC(CN5CCCC5)CC4)C(=O)Nc6ccnc(c6)C(C)(C)C	CHEMBL3641208	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCC4)C(=O)Nc5cccc(c5)C(C)(C)C#N	CHEMBL3697759	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCN5CCCC5C4)C(=O)Nc6cc(on6)C(C)(C)C	CHEMBL3641100	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCOCC4)C(=O)Nc5cc(OCCN6CCOCC6)cc(c5)C(F)(F)F	CHEMBL3641144	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCOCC4)C(=O)Nc5cc(cc(c5)C(F)(F)F)N6CCOCC6	CHEMBL3641140	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CC[C@H](F)C4)C(=O)Nc5cc(n[nH]5)C(C)(C)C	CHEMBL3641123	pIC50=8.52
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CC[C@H](F)C4)C(=O)Nc5ccc(F)c(c5)C(F)(F)F	CHEMBL3697831	pIC50=8.52
Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CCC(F)(F)C6)c3)cc(c2)C(F)(F)F	CHEMBL3641076	pIC50=8.52
Cn1c(Nc2ccc(cc2)C(F)(F)F)nc3ccc(Oc4ccnc(c4)c5cnc([nH]5)C(F)(F)F)cc13	CHEMBL1946171	pIC50=8.52
FC(F)(F)c1cc(ccc1Cl)C(=O)Nc2cccc(Nc3ncccc3c4ncnc5[nH]cnc45)c2	CHEMBL3354393	pIC50=8.52
Fc1ccc(NS(=O)(=O)c2cccnc2)c(F)c1C#Cc3cnc4[nH]nc(c5ccncc5)c4c3	CHEMBL3582396	pIC50=8.52
Cl.Cl.NCc1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL3764101	pIC50=8.54
Cl.FC(F)(F)c1cc(cc(c1)c2cn[nH]c2)C(=O)N[C@@H]3CCc4ccc(Oc5ccnc6NC(=O)CCc56)cc4C3	CHEMBL3765708	pIC50=8.54
Cn1cc(c2ccc3\C(=N\O)\CCc3c2)c(n1)c4ccnc(O)c4	CHEMBL497700	pIC50=8.54
FC(F)(F)c1cccc(NC(=O)c2ccc(Cl)c(Nc3ncccc3c4ncnc5[nH]cnc45)c2)c1	CHEMBL3354389	pIC50=8.56
COCCN1CCC(CC1)c2oc(c3ccncc3)c(c2)c4ccc5\C(=N\O)\CCc5c4	CHEMBL515796	pKd=8.57
Cc1ccc(NC(=O)c2ccc(Cl)c(c2)C(F)(F)F)cc1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3354394	pIC50=8.57
Cl.Cl.CN(C)Cc1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL3764357	pIC50=8.57
Cc1ccc(NC(=O)c2ccc(Cl)c(C)c2)cc1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3354837	pIC50=8.59
CCn1cc(c2ccnc3[nH]ccc23)c(n1)c4cccc(NC(=O)Nc5ccc(cc5)C(F)(F)F)c4	CHEMBL523411	pIC50=8.6
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3354835	pIC50=8.6
CN(C)CCOc1ccc(cc1)c2cc(c3ccncc3)c([nH]2)c4ccc5\C(=N\O)\CCc5c4	CHEMBL1964267	pKd=8.62
NCCn1cc(c2ccc3\C(=N\O)\CCc3c2)c(n1)c4ccncc4	CHEMBL496276	pIC50=8.62
O\N=C\1/CCc2cc(ccc12)c3cc(oc3c4ccncc4)C5CCNCC5	CHEMBL477149	pKd=8.62
C(N1C[C@@H]2C[C@H]1CN2)c3ccc(cc3)c4ccnc5c(c6cccc7[nH]ncc67)c(nn45)c8ccncc8	CHEMBL1276191	pIC50=8.64
Cl.Cl.CNCc1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL3764238	pIC50=8.66
Cl.Cl.OC1(CNC1)c2cc(cc(c2)C(F)(F)F)C(=O)N[C@@H]3CCc4ccc(Oc5ccnc6NC(=O)CCc56)cc4C3	CHEMBL3764870	pIC50=8.66
CCn1cc(c2ccnc3[nH]ccc23)c(n1)c4cccc(NC(=O)Nc5cccc(OC)c5)c4	CHEMBL456350	pIC50=8.68
Cl.Cl.CC(C)(N)c1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL3764895	pIC50=8.68
Cl.Cl.Cn1cnc(c1)c2cc(cc(c2)C(F)(F)F)C(=O)N[C@@H]3CCc4ccc(Oc5ccnc6NC(=O)CCc56)cc4C3	CHEMBL3763694	pIC50=8.68
Cl.Cn1cc(cn1)c2cc(cc(c2)C(F)(F)F)C(=O)N[C@@H]3CCc4ccc(Oc5ccnc6NC(=O)CCc56)cc4C3	CHEMBL3763646	pIC50=8.68
Cn1cc(c2ccc3\C(=N\O)\CCc3c2)c(n1)c4ccnc(N)c4	CHEMBL496479	pIC50=8.68
OC(=O)[C@H]1CCCN1C(=O)N2C3CCC2CC(C3)c4ccnc5c(c6cccc7[nH]ncc67)c(nn45)c8ccncc8	CHEMBL571748	pIC50=8.68
CC(C)(C)c1onc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(NCCN5CCOCC5)nc34)c2)c1	CHEMBL3694141	pIC50=8.7
CC(C)CNc1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(CN5CCCC5)cc(c4)C(F)(F)F)c2n1	CHEMBL3694174	pIC50=8.7
CC(C)CNc1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4ccc(N(C)CCN(C)C)c(c4)C(F)(F)F)c2n1	CHEMBL3694196	pIC50=8.7
CC(C)CNc1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cccc(c4)C(C)(C)C#N)c2n1	CHEMBL3641135	pIC50=8.7
CC(C)N1CCC(CC1)C(=O)Nc2cc(Oc3ccc4c(c3)nc(Nc5cc(ccc5F)C(F)(F)F)n4C)ccn2	CHEMBL3335385	pIC50=8.7
CC(C)N1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CCOCC6)c3)cc(c2)C(F)(F)F	CHEMBL3641084	pIC50=8.7
CC(C)N1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3641108	pIC50=8.7
CC1CN(CC(C)N1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5cccc(c5)C(F)(F)F)c3n2	CHEMBL3694019	pIC50=8.7
CCCS(=O)(=O)Nc1cccc(c1F)c2[nH]c(nc2c3ccnc(NCCC(=O)N)n3)C4CC4	CHEMBL3651702	pIC50=8.7
CCN(CC)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(CN5CCCC5)cc(c4)C(F)(F)F)c2n1	CHEMBL3694179	pIC50=8.7
CCN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5c(N)nc(nc45)N6CCOCC6)c3)cc(c2)C(F)(F)F	CHEMBL3694034	pIC50=8.7
CCN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N(C)CCOC)c3)cc(c2)C(F)(F)F	CHEMBL3641091	pIC50=8.7
CCN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CCOCC6)c3)cc(c2)C(F)(F)F	CHEMBL3641067	pIC50=8.7
CCN1CCN(CC1)c2cc(cc(c2)C(C)(C)C#N)C(=O)Nc3ccc(C)c(Nc4ncnc5cnc(nc45)N6CCOCC6)c3	CHEMBL3643293	pIC50=8.7
CCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3641107	pIC50=8.7
CCOC(=O)N1C2CCC1CC(C2)c3ccnc4c(c5cccc6[nH]ncc56)c(nn34)c7ccncc7	CHEMBL585334	pIC50=8.7
CN(C)C1CCN(C1)c2ncc3ncnc(Nc4cc(ccc4F)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3641026	pIC50=8.7
CN(C)C1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3641111	pIC50=8.7
CN(C)CCCN(C)c1ncc2ncnc(Nc3cc(NC(=O)c4cccc(c4)C(C)(C)C#N)ccc3C)c2n1	CHEMBL3641224	pIC50=8.7
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NCC(F)(F)F)nc34)c2)cc(c1)C(F)(F)F	CHEMBL3697724	pIC50=8.7
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NCc5ccccn5)nc34)c2)cc(c1)C(F)(F)F	CHEMBL3697719	pIC50=8.7
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N(C)C)c2)cc(c1)C(F)(F)F	CHEMBL3697721	pIC50=8.7
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC(F)CC5)c2)cc(c1)C(F)(F)F	CHEMBL3694226	pIC50=8.7
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NCc5cccnc5)nc34)c2)cc1C(F)(F)F	CHEMBL3694191	pIC50=8.7
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC5)c2)cc1C(F)(F)F	CHEMBL3694184	pIC50=8.7
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCC5)c2)cc1C(F)(F)F	CHEMBL3694193	pIC50=8.7
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCSCC5)c2)cc1C(F)(F)F	CHEMBL3694183	pIC50=8.7
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)c2n1	CHEMBL3697781	pIC50=8.7
