[H][C@@]1(CN(C)C)CCN2C=C(C3=CC=CC=C23)C2=C(C(=O)NC2=O)C2=CN(CCO1)C1=CC=CC=C21	ruboxistaurin	pKd=7.92	pKd=7.92	pKd=7.92
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5COC5	CHEMBL3691966	pIC50=7.53
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687479	pIC50=9.4
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393706	pIC50=9.4
O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccc(O)cc5)C(=O)N2)C1	CHEMBL583187	pKi=9.4
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3691930	pIC50=9.41
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCC#N)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3691950	pIC50=9.44
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CC[C@H](CN)C4	CHEMBL3652637	pKi=9.46
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1N4CCC[C@@H](N)C4	CHEMBL3652625	pKi=9.47
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687492	pIC50=9.5
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccccc4)C(=O)N1	CHEMBL583273	pKi=9.52
Cn1ncc(NC(=O)c2nc(cnc2N)c3ccccc3F)c1N4CCC[C@H](N)C4	CHEMBL3652630	pKi=9.52
F[C@@H]1CNCC[C@@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2	CHEMBL2387477	pKi=9.52
O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccccc5)C(=O)N2)C1	CHEMBL572781	pKi=9.52
Cn1ncc(NC(=O)c2nc(cnc2N)c3ccccc3F)c1N4CCC[C@@H](N)CC4	CHEMBL3652639	pKi=9.53
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(c4)N5CCC[C@@H](N)C5	CHEMBL3634759	pKi=9.54
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3691919	pIC50=9.59
F[C@H]1CNCC[C@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2	CHEMBL2387476	pKi=9.59
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1N4CCC[C@H](N)CC4	CHEMBL3652640	pKi=9.61
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCC#N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687474	pIC50=9.66
CN(C)CC1=Nc2c(sc3ccc(\C=C\C4CC4)cc23)C(=O)N1	CHEMBL576387	pKi=9.7
NCCNc1cccc(n1)c2n[nH]c3cnc(cc23)c4cccnc4	CHEMBL3634780	pKi=9.7
O=C(Nc1c[nH]c2ncccc12)c3cnn4ccc(NCCc5ccccc5)nc34	CHEMBL2387469	pKi=9.72
CN[C@H]1CCCN(CC1)c2c(NC(=O)c3nc(sc3N)c4c(F)cccc4F)cnn2C	CHEMBL3652645	pKi=9.75
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(O[C@@H]5CCCNC5)n4	CHEMBL3634755	pKi=9.8
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1N4CCCC(N)CC4	CHEMBL3652627	pKi=9.8
Fc1cccc(F)c1c2ccc3[nH]cc(NC(=O)c4cnn5ccc(NCC6CCNCC6)nc45)c3c2	CHEMBL2387472	pKi=9.85
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)C5CCNCC5	CHEMBL3634768	pKi=9.92
Fc1ccccc1c2n[nH]c3cnc(cc23)c4cnccc4O[C@@H]5CCCNC5	CHEMBL3634777	pKi=9.96
NC1CCN(CC1)c2cncc(n2)c3cc4c(n[nH]c4cn3)c5ccccc5F	CHEMBL3634779	pKi=10.0
Fc1cccc(F)c1c2ccc3[nH]cc(NC(=O)c4cnn5ccc(NCC6CCNCC6)nc45)c3n2	CHEMBL2387473	pKi=10.01
CCN1C=NC=C(C1=O)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634769	pKi=10.15
F[C@H]1CNCC[C@@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2	CHEMBL2387478	pKi=10.21
Fc1cccc(F)c1c2cnc3[nH]cc(NC(=O)c4cnn5ccc(OCC6CCNCC6)nc45)c3c2	CHEMBL2387475	pKi=10.21
O=C(Nc1c[nH]c2ncccc12)c3cnn4ccc(NCC5CCNCC5)nc34	CHEMBL2387470	pKi=10.28
CCn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634761	pKi=10.39
Cc1cncc(c1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634782	pKi=10.43
FC1(CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2)CCNCC1	CHEMBL2387462	pKi=10.44
Fc1cccc(F)c1c2cnc3[nH]cc(NC(=O)c4cnn5ccc(CCC6CCNCC6)nc45)c3c2	CHEMBL2387474	pKi=10.6
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CCCC(N)CC4	CHEMBL3652626	pKi=10.66
F[C@@H]1CNCC[C@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2	CHEMBL2387479	pKi=10.66
Fc1cccc(F)c1c2cnc3[nH]cc(NC(=O)c4cnn5ccc(NCC6CCNCC6)nc45)c3c2	CHEMBL2387471	pKi=10.66
Fc1ccccc1c2cnc3[nH]cc(NC(=O)c4cnn5ccc(NCC6CCNCC6)nc45)c3c2	CHEMBL2387463	pKi=10.66
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCC[C@@H](N)C5	CHEMBL3634756	pKi=10.68
F[C@H]1CNCC[C@@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncc(cc45)c6c(F)cccc6F)c3n2	CHEMBL2387465	pKi=10.72
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634770	pKi=10.77
C(C1CC1)n2cc(cn2)c3cc4c(n[nH]c4cn3)c5cccc(n5)N6CCNCC6	CHEMBL3634772	pKi=10.8
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCC[C@H](N)C5	CHEMBL3634758	pKi=10.82
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CC[C@@H](N)C5	CHEMBL3634757	pKi=10.82
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCCNCC5	CHEMBL3634767	pKi=10.89
N#CCn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634771	pKi=10.89
C1CN(CCN1)c2cccc(n2)c3n[nH]c4cnc(cc34)c5cccnc5	CHEMBL3634781	pKi=11.0
Cc1cncc(n1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634783	pKi=11.0
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CCC[C@@H](N)CC4	CHEMBL3652638	pKi=11.0
