O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2	fasudil	pKd=7.11	pKd=7.11	pKd=7.11
[H][C@]1(C)CNCCCN1S(=O)(=O)C1=CC=CC2=C1C(F)=CN=C2	ripasudil	pIC50=7.72124624	pIC50=7.72124624	pIC50=7.72124624
Nc1cc(CN2CCCC(C2)Nc3ccc4[nH]ncc4c3)ccc1Cl	CHEMBL3689429	pIC50=7.53
O=C(NCc1cccc(c1)C(=O)Nc2nc3CC[C@@H](Cc3s2)N4CCOCC4)c5csc(n5)c6cccnc6	CHEMBL3680778	pIC50=9.14
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(COC(=O)c4cccnc4)cc3	CHEMBL3793788	pKi=9.16
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc4ccccc4c3	CHEMBL3793497	pKi=9.16
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(O)cc3	CHEMBL3792663	pKi=9.22
O=C(Nc1cccc(c1)C#N)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6	CHEMBL3700934	pIC50=9.22
O=C(NCc1cccc(c1)C(=O)Nc2nc3CC[C@@H](Cc3s2)N4CCOCC4)c5cn6ccc(cc6n5)C#N	CHEMBL3680779	pIC50=9.28
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc3c(OCc4cnccc34)c2	CHEMBL3578250	pIC50=9.29
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5ocnc5)c3)sc2C1	CHEMBL3680756	pIC50=9.35
CS(=O)(=O)O.Oc1cccc(CNC(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3218297	pIC50=9.35
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)n5nnnc5C)c3)sc2C1	CHEMBL3680751	pIC50=9.37
O=C(NCc1cccc(c1)C(=O)Nc2nc3CC[C@@H](Cc3s2)N4CCOCC4)c5ccc(cc5)c6ocnc6	CHEMBL3680784	pIC50=9.37
O=C(NCc1cccc(c1)C(=O)Nc2nc3CC[C@@H](Cc3s2)N4CCOCC4)c5cccc(c5)c6cn[nH]c6	CHEMBL3680788	pIC50=9.39
COc1cccc(CN(CCN(C)C)C(=O)c2nc3ccc(cc3s2)c4cn[nH]c4)c1	CHEMBL1080279	pIC50=9.4
Cc1ccc(cc1)C(CN)C(=O)Nc2ccc3cnccc3c2	CHEMBL3792673	pKi=9.4
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(Cl)cc3	CHEMBL3794104	pKi=9.4
NC[C@@H](C(=O)Nc1ccc2cnccc2c1)c3ccccc3	CHEMBL3793004	pKi=9.4
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc5cc(O)ccc5c4)c3)sc2C1	CHEMBL3680701	pIC50=9.41
O=C(NCc1cccc(c1)C(=O)Nc2nc3CC[C@@H](Cc3s2)N4CCOCC4)c5ccc(cc5)n6ccnc6	CHEMBL3680789	pIC50=9.42
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5ocnc5)c3)sc2C1	CHEMBL3680766	pIC50=9.43
Cc1nc(sc1C(=O)NCc2cccc(c2)C(=O)Nc3nc4CC[C@@H](Cc4s3)N5CCOCC5)c6ccncc6	CHEMBL3680787	pIC50=9.43
Cc1nnnn1c2ccc(cc2)C(=O)NCc3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6	CHEMBL3680790	pIC50=9.46
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(CNC(=O)c5cc(n[nH]5)c6ccncc6)c4	CHEMBL3680786	pIC50=9.47
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4nnn(c4C)c5nonc5N)c3)sc2C1	CHEMBL3680775	pIC50=9.48
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)c5cn[nH]c5)c3)sc2C1	CHEMBL3680769	pIC50=9.5
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4csc(n4)c5cccnc5)c3)sc2C1	CHEMBL3680753	pIC50=9.5
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)Nc5cccc(c5)C#N)sc2C1	CHEMBL3700932	pIC50=9.52
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5ccncc5)c3)sc2C1	CHEMBL3680765	pIC50=9.57
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cn5ccc(cc5n4)C#N)c3)sc2C1	CHEMBL3680748	pIC50=9.57
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc5ccc(cc5n4C)C(=O)N)c3)cc2C1	CHEMBL3680740	pIC50=9.59
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)c5ccncc5)c3)sc2C1	CHEMBL3680728	pIC50=9.59
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4sc(nc4C)c5ccncc5)c3)sc2C1	CHEMBL3680804	pIC50=9.6
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5ccncc5)c3)cc2C1	CHEMBL3680735	pIC50=9.6
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)n5ccnc5)c3)sc2C1	CHEMBL3680771	pIC50=9.62
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pKd=9.62
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)c5ccncc5)c3)sc2C1	CHEMBL3680752	pIC50=9.66
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5cn[nH]c5)c3)sc2C1	CHEMBL3680768	pIC50=9.66
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4nnn(c4c5ccccc5)c6nonc6N)c3)sc2C1	CHEMBL3680773	pIC50=9.68
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)c5ocnc5)c3)sc2C1	CHEMBL3680698	pIC50=9.68
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cc(n[nH]4)c5ccncc5)c3)sc2C1	CHEMBL3680805	pIC50=9.7
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)c5ocnc5)c3)sc2C1	CHEMBL3680772	pIC50=9.7
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(CO)cc3	CHEMBL3792888	pKi=9.7
CCC1Oc2cnccc2c3ccc(cc13)C(=O)N[C@H](C)c4cccc(OC)c4	CHEMBL3578252	pIC50=9.75
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5ccncc5)c3)sc2C1	CHEMBL3680755	pIC50=9.75
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5cn[nH]c5)c3)cc2C1	CHEMBL3680738	pIC50=9.77
CN(C)C(=O)Nc1ccccc1c2nc(Nc3ccc4[nH]ncc4c3)c5ccccc5n2	CHEMBL3666738	pIC50=10.31
O=C(CN1CCCC1)Nc2ccccc2c3nc(Nc4ccc5[nH]ncc5c4)c6ccccc6n3	CHEMBL3666735	pIC50=10.44
CC(=O)Oc1ccccc1c2nc(Nc3ccc4[nH]ncc4c3)c5ccccc5n2	CHEMBL3666753	pIC50=10.64
CNCC(=O)Nc1ccccc1c2nc(Nc3ccc4[nH]ncc4c3)c5ccccc5n2	CHEMBL3666733	pIC50=10.77
