COC1=CC=C(CN([C@@H](C)C2=NC(=CN2)C2=CC=CC=C2)C(=O)[C@@H](N)CC2=C(C)C=C(C=C2C)C(N)=O)C=C1C(O)=O	eluxadoline	pKi=8.76955128	pKi=8.76955128	pKi=8.76955128	pEC50=9.0
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=7.01772881	pKi=7.01772881	pKi=7.01772881
[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N	dezocine	pEC50=7.42	pEC50=7.42	pEC50=7.42
CCOC(=O)C1(CCN(C)CC1)c2ccccc2	pethidine	pKi=6.04	pKi=6.04	pKi=6.04
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2C	levorphanol	pKi=9.68	pKi=9.68	pKi=9.68	pKi=9.68
COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C	tramadol	pKi=5.8	pKi=5.8	pKi=5.8
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2CC=C	levallorphan	pKi=9.32	pKi=9.32	pKi=9.32	pKi=8.77
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3O	hydromorphone	pKi=9.55	pKi=9.55	pKi=9.55	pKi=9.55
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3OC	hydrocodone	pKi=8.02	pKi=8.02	pKi=8.02	pKi=8.02
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])C=C[C@@H]2O)=CC=C3OC	codeine	pKi=6.14	pKi=6.14	pKi=6.14
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC	dihydrocodeine
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	methylnaltrexone	pKi=7.55	pKi=7.55	pKi=7.55
CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1	sufentanil	pEC50=8.13	pEC50=8.13	pEC50=8.13
CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC	remifentanil
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O	oxymorphone	pKi=9.4437	pKi=9.4437	pKi=9.4437
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3OC	oxycodone	pKi=7.7959	pKi=7.7959	pKi=7.7959
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC=C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3O	naloxone	pKi=8.81	pKi=8.81	pKi=8.81	pIC50=7.7
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CCC6)CC[C@@]14[C@@]5(O)CC[C@@H]2O)=CC=C3O	nalbuphine	pKi=8.8	pKi=8.8	pKi=8.8	pIC50=7.62
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O	morphine	pEC50=7.86	pEC50=7.86	pEC50=7.86	pKi=7.42
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	naltrexone	pKi=9.38	pKi=9.38	pKi=9.38	pIC50=7.81
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2	methadone	pKi=8.78	pKi=8.78	pKi=8.78	pIC50=8.39
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	loperamide	pKi=8.8239	pKi=8.8239	pKi=8.8239	pIC50=8.84
CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2	levomethadyl acetate
CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1	fentanyl	pEC50=9.0014	pEC50=9.0014	pEC50=9.0014
CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	diphenoxylate	pIC50=7.1674	pIC50=7.1674	pIC50=7.1674
[H][C@@](C)(CN(C)C)[C@](CC1=CC=CC=C1)(OC(=O)CC)C1=CC=CC=C1	dextropropoxyphene
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56	buprenorphine	pKi=8.29	pKi=8.29	pKi=8.29	pKi=8.82
CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1	anileridine
C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1	alvimopan	pKi=9.3979	pKi=9.3979	pKi=9.3979	pKi=9.33
CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O	alfentanil	pEC50=8.5	pEC50=8.5	pEC50=8.5
[H]C1(C=CCCC1(C(=O)OCC)C1=CC=CC=C1)N(C)C	tilidine	pEC50=5.1	pEC50=5.1	pEC50=5.1
CCC(=O)N(C(C)CN1CCCCC1)C1=CC=CC=N1	propiram
CCC1(CCCCN(C)C1)C1=CC(O)=CC=C1	meptazinol	pEC50=8.06	pEC50=8.06	pEC50=8.06
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1	butorphanol	pKi=9.92	pKi=9.92	pKi=9.92	pKi=9.66
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C	nalmefene	pKd=9.53	pKd=9.53	pKd=9.53	pKi=9.04
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@]([H])(C4)[C@]1(O)CC[C@@H]2OCCOCCOCCOCCOCCOCCOCCOC	naloxegol
OC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	difenoxin
[H][C@@]1(CCCC[C@H]1O)[C@@H](N(C)C)C1=CC(O)=CC=C1	ciramadol
CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1	acetylmethadol
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CC(C(=O)NC(C)(C)C1=NC(=NO1)C1=CC=CC=C1)=C2O	naldemedine
NCCc1ccc2[nH]c3C4Oc5c(O)ccc6CC7N(CC8CC8)CCC4(c56)[C@@]7(O)Cc3c2c1	CHEMBL72885	pKi=7.53
N\C(=N\Cc1ccc(Cl)cc1)\Nc2ccc3[nH]c4[C@@H]5Oc6c(O)ccc7C[C@H]8N(CC9CC9)CC[C@@]5(c67)[C@@]8(O)Cc4c3c2	CHEMBL610045	pKi=7.53
O=C1NCN(c2ccccc2)C13CCN(Cc4ccc5nsnc5c4)CC3	CHEMBL325750	pIC50=7.53
C(CCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2c1)COc6ccc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CCC%10)c7c6	CHEMBL348023	pKi=7.54
CCCCC(N1CCC(O)(CC1)c2ccccc2)c3ccccc3	CHEMBL390882	pKi=7.54
COc1ccc(CNC[C@H](O)CN2CN(c3ccccc3)C4(CCN(CCc5ccccc5c6cccs6)CC4)C2=O)cc1	CHEMBL3394743	pIC50=7.54
C[C@H]1CN(Cc2cccc(O)c2)CC[C@@]1(C)c3cccc(c3)C(=O)N	CHEMBL138465	pKi=7.54
C[C@H]1CN2C[C@H](Cc3ccccc3)NC[C@H]2C[C@@]1(C)c4cccc(O)c4	CHEMBL435746	pIC50=7.54
O[C@@H](CNCc1cccs1)CN2CN(c3ccccc3)C4(CCN(CCc5ccccc5c6cccs6)CC4)C2=O	CHEMBL3394747	pIC50=7.54
CC(C)CN([C@@H](Cc1ccccc1)C(=O)O)C(=O)CCN2CC[C@](C)([C@@H](C)C2)c3cccc(O)c3	CHEMBL258115	pKi=7.55
CCCNCCN1CN(c2ccccc2)C3(CCN(Cc4c(Cl)cccc4Cl)CC3)C1=O	CHEMBL514662	pKi=7.55
CN(C)C(=O)[C@@H]1Cc2ccccc2N1C(=O)CCN3CC4CCC(C3)C4c5ccccc5	CHEMBL2064161	pKi=7.55
CN1CC[C@@]23[C@H]4C=CC(=O)[C@@H]2Oc5c(O)ccc(C[C@@H]14)c35	CHEMBL255467	pEC50=7.55
CN1CC[C@]2(CCCCCc3ccccc3)[C@H](C1)Oc4ccc(O)cc24	CHEMBL2386823	pKi=7.55
COc1ccccc1C(N2CCC(O)(CC2)c3ccccc3)c4ccccc4	CHEMBL228857	pKi=7.55
CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(cc2)C(=O)N)C(=O)O	CHEMBL391580	pKi=7.55
C[C@H]1C2Cc3cc4ncnc(NCCc5ccc(cc5)c6ccccc6)c4cc3[C@@]1(C)CCN2CC7CC7	CHEMBL463518	pKi=7.55
Cc1ccccc1C(N2CCC(O)(CC2)c3ccccc3CN)c4ccccc4	CHEMBL233327	pKi=7.55
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7ccnnc7	CHEMBL2178340	pEC50=7.55
CC1(C)C2CCC(CN3CCC(CC3)N4C(=O)Cc5ccccc45)C1C2	CHEMBL100938	pKi=7.56
CN1[C@@H](CCNC(=O)c2cccs2)CN=C(c3ccccc3)c4cc(Cl)ccc14	CHEMBL2111837	pKi=7.56
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](C(=C)C(=O)N)c5ccc6ccccc6c5	CHEMBL2163919	pKi=7.56
CC(C)C[C@H](NC(=O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3ccccc3)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](N)Cc4ccc(O)cc4)[C@@H](C)O)C(=O)N	CHEMBL3597087	pKi=7.57
CCCC(Oc1cc(C)ccc1Cl)C(O)CN2CCC(CC2)n3c(O)nc4ccccc34	CHEMBL182410	pKi=7.57
CCCCCCCN1CC[C@@]2(C)[C@@H](C)C1Cc3ccc(O)cc23	CHEMBL114358	pKi=7.57
CN1CC[C@]23CC(=O)CC[C@@]2(O)[C@H]1Cc4ccc(C(=O)NCCc5nc6ccccc6[nH]5)c(O)c34	CHEMBL3667191	pKi=7.57
CN1CC[C@]23C[C@]4(CC[C@@]2(O)[C@H]1Cc5ccc(O)cc35)NC(=O)NC4=O	CHEMBL3672567	pKi=7.57
CNC(=O)CN1C(=O)OC2(CCN(CC2)C3CCCCCCCCC3)c4ccccc14	CHEMBL1080463	pKi=7.57
CNC(=O)NC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccc5	CHEMBL467314	pKi=7.57
COc1cc(CC(=O)N(C)[C@H](CN2CC[C@H](O)C2)c3ccccc3)c(cc1OC)S(=O)(=O)N4CCN(C)CC4	CHEMBL254754	pKi=7.57
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(CCSC)c4ccccc34)C(C)C)c1	CHEMBL393960	pKi=7.57
COc1cccc2c1O[C@H]3CCC[C@@H]4CN(C)CC[C@]234	CHEMBL585536	pKi=7.57
C[C@H]1C2Cc3ccc(cc3[C@@]1(C)CCN2CC4CC4)C(=O)NCc5ccccc5	CHEMBL213880	pKi=7.57
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@H]2c4nc(c[nH]4)c5ccccc5	CHEMBL208454	pEC50=7.57
Cl.Cl.CCOc1ccc(Cc2nc3cc(NC(=N)c4occc4)ccc3n2CCN(CC)CC)cc1	CHEMBL3215667	pKi=7.57
O=C1N[C@@H]2CCCC[C@H]2N1C3CCN(CCC(c4ccccc4)c5ccccc5)CC3	CHEMBL27539	pKi=7.57
Oc1ccc2O[C@H]3CN(CCc4ccc(cc4)C(F)(F)F)CC[C@@]3(CCCc5ccccc5)c2c1	CHEMBL3409104	pKi=7.57
CCC(=N)NCCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL323987	pKi=7.58
CCOC(=O)C(CN1CC[C@](C)([C@@H](C)C1)c2cccc(O)c2)OC(=O)[C@H]3Cc4ccc(O)cc4CN3	CHEMBL3264441	pKi=7.58
CN1C(CCNC(=O)c2cccs2)CN=C(c3ccccc3)c4cc(Cl)ccc14	CHEMBL124015	pKi=7.58
Fc1ccc(CN2CCC[C@@H]2C\N=C(/S)\N3Cc4ccccc4C[C@H]3CNC(=O)Nc5ccccc5)cc1	CHEMBL41205	pKi=7.58
N\C(=N\Cc1ccc(cc1)[N+](=O)[O-])\Nc2ccc3[nH]c4[C@@H]5Oc6c(O)ccc7C[C@H]8N(CC9CC9)CC[C@@]5(c67)[C@@]8(O)Cc4c3c2	CHEMBL610032	pKi=7.58
CC(C)CNCCN1CN(c2ccccc2)C3(CCN(Cc4c(Cl)cccc4Cl)CC3)C1=O	CHEMBL475310	pKi=7.59
CC(C)C[C@H](NC(=O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](N)Cc3ccc(O)cc3)[C@@H](C)O)C(=O)N	CHEMBL3597085	pKi=7.59
CCn1c2CCCCc2c3C[C@@]4(O)C5Cc6ccc(O)c7O[C@@H](c13)[C@]4(CCN5C)c67	CHEMBL222704	pKi=7.59
CN(Cc1ccc(Cl)cc1)c2ccc3C[C@@H]4[C@@H]5CCCC[C@]5(CCN4CC6CCC6)c3c2	CHEMBL2048778	pKi=7.59
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@]7(CC[C@@]36C[C@@H]7COCC8CCCCC8)OC	CHEMBL3664523	pKi=7.59
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@]7(CC[C@@]36C[C@@H]7COCc8ccc(cc8)c9ccccc9)OC	CHEMBL3664533	pKi=7.59
C[C@H]1CN2C[C@@H](N(C)C[C@H]2C[C@@]1(C)c3cccc(O)c3)c4ccccc4	CHEMBL218520	pIC50=7.59
C[C@H]1[C@H]2CC[C@@H](CN2CC[C@@]1(C)c3cccc(O)c3)c4ccccc4	CHEMBL385280	pKi=7.59
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2CCCc3ccccc23	CHEMBL3104104	pKi=7.59
Cc1ccc(nc1)[C@]2(C[C@H]3CC[C@@H](C2)N3C(c4ccccc4Cl)c5ccccc5Cl)C(=O)N	CHEMBL3084532	pKi=7.59
Cl.Oc1cccc(c1)[C@]23CCC[C@H](C2)N(C\C=C/c4ccccc4)CC3	CHEMBL1672179	pKi=7.59
NC(=O)c1ccc(Oc2ccc(CN3CCC[C@H]3c4cccnc4)cc2)c(Cl)c1	CHEMBL1921842	pKi=7.59
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](C(=C)C(=O)N)c5cccc6ccccc56	CHEMBL2163918	pKi=7.59
O=C1NCN(c2ccccc2)C13CCN(CC3)C4Cc5ccccc5C4	CHEMBL28172	pKi=7.59
CC(C)C1CCC(CC1)N2CCC(CC2)N3c4ccccc4CN(CC#N)S3(=O)=O	CHEMBL185415	pKi=7.6
CCCCC\N=C(/N)\Cc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL110894	pKi=7.6
CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c7CCCCc7n(C)c46)c35	CHEMBL374228	pKi=7.6
COc1cc(CC(=O)N(C)[C@H](CN2CC[C@H](O)C2)c3ccccc3)c(cc1OC)S(=O)(=O)N(C)C	CHEMBL254960	pKi=7.6
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(CC4=NNC(=O)N4)c5ccccc35)C(C)C)c1	CHEMBL259291	pKi=7.6
C[C@H]1CN2C[C@@H](Cc3ccccc3)NC[C@H]2C[C@@]1(C)c4cccc(O)c4	CHEMBL218980	pKi=7.6
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@H]2CNC(=O)C(C)(C)C	CHEMBL307889	pIC50=7.6
Fc1ccc(cc1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6cccc4c56	CHEMBL306150	pKi=7.6
CN1[C@H](CCNC(=O)c2ccsc2)CN=C(c3ccccc3F)c4ccccc14	CHEMBL2448130	pKi=7.61
NC(=O)CN1C[C@H]2[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC5CC5)CC1=O	CHEMBL3695667	pKi=7.61
NC(=O)c1ccc(Oc2ccc3CN(CCCC(F)(F)F)CCCc3c2)nc1	CHEMBL439038	pKi=7.61
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]5(Cc6[nH]c7ccccc7c6C[C@@]35O)c2c1	CHEMBL3785854	pKi=7.61
CC(C)C(CCN1CCC(CC1)n2c(O)nc3ccccc23)Oc4ccccc4C(F)(F)F	CHEMBL183135	pKi=7.62
CCCNc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CCCF)cc2s1	CHEMBL1766044	pKi=7.62
CN1CC[C@]23[C@H]4Oc5cc(O)cc(C[C@@H]1[C@]2(O)CC[C@@H]4NC(=O)COCC(=O)NCCOc6cccc(NC(=O)N[C@@H]7N=C(c8ccccc8)c9ccccc9N(C)C7=O)c6)c35	CHEMBL442943	pKi=7.62
CO[C@]12CC[C@@]3(C[C@@H]1COCc4ccsc4)[C@H]5Cc6ccc(O)c7O[C@@H]2[C@]3(CC[N+]5(C)CC8CC8)c67	CHEMBL3678975	pKi=7.62
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)[C@@]6(CC[C@@]35C[C@@H]6COCc7cccc(C)c7)OC	CHEMBL3664515	pKi=7.62
COc1cccc2c1O[C@H]3CCC[C@H]4CN(CCc5ccccc5)CC[C@]234	CHEMBL571862	pKi=7.62
Ic1ccc(NC(=O)Nc2ccc3C[C@@H]4[C@@H]5CCCC[C@]5(CCN4CC6CCC6)c3c2)cc1	CHEMBL572216	pKi=7.62
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]2CCCCNC(=O)CNC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC2=O	CHEMBL3764556	pIC50=7.62
O=C(NC[C@@H]1Cc2ccccc2CN1C(=S)NC[C@H]3CCCN3Cc4ccsc4)Nc5ccccc5	CHEMBL40528	pKi=7.62
OC1(CCN(CC1)C(Cc2ccccc2)c3ccccc3)c4ccccc4	CHEMBL397945	pKi=7.62
Oc1cc2c(C[C@@H]3[C@@H]4CCCC[C@]24CCN3CC5CCC5)cc1CNCCCCCCCCNCc6cc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CCC%10)c7cc6O	CHEMBL569448	pKi=7.62
CC1CC(=O)N(C2CCN(CC2)C3CCCCCCC3)c4ccccc14	CHEMBL2387200	pKi=7.63
COc1c(nc(Cl)c2ccccc12)C(=O)N[C@H]3CC[C@@]4(O)[C@H]5Cc6ccc(O)c7O[C@@H]3[C@]4(CCN5CC8CC8)c67	CHEMBL2419121	pIC50=7.63
Oc1ccc2CC3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8ccc(cc8c7C[C@@]36O)C(=O)NCCc9ccccc9	CHEMBL108083	pKi=7.63
CC(C)(C)NC(=O)NC[C@@H]1Cc2ccccc2CN1\C(=N\C[C@H]3CCCN3Cc4ccccc4)\S	CHEMBL40825	pKi=7.64
CCC(=O)N(CCCN=C(N)N)C1CCN(CCc2ccccc2)CC1	CHEMBL147949	pKi=7.64
CCC(=O)NCCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL110816	pKi=7.64
CCc1ccccc1OC(CCN2CCC(CC2)n3c(O)nc4ccccc34)C(C)C	CHEMBL181830	pKi=7.64
CN1CC[C@]2(C[C@@H]1C[C@@H](C2)c3ccccc3)c4cccc(O)c4	CHEMBL2418731	pKi=7.64
CN1CC[C@]23[C@@H]4CCC[C@H]2[C@H]1Cc5cccc(O4)c35	CHEMBL261048	pKi=7.64
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(CSC)c4ccccc34)C(C)C)c1	CHEMBL240074	pKi=7.64
COc1ccc(CN2CCC[C@@H]2C\N=C(/S)\N3Cc4ccccc4C[C@H]3CNC(=O)Nc5ccccc5)cc1	CHEMBL41649	pKi=7.64
C[C@H]1CN(CCC(=O)N(Cc2ccccc2)[C@@H](Cc3ccccc3)C(=O)O)CC[C@@]1(C)c4cccc(O)c4	CHEMBL255555	pKi=7.64
Cc1cc(C)cc(c1)[C@@H]2CCCN2Cc3ccc(Oc4ccc(cc4F)C(=O)N)cc3	CHEMBL1921847	pKi=7.64
Ic1ccc(NC(=O)Nc2ccc3C[C@@H]4[C@@H]5CCCC[C@]5(CCN4CC6CC6)c3c2)cc1	CHEMBL569725	pKi=7.64
O=C(NC[C@@H]1Cc2ccccc2CN1C(=S)NC[C@H]3CCCN3Cc4cocc4)Nc5ccccc5	CHEMBL40581	pKi=7.64
Oc1ccc(CN2C=C3[C@H]4Cc5ccc(O)cc5[C@@]3(CCN4CC6CC6)CC2=O)cc1	CHEMBL3695669	pKi=7.64
Oc1ccc2O[C@H]3CN(CC=C)CC[C@@]3(CCc4ccccc4)c2c1	CHEMBL2386902	pKi=7.64
CC(=N)NCCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL91683	pKi=7.65
CC(C)[C@@H]1CC[C@H](CC1)N2CCC(CC2)N3C(=O)Cc4ccccc34	CHEMBL99738	pKi=7.65
CCCN\C(=N/CC1CC1)\Nc2ccc3[nH]c4[C@@H]5Oc6c(O)ccc7C[C@H]8N(CC9CC9)CC[C@@]5(c67)[C@@]8(O)Cc4c3c2	CHEMBL610799	pKi=7.65
CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3Cc4ccc5OCOc5c4)c6ccccc6	CHEMBL67192	pKi=7.65
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)[C@@]6(CC[C@@]35C[C@@H]6COCc7ccc8ccccc8c7)OC	CHEMBL3664535	pKi=7.65
CCCCC(N1CCC2(CC1)N(CNC2=O)c3ccccc3)c4ccccc4	CHEMBL391082	pKi=7.66
CCCCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4ccccc4)c5ccccc5	CHEMBL68358	pKi=7.66
CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4ccccc4)c5ccc(O)cc5	CHEMBL303381	pKi=7.66
CC[C@]12CCN(CC3CC3)C([C@@H]1C)C(=O)c4ccc(Nc5ccccc5)cc24	CHEMBL352965	pEC50=7.66
CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N3CCCC3)C(=O)Cc4cccc5occc45	CHEMBL318859	pKi=7.66
CN1CC2(OCCO2)[C@@]3(CCC[C@H]1C3)c4cccc(O)c4	CHEMBL1951705	pKi=7.66
CN1CC[C@@]2(C[C@H](O)C[C@@H]1C2)c3cccc(O)c3	CHEMBL2418736	pKi=7.66
CN1CC[C@]23Cc4[nH]c5ccccc5c4C[C@H]2[C@H]1Cc6ccc(O)cc36	CHEMBL226114	pKi=7.66
CNC(=O)Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2c1	CHEMBL243195	pKi=7.66
C[C@H]1CN(CCC(=O)N(CC2CC2)[C@@H](Cc3ccccc3)C(=O)O)CC[C@@]1(C)c4cccc(O)c4	CHEMBL258294	pKi=7.66
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@@H]2C(=O)NCC(=O)N4CCc5ccccc5C4	CHEMBL3758563	pEC50=7.66
Cl.Cl.CN(C)[C@@]1(CC[C@H](CC1)NCCCc2ccccc2)c3ccccc3	CHEMBL3325879	pKi=7.66
OC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccc5	CHEMBL466847	pKi=7.66
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]5(CC(=O)\C(=C\c6ccccc6)\C[C@@]35O)c2c1	CHEMBL3786970	pKi=7.66
Oc1ccc2O[C@H]3CN(CCc4ccc(F)cc4)CC[C@@]3(CCc5ccccc5)c2c1	CHEMBL2386898	pKi=7.66
O=C1Cc2ccccc2N1C3CCN(CC3)C4CCCc5ccccc45	CHEMBL101118	pKi=7.67
OC(=O)CN1C[C@H]2[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC5CC5)CC1=O	CHEMBL3695671	pKi=7.67
Oc1ccc(CN2CCC[C@@H]2C\N=C(/S)\N3Cc4ccccc4C[C@H]3CNC(=O)Nc5ccccc5)cc1O	CHEMBL287989	pKi=7.67
CC(=O)N[C@H](Cc1c[nH]c2ccc(Cl)cc12)C(=O)N[C@@H](Cc3ccccc3)C(=O)NCC(=O)N	CHEMBL3319085	pKi=7.68
CC(C)C(CCN1CCC(CC1)n2c(O)nc3ccccc23)Oc4ccccc4C	CHEMBL369786	pKi=7.68
CC(C)C[C@H](NC(=O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)C(C)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccccc2)N(C)C(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N	CHEMBL3597077	pKi=7.68
CC1CN(CC(C)N1)c2nc3ccccc3n2C4CCN(CC4)C5(C)CCCCCCC5	CHEMBL519925	pKi=7.68
