CCNC(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1	amperozide	pIC50=6.34	pIC50=6.34	pIC50=6.34
CCCCCCCC\C=C/CCCCCCCC(=O)CBr	CHEMBL157736	pIC50=6.0
O[C@@H](CNc1cc(ncn1)c2ccc(OCC(F)(F)F)c(F)c2)c3ccccc3	CHEMBL3121115	pIC50=8.2
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)C3Cc4ccc(cc4C3)c5ccccc5	CHEMBL1765863	pKi=8.21
Clc1cccc(N2CCN(CCCNC(=O)Oc3cccc4ccccc34)CC2)c1Cl	CHEMBL3799902	pIC50=8.21
CCCCCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL597728	pIC50=8.22
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)C=[N+]=[N-]	CHEMBL371633	pIC50=8.22
CCCCOc1ccc(CNC(=O)Oc2cccnc2)cc1	CHEMBL596877	pIC50=8.22
CCN1C(=O)N([C@H]2CCCN(C2)c3nccc(n3)c4oc5ccccc5c4)c6ncccc16	CHEMBL1761285	pIC50=8.22
Cl.Oc1ccc(OC(=O)NCCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccc14	CHEMBL3797771	pIC50=8.22
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccccc4)c2)cc1	CHEMBL2164596	pIC50=8.22
NC(=O)c1cccc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL223406	pKi=8.22
O=C(CCCC1CCN(CC1)S(=O)(=O)CCc2ccccc2)c3occn3	CHEMBL257894	pIC50=8.22
O=C(N1CCN(CC1)c2ccccc2)n3cncn3	CHEMBL3356960	pIC50=8.22
O=C([C@H]1CCc2cc(OCc3ccccc3)ccc2C1)c4occn4	CHEMBL1765834	pKi=8.22
O=Cc1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL220727	pKi=8.22
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@H]3Cc4ccc(OCc5ccccc5)cc4C3	CHEMBL1765871	pKi=8.24
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cccc5nsnc45)c2)cc1	CHEMBL2207340	pIC50=8.24
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3cscn3	CHEMBL1812712	pKi=8.24
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3cccnn3	CHEMBL367307	pKi=8.25
COC(=O)c1oc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220615	pKi=8.26
C[C@@H](OC(=O)CCCc1ccccc1)[C@@H]2CN(C(=O)NCC=C)C2=O	CHEMBL2313949	pIC50=8.26
O=C(CCCCCCc1ccccc1)c2nnn(n2)c3ccccn3	CHEMBL467368	pKi=8.26
CCCCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1	CHEMBL598572	pIC50=8.27
COC(=O)c1oc(nc1)C(=O)[C@H]2CCc3cc(Oc4ccccc4)ccc3C2	CHEMBL1765829	pKi=8.27
C[C@@H](OC(=O)CCCc1ccccc1)[C@@H]2CN(C(=O)CCC=C)C2=O	CHEMBL2151432	pIC50=8.27
Cc1nc(c2ccccc2)c(c3ccccc3)n1CCCCCCNC(=O)Oc4ccccc4	CHEMBL233593	pIC50=8.28
Cl.Cc1ccccc1N2CCN(CCCNC(=O)Oc3cccc4ccccc34)CC2	CHEMBL3798943	pIC50=8.28
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4nocc4Cl)c2)cc1	CHEMBL2207365	pIC50=8.28
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3cnccn3	CHEMBL177858	pKi=8.28
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3ncccn3	CHEMBL368284	pKi=8.28
O[C@@H](CNc1cc(ncn1)c2ccc(c(Cl)c2)C(F)(F)F)c3ccccc3	CHEMBL3121119	pIC50=8.28
Clc1cccc(N2CCN(CCCCNC(=O)Oc3cccc4[nH]ccc34)CC2)c1Cl	CHEMBL3800421	pIC50=8.29
CC(C)Oc1cccc(CN2CCC(CCCC(=O)c3occn3)CC2)c1	CHEMBL430036	pIC50=8.3
CC(C)c1ccc(cc1)c2cc(NC[C@H](O)c3ccccc3)ncn2	CHEMBL3121136	pIC50=8.3
CCCCCCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL599357	pIC50=8.3
Cc1[nH]c2ncccc2c1C3CCCN(C3)c4nccc(n4)c5cc6ccccc6s5	CHEMBL1761307	pIC50=8.3
Clc1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL220613	pKi=8.3
Fc1ccccc1NC(=O)N2CCC3(CC2)OCc4cc(Br)ccc4O3	CHEMBL1761279	pIC50=8.3
NC(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3nn(cc3Sc4ccc(Cl)cc4)C5CC5	CHEMBL2386555	pIC50=8.3
O=C(CCc1ccc(COc2ccccc2)cc1)c3oc(cn3)c4ccccn4	CHEMBL226938	pKi=8.3
OC(=O)c1cccc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL441556	pKi=8.3
CCCCCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL597216	pIC50=8.31
O=C(Nc1noc2ccccc12)N3CCN(CC3)c4nc(ns4)c5ccccc5	CHEMBL459152	pIC50=8.32
CCCCOc1ccc(CNC(=O)Oc2ccc(F)cc2)cc1	CHEMBL607558	pIC50=8.34
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3cocn3	CHEMBL181957	pKi=8.34
Cl.Fc1ccc(OC(=O)NCCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccc14	CHEMBL3799311	pIC50=8.35
O=C([C@H]1CCc2cc(Oc3ccccc3)ccc2C1)c4oc(cn4)c5ccccn5	CHEMBL1765831	pKi=8.36
Clc1ccc(Oc2cccc(CC3CCN(CC3)C(=O)Nc4cccnc4)c2)cc1	CHEMBL3809332	pIC50=8.37
CC(CCCCCn1c(C)nc(c2ccccc2)c1c3ccccc3)NC(=O)Oc4ccccc4F	CHEMBL232783	pIC50=8.38
Ic1oc(nc1)C(=O)[C@H]2CCc3cc(OCc4ccccc4)ccc3C2	CHEMBL1765859	pKi=8.39
CC(C)OC(=O)N1CCC(CCCC(=O)c2occn2)CC1	CHEMBL255544	pIC50=8.4
CCCCCCCCCCCCCCCCCCS(=O)(=O)F	CHEMBL191481	pIC50=8.4
CCCCCCCC\C=C/CCCCCCCC(=O)c1oc(nn1)c2ccccn2	CHEMBL178563	pIC50=8.4
FC(F)(F)C(=O)c1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL220378	pKi=8.4
O=C(CCCC1CCN(CC1)C(=O)OCc2ccccc2)c3occn3	CHEMBL255760	pIC50=8.4
O=C(CCCCCc1ccccc1)c2oc(nn2)c3ccccn3	CHEMBL424976	pIC50=8.4
OC(C1CCN(CC1)C(=O)Oc2ccc(cc2)[N+](=O)[O-])(c3ccc4OCOc4c3)c5ccc6OCOc6c5	CHEMBL576786	pIC50=8.4
CCCCCCCC\C=C/CCCCCCC(=O)c1oc2cnccc2n1	CHEMBL512377	pKi=8.43
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cnc5cccnn45)c2)cc1	CHEMBL2203328	pIC50=8.43
O=C(Nc1noc2ccccc12)N3CCN(CC3)c4nc(cs4)c5ccccc5	CHEMBL2326181	pIC50=8.43
CC(C)c1ccc(CN2CCC(CCCC(=O)c3occn3)CC2)cc1	CHEMBL273152	pIC50=8.44
CC(C)c1cccc(CN2CCC(CCCC(=O)c3occn3)CC2)c1	CHEMBL428874	pIC50=8.44
C[C@@H](OC(=O)CCCc1ccccc1)[C@@H]2CN(C(=O)OCC=C)C2=O	CHEMBL2313948	pIC50=8.44
CCCCCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL598244	pIC50=8.46
COC(=O)c1ccc(nc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL374708	pKi=8.46
FC(F)(F)c1ccnc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220556	pKi=8.46
Cl.OC(=O)c1ccc(OC(=O)NCCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccc14	CHEMBL3798504	pIC50=8.47
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cnc5[nH]ccc5c4)c2)cc1	CHEMBL2207344	pIC50=8.47
O=C([C@H]1CCc2cc(ccc2C1)c3ccccc3)c4oc(cn4)C#N	CHEMBL1765824	pKi=8.47
Cc1cccc(n1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220783	pKi=8.48
Cl.NC(=O)c1ccc(OC(=O)NCCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccc14	CHEMBL3798211	pIC50=8.48
Cn1cnc(c1Sc2ccc(Cl)cn2)c3ccc(cc3)[C@H]4C[C@@H]4C(=O)N	CHEMBL2386561	pIC50=8.48
Fc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cnccc4Cl)c2)cc1	CHEMBL3809071	pIC50=8.48
CC(=O)c1ccc(cc1F)c2cc(NC[C@H](O)c3ccccc3)ncn2	CHEMBL3121116	pIC50=8.5
CN(C)C(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3ncn(CCF)c3Sc4ccc(Cl)cn4	CHEMBL2386563	pIC50=8.5
Cc1onc(NC(=O)N2CCN(CC2)c3nc(ns3)c4cccc(F)c4)c1C	CHEMBL2326195	pIC50=8.5
Cn1ncc2c(cccc12)c3ccc4oc(nc4c3)N5Cc6ccccc6C5	CHEMBL3217946	pIC50=8.5
O=C([C@H]1CCc2cc(OCc3ccccc3)ccc2C1)c4oc(cn4)C#N	CHEMBL1765836	pKi=8.5
O=C([C@H]1CCc2cc(OCc3ccccc3)ccc2C1)c4oc(cn4)c5ccccn5	CHEMBL1765837	pKi=8.5
[O-][N+](=O)c1ccnc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL374235	pKi=8.5
CCCCCCCCCCCCP(=O)(F)OC	CHEMBL113263	pIC50=8.52
CCCCCCCCCCCCS(=O)(=O)F	CHEMBL97038	pIC50=8.52
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCP(=O)(F)OC	CHEMBL113262	pIC50=8.52
CCN1C(=O)N([C@H]2CCCN(C2)c3nccc(n3)c4ccc(Cl)s4)c5ncccc15	CHEMBL1761301	pEC50=8.52
CCOc1ccc(cc1C(F)(F)F)c2cc(NC[C@H](O)c3ccccc3)ncn2	CHEMBL3121113	pIC50=8.52
CN(CCF)C(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3ncn(C)c3Sc4ccc(Cl)cn4	CHEMBL2386565	pIC50=8.52
Cc1c(C2CCCN(C2)c3nccc(n3)c4cc5ccccc5s4)c6cccnc6n1CCO	CHEMBL1761456	pIC50=8.52
Cc1ccccc1N2CCN(CC2)C(=O)n3nnc4ccccc34	CHEMBL2159783	pIC50=8.52
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccnc5nccn45)c2)cc1	CHEMBL2207358	pIC50=8.52
Ic1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL220555	pKi=8.52
NS(=O)(=O)c1ccc(s1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220312	pKi=8.52
O=C(CCC1CCCCC1)N2CCC(CCCC(=O)c3occn3)CC2	CHEMBL256009	pIC50=8.52
O=C(CCCCCCc1ccccc1)c2nnc(s2)c3ccccn3	CHEMBL477372	pKi=8.52
O=C(Nc1cccnn1)N2CC(C2)Oc3ccc(cn3)c4cccc(OCCOCc5ccccc5)c4	CHEMBL3677693	pIC50=8.52
COC(=O)c1oc(nc1)C(=O)[C@H]2CCc3cc(OCc4ccccc4)ccc3C2	CHEMBL1765835	pKi=8.54
O=C(CCc1ccc(cc1)c2ccccc2)c3oc(cn3)c4ccccn4	CHEMBL227046	pKi=8.54
O=C(Nc1cccnn1)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL2326190	pIC50=8.54
Cc1ccc(nc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220377	pKi=8.55
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cccc5nccn45)c2)cc1	CHEMBL2207356	pIC50=8.57
O=C(N1CCN(Cc2cccc(Oc3ccccc3)c2)CC1)n4cncn4	CHEMBL3356971	pIC50=8.57
C(Cc1ccccc1)N2CCc3c(C2)ccnc3Nc4cnc5ccccc5c4	CHEMBL3220531	pIC50=8.59
Fc1ccnc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220679	pIC50=8.6
O=C(CCCC1CCN(CC1)S(=O)(=O)c2ccccc2)c3occn3	CHEMBL255146	pIC50=8.6
Brc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cccnc4)c2)cc1	CHEMBL3808688	pIC50=8.62
CCCCCCCCCCCCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL596617	pIC50=8.62
CCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL597295	pIC50=8.62
CCCCCCCC\C=C/CCCCCCC(=O)c1oc2cccnc2n1	CHEMBL457924	pKi=8.64
CCCCCCCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL598048	pIC50=8.64
CCCCCCCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL605005	pIC50=8.64
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3ccncn3	CHEMBL177922	pKi=8.64
CCCCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL597215	pIC50=8.66
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@H]3CCc4cc(Oc5ccccc5)ccc4C3	CHEMBL1765832	pKi=8.66
Fc1ccc(c(F)c1)c2ccnc(c2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113268	pIC50=8.66
O=C([C@H]1CCc2cc(Oc3ccccc3)ccc2C1)c4occn4	CHEMBL1765828	pKi=8.66
CCCCCCC(=O)c1oc2cccnc2n1	CHEMBL1812709	pKi=8.68
CCCCCCCCCCCCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL608147	pIC50=8.68
CCCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL597014	pIC50=8.68
Cc1onc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4F)c1C	CHEMBL2326193	pIC50=8.68
O=C([C@H]1Cc2ccc(Oc3ccccc3)cc2C1)c4oc(cn4)c5ccccn5	CHEMBL1765866	pKi=8.68
CC(=O)c1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL219660	pKi=8.7
CC(C)(C)OC(=O)N1CCC(CCCC(=O)c2occn2)CC1	CHEMBL270189	pIC50=8.7
CCCCCCCCC#CCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL175580	pIC50=8.7
CCCCCCCC\C=C/CCCCCCC(=O)C(F)(F)F	CHEMBL1812587	pKi=8.7
CCN1C(=O)N([C@H]2CCCN(C2)c3nccc(n3)c4cc5ccccc5s4)c6ncccc16	CHEMBL1761303	pIC50=8.7
CN(C)C(=O)c1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL219659	pKi=8.7
Cc1c(C2CCCN(C2)c3nccc(n3)c4cc5ccccc5s4)c6cccnc6n1CC#N	CHEMBL1761455	pIC50=8.7
Cc1c([C@@H]2CCCN(C2)c3nccc(n3)c4cc5ccccc5s4)c6cccnc6n1CCO	CHEMBL1761457	pIC50=8.7
Cc1nc(c2ccccc2)c(c3ccccc3)n1CCCCCCNC(=O)Oc4ccccc4F	CHEMBL232782	pIC50=8.7
FC(F)(F)CN1C(=O)N([C@H]2CCCN(C2)c3nccc(n3)c4ccc(Cl)s4)c5ncccc15	CHEMBL1761302	pEC50=8.7
FC(F)(F)c1cccc(c1)N2CCN(CC2)C(=O)n3nnc4ccc(nc34)c5ccc(Cl)cc5	CHEMBL1812719	pIC50=8.7
O=C(C1CCN(Cc2cc3ccccc3s2)CC1)c4occn4	CHEMBL449764	pIC50=8.7
O=C(N1CCC(Cc2ccccc2)CC1)n3nnc4ccccc34	CHEMBL2159800	pIC50=8.7
O=C(Nc1cccc2nsnc12)N3CCN(CC3)c4nc(ns4)c5ccccc5	CHEMBL527204	pIC50=8.7
CCCCCCCCCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL1812706	pKi=8.72
O=C([C@H]1Cc2ccc(cc2C1)c3ccccc3)c4oc(cn4)c5ccccn5	CHEMBL1765862	pKi=8.72
CCCCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1	CHEMBL592772	pIC50=8.75
CCCCCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL598047	pIC50=8.75
CCCCCCCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL1812707	pKi=8.77
COc1ccnc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220629	pIC50=8.77
Cc1onc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4)c1C	CHEMBL2326189	pIC50=8.77
COC(=O)c1oc(nn1)C(=O)[C@@H]2CCc3cc(Oc4ccccc4)ccc3C2	CHEMBL1765990	pKi=8.8
O=C(Oc1ccccc1)N2CCN(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3799633	pIC50=8.81
CCOc1ccc(cc1Cl)c2cc(NC[C@H](O)c3ccccc3)ncn2	CHEMBL1812715	pIC50=8.82
COC(=O)c1oc(nn1)C(=O)[C@H]2CCc3cc(Oc4ccccc4)ccc3C2	CHEMBL1765983	pKi=8.82
Cn1cnc(c2ccc(cc2)[C@H]3C[C@@H]3C(=O)NCCF)c1Sc4ccc(Cl)cn4	CHEMBL2386564	pIC50=8.82
Fc1ccc(c(F)c1)c2cc(ncn2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113269	pIC50=8.82
CCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1	CHEMBL592771	pIC50=8.85
CCCCCCCC\C=C/CCCCCCC(=O)C(=O)OCC	CHEMBL1812586	pKi=8.85
Cl.Clc1cccc(N2CCN(CCCCNC(=O)Oc3cccc4sccc34)CC2)c1Cl	CHEMBL3799465	pIC50=8.85
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cccnc4)c2)cc1	CHEMBL2164602	pIC50=8.85
O=C([C@@H]1CCc2cc(Oc3ccccc3)ccc2C1)c4ocnn4	CHEMBL1765989	pKi=8.85
O=C([C@H]1Cc2ccc(OCc3ccccc3)cc2C1)c4oc(cn4)c5ccccn5	CHEMBL1765870	pKi=8.85
CCSc1ccc(cc1)c2cc(NC[C@H](O)c3ccccc3)ncn2	CHEMBL3121143	pIC50=8.89
CCn1ccc2cc(ccc12)c3ccc4oc(nc4c3)N5Cc6ccccc6C5	CHEMBL1812716	pIC50=8.89
COC(=O)c1ccnc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220379	pKi=8.89
Cc1onc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccc(F)cc4)c1C	CHEMBL2326197	pIC50=8.89
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cnccc4Cl)c2)cc1	CHEMBL3809841	pIC50=8.89
O=C([C@H]1CCc2cc(Oc3ccccc3)ccc2C1)c4oc(cn4)C#N	CHEMBL1765830	pKi=8.89
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)CCc3ccc(cc3)c4ccccc4	CHEMBL270487	pKi=8.92
Cc1onc(NC(=O)N2CCN(CC2)c3nc(cs3)c4cccc(F)c4)c1C	CHEMBL2326196	pIC50=8.92
Clc1cccc(CCCCCCC(=O)c2oc(cn2)c3ccccn3)c1Cl	CHEMBL226883	pKi=8.92
Cn1ncc2cc(ccc12)c3ccc4oc(nc4c3)N5Cc6ccccc6C5	CHEMBL3217945	pIC50=8.92
NC(=O)c1ccc(nc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL219943	pKi=8.92
O=C(CCCCCCc1ccccc1)c2oc(nn2)c3ccccn3	CHEMBL178398	pKi=8.92
CN(CCF)C(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3ncn(C)c3Sc4ccc(Cl)cc4	CHEMBL2386570	pIC50=8.96
CNC(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3ncn(C)c3Sc4ccc(Cl)cn4	CHEMBL2386562	pIC50=8.96
Fc1ccc(c(F)c1)c2ccnc(n2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113270	pIC50=8.96
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3cc(ccn3)C#N	CHEMBL219633	pKi=8.96
CCCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1	CHEMBL597923	pIC50=9.0
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)c1oc2cccnc2n1	CHEMBL371831	pKi=9.0
CN(C)C(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3ncn(C)c3Sc4ccc(Cl)cn4	CHEMBL2386558	pIC50=9.0
COc1ccc(cc1)N2CCN(CC2)C(=O)n3nnc4ccc(nc34)N5CCCC5	CHEMBL1812721	pIC50=9.0
Cc1ccnc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL219658	pIC50=9.0
Cl.Clc1cccc(N2CCN(CCCCNC(=O)Oc3cccc4[nH]cnc34)CC2)c1Cl	CHEMBL3798331	pIC50=9.0
Clc1ccc(Oc2cccc(CC3CCN(CC3)C(=O)Nc4cccnc4)c2)nc1	CHEMBL3809683	pIC50=9.0
Cn1cnc(c2ccc(cc2)[C@H]3C[C@@H]3C(=O)NCCF)c1Sc4ccc(Cl)cc4	CHEMBL2386569	pIC50=9.0
FC(F)(F)c1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cccnc4)c2)cc1	CHEMBL3809293	pIC50=9.0
FC(F)(F)c1oc(nc1)C(=O)CCc2ccc(Oc3ccccc3)cc2	CHEMBL271792	pKi=9.0
NC(=O)c1cccc(n1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220614	pKi=9.0
O=C(CCCCCc1ccccc1)c2oc3cccnc3n2	CHEMBL175854	pIC50=9.0
O=C([C@H]1CCc2cc(Oc3ccccc3)ccc2C1)c4oc(nn4)c5ccccn5	CHEMBL1765984	pKi=9.0
Cc1onc(NC(=O)N2CCN(CC2)c3nc(cs3)c4ccccc4)c1C	CHEMBL2326192	pIC50=9.04
O=C(CCCCCCc1ccccc1)c2onc(n2)c3ccccn3	CHEMBL469198	pKi=9.04
Clc1cccc(CCCCCCC(=O)c2oc(cn2)c3ccccn3)c1	CHEMBL388599	pKi=9.05
Cc1onc(NC(=O)N2CCN(CC2)c3nc(cs3)c4ccc(F)cc4)c1C	CHEMBL2326177	pIC50=9.07
O=C(CCc1ccc(Oc2ccccc2)cc1)c3oc(cn3)C#N	CHEMBL272038	pKi=9.07
CCCCCCCCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL598556	pIC50=9.1
Cn1cnc(c1Sc2ccc(Cl)cc2)c3ccc(cc3)[C@H]4C[C@@H]4C(=O)N	CHEMBL2386567	pIC50=9.1
O=C(CCCCCCCCc1ccccc1)c2oc(nn2)c3ccccn3	CHEMBL361529	pIC50=9.1
[3H]C([3H])([3H])n1cnc(c1Sc2ccc(Cl)cn2)c3ccc(cc3)[C@H]4C[C@@H]4C(=O)N(C)C	CHEMBL2386571	pKd=9.1
CCCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL1812708	pKi=9.13
Fc1ccc(cc1F)c2ccnc(n2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113273	pIC50=9.14
CCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL257305	pKi=9.16
Cc1onc(NC(=O)N2CCN(CC2)c3nc(cs3)c4ccccc4F)c1C	CHEMBL2326194	pIC50=9.17
FC(F)(F)c1oc(nc1)C(=O)CCc2ccc(COc3ccccc3)cc2	CHEMBL405604	pKi=9.17
CCCCCCCCCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL598557	pIC50=9.19
Clc1cccc(N2CCN(CCCCNC(=O)Oc3ccccc3)CC2)c1Cl	CHEMBL3799603	pIC50=9.2
NC(=O)c1cccc(c1)c2cccc(OC(=O)NCc3ccc4ccccc4c3)c2	CHEMBL483697	pIC50=9.2
Cc1cccc(OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)c1	CHEMBL3798594	pIC50=9.22
O=C(CCCCCCCc1ccccc1)c2oc(nn2)c3ccccn3	CHEMBL182206	pIC50=9.22
O=C(CCc1ccc(OCc2ccccc2)cc1)c3oc4cccnc4n3	CHEMBL410598	pKi=9.22
O=C(CCCCCCCCc1ccccc1)c2oc3cccnc3n2	CHEMBL182199	pKi=9.28
O=C(CCc1ccc(COc2ccccc2)cc1)c3oc(cn3)C#N	CHEMBL258820	pKi=9.29
CNC(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3ncn(C)c3Sc4ccc(Cl)cc4	CHEMBL2386568	pIC50=9.3
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4noc5cnccc45)c2)cc1	CHEMBL2207348	pIC50=9.3
O=C([C@H]1CCc2cc(Oc3ccccc3)ccc2C1)c4ocnn4	CHEMBL1765982	pKi=9.3
[11CH3]n1cc(Sc2ccc(Cl)cc2)c(n1)c3ccc4ccc(nc4c3)C(=O)N	CHEMBL2386554	pIC50=9.3
CCCCCCCCCCCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL586217	pIC50=9.35
O=C(CCc1ccc(OCc2ccccc2)cc1)c3oc(cn3)c4ccccn4	CHEMBL427424	pKi=9.35
CCCCCCCCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL597229	pIC50=9.37
Cc1onc(NC(=O)N2CCN(CC2)c3nc(cs3)c4ccc(F)cc4F)c1C	CHEMBL2326178	pIC50=9.37
Clc1cccc(OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)c1	CHEMBL3797377	pIC50=9.39
CCCCCCCCCCCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL596659	pIC50=9.4
O=C(CCCC1CCN(Cc2cccc(Oc3ccccc3)c2)CC1)c4occn4	CHEMBL486157	pIC50=9.4
O=C(CCCCCCCc1ccccc1)c2oc3cccnc3n2	CHEMBL179760	pKi=9.41
FC(F)(F)c1ccc(OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)cc1	CHEMBL3797226	pIC50=9.44
CCCCCCCCCCCCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL597940	pIC50=9.46
CCCCCCCCCCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL597431	pIC50=9.46
CCCCCCCCCCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL598558	pIC50=9.46
CN(C)C(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3ncn(C)c3Sc4ccc(Cl)cc4	CHEMBL2386566	pIC50=9.52
O=C(CCCCc1ccccc1)c2oc3cccnc3n2	CHEMBL464186	pKi=9.52
CCCCCCCCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL597647	pIC50=9.57
