CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	ceritinib	pIC50=9.69896984	pIC50=9.69896984	pIC50=9.69896984	pIC50=7.54
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6	alectinib	pIC50=8.72124672	pIC50=8.72124672	pIC50=8.72124672	pIC50=7.72
[H][C@](C)(OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl	crizotinib	pKi=9.13	pKi=9.13	pKi=9.13	pIC50=7.55
CCN1CCC(CC1)c2cc(OC(C)C)c(Nc3ncc(C)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)cc2C	CHEMBL2403827	pIC50=7.53
COc1cc(N2CCC(CC2)N3CCN(C)CC3)c(C)cc1Nc4ncc(Cl)c(Nc5ccccc5P(=O)(C)C)n4	CHEMBL3823836	pIC50=9.07
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)C4CN(C4)C(=O)CCCN(C)C)c3)ncc2Cl	CHEMBL3357452	pIC50=9.1
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3C(=O)C)n2)P(=O)(C)C	CHEMBL3824326	pIC50=9.1
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3C(=O)N)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3824246	pIC50=9.1
CCc1nc(C(=O)N)c(Nc2ccc(N3CCN(C)CC3)c(c2)C(F)(F)F)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687197	pIC50=9.11
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)c4cnn(c4)C5CCNCC5	CHEMBL3822645	pIC50=9.12
CCOc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3824318	pIC50=9.13
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3822672	pIC50=9.13
COc1nn(C)c2CN(C)C(=O)c3ccc(F)cc3[C@@H](C)Oc4nc(cnc4N)c12	CHEMBL3286826	pIC50=9.13
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCCN(C)CC4	CHEMBL3824130	pIC50=9.14
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4CCN(CC4)C(=O)\C=C\CN(C)C)c3)ncc2Cl	CHEMBL3357458	pIC50=9.16
CC(C)Oc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3823224	pIC50=9.17
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3C(=O)N)n2)P(=O)(C)C	CHEMBL3823268	pIC50=9.17
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(c2)C(F)(F)F)nc1N[C@@H]5CC[C@@H](O)CC5	CHEMBL3687200	pIC50=9.19
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N(C)C	CHEMBL3397300	pIC50=9.21
C[C@@H](Oc1cc(cnc1N)c2sc(nc2C)C3(O)CCOC3)c4cc(F)ccc4n5nccn5	CHEMBL3128067	pKi=9.22
C[C@H](O)CNc1cc(nc(n1)c2cccnc2)c3cn(CC#N)nc3c4cc(C)cc(O)c4	CHEMBL560733	pIC50=9.22
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCN(CC4)C(=O)C	CHEMBL3824007	pIC50=9.23
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3822475	pIC50=9.23
C[C@H]1Oc2nc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nc5ccc(cn35)C#N	CHEMBL3286832	pKi=9.25
CNC(=O)c1c(F)cccc1Nc2nc(Nc3cc4N(CCc4cc3OC)C(=O)CN(C)C)nc5[nH]ccc25	CHEMBL464552	pKd=9.26
COc1cc(OC2CCN(C)CC2)ccc1Nc3ncc(Cl)c(Nc4ccccc4P(=O)(C)C)n3	CHEMBL3823916	pIC50=9.27
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCCC5	CHEMBL3823031	pIC50=9.28
CC(C)Oc1cc(ccc1Nc2ncc3sc(C(=O)N)c(c4ccccc4OC(F)(F)F)c3n2)C5CCN(C)CC5	CHEMBL3669137	pIC50=9.3
COc1cc(ccc1Nc2nc(Nc3cccc(F)c3C(=O)N)c4cc[nH]c4n2)N5CCN(CC5)C(C)C	CHEMBL507625	pIC50=9.3
CCc1nc(C(=O)N)c(Nc2ccc(N3CCN(CC3)C(C)C)c(C)c2)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687210	pIC50=9.31
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCCN(C)CC5	CHEMBL3824290	pIC50=9.31
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCOCC5	CHEMBL3822557	pIC50=9.31
COc1cc(ccc1Nc2ncc(C)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3823577	pIC50=9.38
COc1cc2CCN(C(=O)CN(C)C)c2cc1Nc3nc(Nc4ccsc4C(=O)N)c5cc[nH]c5n3	CHEMBL514873	pIC50=9.4
C[C@@H](Oc1cc(cnc1N)c2sc(nc2C)C(C)(C)O)c3cc(F)ccc3n4nccn4	CHEMBL3128064	pKi=9.4
COc1cc(ccc1Nc2ncc(F)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3823296	pIC50=9.41
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)C4CCN(C)CC4	CHEMBL3823190	pIC50=9.42
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(OC)c2)nc1N[C@@H]5CC[C@@H](O)CC5	CHEMBL3687193	pIC50=9.43
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3545311	pIC50=9.43
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(O)CC4	CHEMBL3823017	pIC50=9.44
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(C3)N(C)C)c(c2)C(F)(F)F)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687209	pIC50=9.47
CCc1nc(C(=O)N)c(Nc2ccc(N3CCN(C)CC3)c(OC)c2)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687198	pIC50=9.48
COc1cc(OC2CCN(C)C2)ccc1Nc3ncc(Cl)c(Nc4ccccc4P(=O)(C)C)n3	CHEMBL3823603	pIC50=9.48
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CC[C@H](C4)N(C)C	CHEMBL3823107	pIC50=9.48
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C)n2)P(=O)(C)C	CHEMBL3823256	pIC50=9.48
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)P(=O)(C)C	CHEMBL3824304	pIC50=9.51
C[C@@H](Oc1cc(cnc1N)c2sc(nc2C)C3(O)CN(C)C3)c4cc(F)ccc4n5nccn5	CHEMBL3128066	pKi=9.52
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCN(CC4)C5CCN(C)CC5	CHEMBL3824327	pIC50=9.55
CCOc1cc(Nc2nc(N[C@@H]3CC[C@@H](O)CC3)c(CC)nc2C(=O)N)ccc1N4CCC(CC4)N5CCN(C)CC5	CHEMBL3687211	pIC50=9.59
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(C)c2)nc1N[C@@H]5CC[C@@H](O)CC5	CHEMBL3687202	pIC50=9.59
CCc1nc(C(=O)N)c(Nc2ccc(cc2)C3CCN(C)CC3)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687204	pIC50=9.59
CCc1nc(C(=O)N)c(Nc2ccc(N3CCN(C)CC3)c(C)c2)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687201	pIC50=9.62
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCOCC4	CHEMBL3823416	pIC50=9.62
CCc1nc(C(=O)N)c(Nc2ccc(OC)c(c2)N3CCN(C)CC3)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687203	pIC50=9.64
CCc1nc(C(=O)N)c(Nc2ccc(N3CCN(C)CC3)c(C)c2)nc1N[C@@H]4CC[C@](C)(O)CC4	CHEMBL3687206	pIC50=9.66
COc1cc(OCCCN2CCCC2)ccc1Nc3ncc(Cl)c(Nc4ccccc4P(=O)(C)C)n3	CHEMBL3823549	pIC50=9.66
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(C)c2)nc1N[C@@H]5CC[C@](C)(O)CC5	CHEMBL3687207	pIC50=9.68
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCN(C)CC4	CHEMBL3822611	pIC50=9.75
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCN(CCO)CC4	CHEMBL3823235	pIC50=9.75
CC(C)c1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(c2)C(F)(F)F)nc1N[C@@H]5CC[C@@H](O)CC5	CHEMBL3687205	pIC50=9.77
CCP(=O)(CC)c1ccccc1Nc2nc(Nc3ccc(cc3OC)N4CCC(CC4)N5CCN(C)CC5)ncc2Cl	CHEMBL3824308	pIC50=9.92
