O=C(N[C@@H]1CCN(C1)C#N)Nc2ccccc2	CHEMBL1672424	pIC50=6.0
CN1CCN(CC1)C(=O)c2cccc(c2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667295	pIC50=8.23
COCCn1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662559	pIC50=8.23
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCCN5CCCC5C4	CHEMBL3667321	pIC50=8.23
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc(cc4)S(=O)(=O)N5CCC(F)(F)CC5	CHEMBL3667296	pIC50=8.23
NC(=O)c1cc(F)c2NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc3c2c1	CHEMBL3667340	pIC50=8.23
N[C@@H](Cc1cccs1)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C#N	CHEMBL1081150	pIC50=8.24
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCN5CCOCC5C4	CHEMBL3662558	pIC50=8.25
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnc5cccnn45	CHEMBL3662687	pIC50=8.25
CN(C)CCN1C(=O)Cc2cc(ccc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667329	pIC50=8.26
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnc(s4)C5CC5	CHEMBL3662686	pIC50=8.26
CCOc1nc(cs1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662685	pIC50=8.28
CN1CCc2cc(ccc2C1=O)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662557	pIC50=8.28
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5C(=O)NCc5c4	CHEMBL3662556	pIC50=8.28
Cc1c(cnn1C)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662554	pIC50=8.29
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@H]3C[C@@H]2[C@@H]4C[C@H]34)C#N)c5ccc(C#N)s5	CHEMBL3662555	pIC50=8.29
N[C@@H](Cc1cccs1)C(=O)N[C@@H](CC2CCCCC2)C#N	CHEMBL1080602	pIC50=8.29
CN1C(=O)c2cc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)ccc2c5ccc(cc15)C#N	CHEMBL3667352	pIC50=8.3
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(c4)c5ccccc5	CHEMBL3662684	pIC50=8.3
NC1(CCOCC1)C(=O)N[C@@H](Cc2ccc(cc2)c3ccc(cc3)C#N)C#N	CHEMBL3261926	pIC50=8.3
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)C45CCC(CC4)CN5)C#N)c(F)c3	CHEMBL3702592	pIC50=8.31
CC(=O)NCCn1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662553	pIC50=8.32
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(c4)S(=O)(=O)c5ccccc5	CHEMBL3667293	pIC50=8.32
FC(F)(F)c1cc2NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc3c2cc1C#N	CHEMBL3667351	pIC50=8.33
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cccs4	CHEMBL3662551	pIC50=8.33
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4csc(c4)C(=O)NC5CCOCC5	CHEMBL3667285	pIC50=8.33
NS(=O)(=O)c1cccc(c1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662552	pIC50=8.33
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc(C#N)c(F)c4	CHEMBL3662550	pIC50=8.34
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc(s4)C(=O)N5CCn6nccc6C5	CHEMBL3667287	pIC50=8.34
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5COC(=O)c5c4	CHEMBL3662549	pIC50=8.34
FC(F)(F)c1ccc2c(NC(=O)c3cc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc23)c1	CHEMBL3667350	pIC50=8.35
FC(F)CN1C=C(C=CC1=O)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667391	pIC50=8.35
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCN(CC4)c5ccccc5	CHEMBL3662547	pIC50=8.35
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc(s4)C(F)(F)F	CHEMBL3662548	pIC50=8.35
CN1C(=O)Cc2ccc(cc12)c3cc(F)c(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3F	CHEMBL3662546	pIC50=8.37
COCCN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)C45CCC(CC4)CN5)C#N)c(F)c3	CHEMBL3702590	pIC50=8.37
NC(=O)c1cc(cs1)c2ccc(C[C@H](NC(=O)C34CCC(CC3)CN4)C#N)c(F)c2	CHEMBL3702595	pIC50=8.37
CCCn1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662545	pIC50=8.38
CN(C)C(=O)c1cc(cs1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662683	pIC50=8.38
CN1CC2CCC(C1)N2c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667377	pIC50=8.38
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCN5CCOC[C@H]5C4	CHEMBL3667300	pIC50=8.38
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5CC(=O)Nc5c4	CHEMBL3662544	pIC50=8.38
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(C[C@@H]5CCCO5)c4	CHEMBL3667311	pIC50=8.38
O=C(N[C@@H](Cc1ccc(s1)c2ccc3CC(=O)Nc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3657576	pKi=8.38
CN1Cc2cc(ccc2S1(=O)=O)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662682	pIC50=8.39
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(CC5CCCCO5)c4	CHEMBL3662543	pIC50=8.39
CC1(C)OC(=O)c2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)s3	CHEMBL3657584	pKi=8.4
CCn1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662541	pIC50=8.4
CSc1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@@H]3CCCCN3)C#N)cc2	CHEMBL3261920	pIC50=8.4
Cc1oc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662542	pIC50=8.4
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2C[C@@H]3CC[C@H]2C3)C#N)n4cc(nn4)c5ccc6[nH]ccc6c5	CHEMBL3662520	pIC50=8.4
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3OC(=O)Nc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658589	pIC50=8.4
Cc1ncc(s1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662540	pIC50=8.41
CS(=O)(=O)c1ccc(cc1OCC(F)F)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667302	pIC50=8.42
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cccc(c4)S(=O)(=O)C5CC5	CHEMBL3662667	pIC50=8.42
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4csc(c4)C(=O)N5CCN6CCOCC6C5	CHEMBL3667284	pIC50=8.42
Fc1ccc2c(NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc23)c1F	CHEMBL3667349	pIC50=8.42
N[C@@H](Cc1cccs1)C(=O)N[C@H](C#N)C(c2ccccc2)c3ccccc3	CHEMBL1080601	pIC50=8.42
CC(C)(C)n1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662538	pIC50=8.43
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3F	CHEMBL3662539	pIC50=8.43
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)C4=CC5COCCN5CC4	CHEMBL3667331	pIC50=8.43
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc(cc4)S(=O)(=O)N5CCOCC5	CHEMBL3667267	pIC50=8.43
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnc5CCCn45	CHEMBL3667271	pIC50=8.43
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn5cccnc45	CHEMBL3662681	pIC50=8.43
NC(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667294	pIC50=8.43
CN1C(=O)Cc2ccc(cc12)c3sc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3Br	CHEMBL3657580	pKi=8.44
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(C[C@H]5CCCO5)c4	CHEMBL3667310	pIC50=8.46
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CC5(CNC5)C4	CHEMBL3667376	pIC50=8.47
NC(=O)c1coc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667289	pIC50=8.47
NC(=O)c1oc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662680	pIC50=8.47
CC1(C)OC(=O)c2cc(ccc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662679	pIC50=8.48
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5CC(=O)Nc5c4	CHEMBL3662537	pIC50=8.48
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)C4=CCN5CCOCC5C4	CHEMBL3639661	pIC50=8.48
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)s3	CHEMBL3657562	pKi=8.5
COC(=O)c1ccc2NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc3c2c1	CHEMBL3667348	pIC50=8.5
COCCCN1C(=O)Oc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658478	pIC50=8.5
Clc1ccc2c(NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc23)c1	CHEMBL3667346	pIC50=8.5
NC1(CCCCC1)C(=O)N[C@@H](Cc2ccc(cc2)c3ccc(cc3)C#N)C#N	CHEMBL3261924	pIC50=8.5
O=C(NC(Cc1ccc2c(c1)C(=O)Nc3ccc(cc23)C#N)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3667347	pIC50=8.5
CC(=O)n1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662535	pIC50=8.51
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(CC5CCOC5)c4	CHEMBL3662536	pIC50=8.51
CN(C)CCCN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667327	pIC50=8.52
CN1C(=O)C(=O)c2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658588	pIC50=8.52
CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)s3	CHEMBL3657582	pKi=8.54
Fc1cc2c(NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc23)c(F)c1F	CHEMBL3667345	pIC50=8.54
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662534	pIC50=8.55
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccsc4	CHEMBL3662533	pIC50=8.57
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4csc(c4)C(=O)N5CCCC5	CHEMBL3662678	pIC50=8.57
COC(=O)c1cc(cs1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662532	pIC50=8.59
CS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662531	pIC50=8.59
CN1CCN(CC1)C(=O)c2oc(cc2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667338	pIC50=8.6
CCCNC(=O)c1cc(cs1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3639615	pIC50=8.64
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4oc(cc4)C(=O)N5CCOCC5	CHEMBL3667337	pIC50=8.64
CC(=O)N1CCN(CC1)C(=O)c2cc(cs2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667281	pIC50=8.66
CC1(C)OC(=O)c2ccc(cc12)c3ccc(C[C@H](NC(=O)C45CCC(CC4)CN5)C#N)c(F)c3	CHEMBL3702591	pIC50=8.66
CN1C(=O)Cc2ccc(cc12)c3cc(F)c(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)s3	CHEMBL3657581	pKi=8.66
CN1CCN(CC1=O)C(=O)c2cc(cs2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667283	pIC50=8.66
CS(=O)(=NC#N)c1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667272	pIC50=8.66
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4csc(c4)C(=O)N5CCN(CC(F)(F)F)CC5	CHEMBL3667282	pIC50=8.66
CN1C(=O)C(=O)c2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)s3	CHEMBL3657563	pKi=8.68
CS(=O)(=O)c1cc(ccc1F)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662666	pIC50=8.68
Cn1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662677	pIC50=8.68
Fc1ccc2NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)cc3c2c1	CHEMBL3667344	pIC50=8.68
CN1C(=O)Cc2ccc(cc12)c3ccc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662530	pIC50=8.7
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662517	pIC50=8.7
CN1C=C(C=CC1=O)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667304	pIC50=8.7
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662529	pIC50=8.7
C[C@H]1C[C@H](CN1C#N)NS(=O)(=O)c2cc(Br)ccc2Br	CHEMBL1672434	pIC50=8.7
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4oc(cc4)C#N	CHEMBL3662676	pIC50=8.7
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3C(=O)OCc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658569	pIC50=8.7
CC(=O)n1nc(cc1C)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662522	pIC50=8.72
CN1C(=O)c2cc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)cc2c5ccccc15	CHEMBL3667375	pIC50=8.72
CNC(=O)c1cc(cs1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662675	pIC50=8.72
COC(=O)Cn1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662528	pIC50=8.72
CS(=O)(=O)c1ccc(cc1F)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662527	pIC50=8.72
CN1CCCN(CC1)S(=O)(=O)c2ccc(cc2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667388	pIC50=8.75
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4csc(c4)C(=O)N5CCOCC5	CHEMBL3667280	pIC50=8.75
CS[C@@]1(CN[C@@H](C1)C(=O)N[C@@H](Cc2ccccc2)C#N)c3ccccc3	CHEMBL1078066	pIC50=8.77
Cc1nn(C)cc1c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662674	pIC50=8.77
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5C(=O)OCc5c4	CHEMBL3662526	pIC50=8.77
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4csc(c4)C(=O)N5CCN(CC5)C6CC6	CHEMBL3667279	pIC50=8.77
COCCN1CCN(CC1)C(=O)c2cc(cs2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667278	pIC50=8.8
CS(=O)(=O)c1ccc(cc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662673	pIC50=8.8
Fc1cc2c(cc1CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)C(=O)Nc5ccccc25	CHEMBL3667343	pIC50=8.8
NC(=O)c1ccc(s1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667286	pIC50=8.8
CN1C(=O)C(=O)c2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662525	pIC50=8.82
COCCN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662672	pIC50=8.82
CS(=O)(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662519	pIC50=8.85
CN(C)CCN1C=C(C=CC1=O)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667390	pIC50=8.89
CN1CCN(CC1)S(=O)(=O)c2cc(ccc2F)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667387	pIC50=8.89
Fc1cc2c(cc1C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)C(=O)Nc5c(F)cc(cc25)C#N	CHEMBL3667374	pIC50=8.89
Fc1ccc2c(NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)cc23)c1	CHEMBL3667342	pIC50=8.89
CN1CCN(CC1)S(=O)(=O)c2cccc(c2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667274	pIC50=8.92
CC(C)N1CCN(CC1)C(=O)c2cc(cs2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667277	pIC50=9.0
CN(C)CCN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667328	pIC50=9.0
CN1CCC(CC1)N2C(=O)Cc3ccc(cc23)c4ccc(C[C@H](NC(=O)[C@H]5N[C@@H]6CC[C@H]5C6)C#N)c(F)c4	CHEMBL3667394	pIC50=9.0
Fc1ccc2c(NC(=O)c3cc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)cc23)c1F	CHEMBL3667373	pIC50=9.0
NCC(=O)N[C@@H](Cc1ccc(I)cc1)C(=O)C=[N+]=[N-]	CHEMBL450997	pIC50=9.0
N[C@@H](Cc1cccs1)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C#N	CHEMBL1081694	pIC50=9.0
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4csc(c4)C(=O)N5CCn6nccc6C5	CHEMBL3667276	pIC50=9.05
Fc1cc2c(cc1CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)C(=O)Nc5cc(ccc25)C#N	CHEMBL3667341	pIC50=9.05
NC(=O)c1cc(cs1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662671	pIC50=9.05
N[C@@H](Cc1cccs1)C(=O)N[C@@H](Cc2ccccc2)C#N	CHEMBL1080780	pIC50=9.05
O=C(N[C@@H](Cc1ccc(s1)c2ccc3C(=O)OCc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3657578	pKi=9.05
CN1CCN(CC1)C(=O)c2cc(cs2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667275	pIC50=9.1
CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662669	pIC50=9.1
Fc1cc2c(cc1C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)C(=O)Nc5ccccc25	CHEMBL3667371	pIC50=9.1
Fc1ccc2c(NC(=O)c3cc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)cc23)c1	CHEMBL3667372	pIC50=9.1
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5C(=O)OCc5c4	CHEMBL3662518	pIC50=9.16
N[C@@H](Cc1cccs1)C(=O)N[C@@H](Cc2nc3ccccc3s2)C#N	CHEMBL1081695	pIC50=9.16
CC1(C)OC(=O)c2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662670	pIC50=9.22
N[C@@H](Cc1cccs1)C(=O)N[C@@H](Cc2ccc(s2)c3ccccc3)C#N	CHEMBL1079888	pIC50=9.52
